
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹 主內平安
[00:00:03.000 --> 00:00:10.340]  講起猶太人的拉比
[00:00:10.340 --> 00:00:13.380]  他們的文化 講一些道理的時候
[00:00:13.380 --> 00:00:20.580]  都會喜歡用一些故事的形式
[00:00:20.580 --> 00:00:24.180]  我想大家都明白
[00:00:24.180 --> 00:00:28.180]  因為耶穌都喜歡講一些禦道的故事
[00:00:28.180 --> 00:00:32.180]  可以令到大家明白道理多些
[00:00:32.180 --> 00:00:35.180]  所以今天開始的時候
[00:00:35.180 --> 00:00:38.180]  都想和大家講一個禦道故事
[00:00:38.180 --> 00:00:44.180]  這個故事一開始原來都和拉比有關
[00:00:44.180 --> 00:00:47.180]  有個人叫阿基達 他是一個拉比
[00:00:47.180 --> 00:00:51.180]  拉比大家都知道他是猶太人的老師
[00:00:51.180 --> 00:00:53.180]  有一次他外出旅行
[00:00:53.180 --> 00:00:57.180]  他騎著一隻騾子 提著一盞燈
[00:00:57.180 --> 00:01:00.180]  帶著一條狗
[00:01:00.180 --> 00:01:03.180]  在夜幕低垂的時候
[00:01:03.180 --> 00:01:06.180]  他要找一個地方露宿
[00:01:06.180 --> 00:01:09.180]  見到一個沒有人的倉庫
[00:01:09.180 --> 00:01:13.180]  決定在這裡借宿一宵
[00:01:13.180 --> 00:01:16.180]  他見時間還算是早
[00:01:16.180 --> 00:01:19.180]  所以他點燈去看書
[00:01:19.180 --> 00:01:21.180]  怎知突然來了一陣風
[00:01:21.180 --> 00:01:24.180]  吹熄了那盞燈
[00:01:24.180 --> 00:01:29.180]  他見突然沒有燈
[00:01:29.180 --> 00:01:31.180]  會不會神都叫他休息呢?
[00:01:31.180 --> 00:01:34.180]  所以他就決定休息
[00:01:34.180 --> 00:01:37.180]  放下書就睡覺
[00:01:37.180 --> 00:01:40.180]  但他估也估不到
[00:01:40.180 --> 00:01:45.180]  半夜原來有一隻狐狸咬死了他的小狗
[00:01:45.180 --> 00:01:50.180]  之後他的腦袋被獅子吃了
[00:01:50.180 --> 00:01:53.180]  這種情況他都不知道
[00:01:53.180 --> 00:01:55.180]  第二天清晨起床
[00:01:55.180 --> 00:01:57.180]  他才發覺這件事發生
[00:01:57.180 --> 00:01:59.180]  心裏很難過
[00:01:59.180 --> 00:02:03.180]  他的愛犬和狸子都死了
[00:02:03.180 --> 00:02:06.180]  但心裏都會想
[00:02:06.180 --> 00:02:09.180]  這一定是上帝的旨意
[00:02:09.180 --> 00:02:13.180]  於是他又拿著一盞燈
[00:02:13.180 --> 00:02:16.180]  繼續孤獨上路
[00:02:16.180 --> 00:02:18.180]  他去到附近一個村莊
[00:02:18.180 --> 00:02:21.180]  怎麼會見到沒有人呢?
[00:02:21.180 --> 00:02:23.180]  原來他知道了
[00:02:23.180 --> 00:02:26.180]  昨晚發生了一件大事
[00:02:26.180 --> 00:02:29.180]  有一群強盜來到村莊
[00:02:29.180 --> 00:02:32.180]  襲擊他們搶奪
[00:02:32.180 --> 00:02:36.180]  甚至將整村的人都殺光
[00:02:36.180 --> 00:02:38.180]  於是他就明白
[00:02:38.180 --> 00:02:40.180]  這就是上帝的旨意
[00:02:40.180 --> 00:02:42.180]  因為他想起
[00:02:42.180 --> 00:02:48.180]  昨晚他繼續點燈看書的時候
[00:02:48.180 --> 00:02:50.180]  不是因為那盞燈被風吹熄
[00:02:50.180 --> 00:02:52.180]  可能強盜就會發現
[00:02:52.180 --> 00:02:54.180]  那裏有燈光有人
[00:02:54.180 --> 00:02:56.180]  他就必死無疑
[00:02:56.180 --> 00:02:57.180]  他又在想
[00:02:57.180 --> 00:03:00.180]  如果狗還在的話
[00:03:00.180 --> 00:03:01.180]  一見到這種情景
[00:03:01.180 --> 00:03:04.180]  當然會狂叫狂吠
[00:03:04.180 --> 00:03:07.180]  結果被強盜又發現了
[00:03:07.180 --> 00:03:09.180]  於是他又難逃劫數
