
[00:00:00.000 --> 00:00:08.060]  菩薩基督也讓我們聽上了道理先,讓我們重新低頭禱告。
[00:00:08.060 --> 00:00:13.020]  親愛的菩薩,感謝祢給我們能夠今天有美好的一天的天氣,
[00:00:13.020 --> 00:00:18.820]  能夠平安來到主禮的殿當中,一同來到仰望,聆聽主禮說話,
[00:00:18.820 --> 00:00:22.640]  也用詩歌來到凹陀送駕,我們再次先聲感謝,
[00:00:22.640 --> 00:00:30.820]  讓我們身心靈全在主禮裡面,隨著聖靈的帶領、聖靈的幫助。
[00:00:52.640 --> 00:01:12.840]  在我年輕的時候家裡有個習慣,就是做什麼事情都要拿出通勝來看一看。
[00:01:12.840 --> 00:01:22.460]  後來我來到加拿大之後,我才發覺原來通勝這東西不是中國人才有的。
[00:01:22.460 --> 00:01:27.660]  後來我來到加拿大之後,我才發覺原來通勝這東西不是中國人才有的。
[00:01:27.660 --> 00:01:36.300]  在西方社會原來也有通勝的,特別是以農業為主的國家如加拿大、美國。
[00:01:36.300 --> 00:01:50.420]  尤其是以農業為主的,像加拿大和美國,他們那本叫做《農耕時間表》。
[00:01:50.420 --> 00:02:00.420]  不過別說西方社會,說中國人的社會,我祖母每逢什麼節日都會拿出通勝來看。
[00:02:00.420 --> 00:02:04.860]  我的祖母經常不管什麼事情都會拿出通勝來看一下。
[00:02:04.860 --> 00:02:07.860]  家裡有誰有頭暈身痛也會拿出通勝來看一下。
[00:02:07.860 --> 00:02:11.460]  家裡有人頭疼腦餓都會拿出來看一下。
[00:02:11.460 --> 00:02:15.940]  家裡有什麼生意要做、要趕貨的,她也會拿出通勝來看一下。
[00:02:15.940 --> 00:02:19.060]  家裡人要做生意、要趕貨的,她也拿出來看一下。
[00:02:19.060 --> 00:02:21.540]  有空就拿出通勝來看,看有什麼好看的。
[00:02:21.540 --> 00:02:25.020]  所以我從小到大都很喜歡偷看那本通勝是什麼來的。
[00:02:25.020 --> 00:02:31.340]  她一有空就拿出來看,所以我小時候都很有興趣偷偷拿出來看一下,到底有什麼在裡面。
[00:02:31.340 --> 00:02:34.140]  所以我對通勝都很有研究。
[00:02:34.140 --> 00:02:36.500]  所以我對通勝都很有研究。
[00:02:36.500 --> 00:02:40.740]  第一樣要研究的當然是首先看一下通勝裡面的那幅圖畫。
[00:02:40.740 --> 00:02:43.580]  第一樣就是要研究一下通勝裡面的圖畫。
[00:02:43.580 --> 00:02:47.940]  那幅圖畫原來反映了那年的整個天氣狀況。
[00:02:47.940 --> 00:02:51.140]  那幅圖畫反映了整個一年的天氣狀況。
[00:02:51.140 --> 00:02:59.500]  如果你看到一個人拖著一頭牛,那個人就穿著褲腳,不穿鞋的。
[00:02:59.500 --> 00:03:03.260]  如果他只是玩起褲腳,沒有穿鞋。
[00:03:03.260 --> 00:03:05.980]  那你就會遇到今年很多雨水了。
[00:03:05.980 --> 00:03:08.100]  你就會遇到今年很多雨水了。
[00:03:08.100 --> 00:03:12.460]  我覺得很神奇啊,中國人的東西真是,一幅圖都講這麼多東西。
[00:03:12.460 --> 00:03:15.940]  這很神奇,一幅圖畫就講了很多的東西。
[00:03:15.940 --> 00:03:18.140]  我對藝術也很有研究。
[00:03:18.140 --> 00:03:19.740]  所以我對藝術也很研究。
[00:03:19.740 --> 00:03:22.660]  特別是因為我很喜歡拍照,我對拍照很有研究。
[00:03:22.660 --> 00:03:25.220]  所以我特別喜歡攝影,對攝影也很研究。
[00:03:25.220 --> 00:03:27.620]  都是由這本通勝引發出來的。
[00:03:27.620 --> 00:03:29.660]  就是由通勝引發來的。
[00:03:29.660 --> 00:03:32.660]  所以中國人經常有一句話。
[00:03:32.660 --> 00:03:33.780]  中國人有一句話。
[00:03:33.780 --> 00:03:35.780]  就是一本通勝就看到老。
[00:03:35.780 --> 00:03:37.340]  一本通勝可以看到老。
[00:03:37.340 --> 00:03:39.180]  我最初也以為是。
[00:03:39.180 --> 00:03:40.580]  最初我以為是這樣。
[00:03:40.580 --> 00:03:43.740]  後來我發現原來每年都要買一本。
[00:03:43.740 --> 00:03:45.900]  後來才發現每年都要買一本。
[00:03:45.900 --> 00:03:49.300]  不是一本通勝看到老,原來每年都要買一本。
[00:03:49.300 --> 00:03:51.460]  原來是每年都要買一本。
[00:03:51.460 --> 00:03:54.940]  現在就更厲害了,聽說在亞洲區。
[00:03:54.940 --> 00:04:01.620]  通勝已經變成了運程風水的書籍。
[00:04:01.620 --> 00:04:10.260]  在亞洲,通勝已經成為了運程的書籍。
[00:04:10.260 --> 00:04:14.180]  你千萬不要去買,不要說牧師介紹你去買。
[00:04:14.180 --> 00:04:15.340]  千萬不要去買。
[00:04:15.340 --> 00:04:17.580]  但是如果你想知道是什麼呢,
