
[00:00:00.000 --> 00:00:02.140]  主耶穌基督來到這個世界
[00:00:02.140 --> 00:00:05.100]  祂知道我們人類充滿著問題
[00:00:05.100 --> 00:00:06.960]  因為當我們離開了神之後
[00:00:06.960 --> 00:00:08.400]  在罪的裏面
[00:00:08.400 --> 00:00:11.400]  我們人生充滿著
[00:00:11.400 --> 00:00:13.200]  各樣的苦難
[00:00:13.200 --> 00:00:15.840]  憂傷
[00:00:15.840 --> 00:00:19.000]  亦都能夠真是體會到
[00:00:19.000 --> 00:00:20.300]  離開神的時候
[00:00:20.300 --> 00:00:22.820]  我們失去了神本來創造我們
[00:00:22.820 --> 00:00:24.440]  應該有的榮耀
[00:00:24.440 --> 00:00:27.500]  上一次跟大家講到
[00:00:27.500 --> 00:00:31.600]  耶穌基督就是我們生命的答案
[00:00:31.600 --> 00:00:33.320]  知道祂為我們預備的
[00:00:33.320 --> 00:00:36.200]  就是一個永遠的歸宿
[00:00:36.200 --> 00:00:40.520]  因為祂說祂就是導露真理生命
[00:00:40.520 --> 00:00:42.040]  我們能夠藉著耶穌基督
[00:00:42.040 --> 00:00:44.000]  能夠通往天上
[00:00:44.000 --> 00:00:46.440]  神為我們預備的永恆的歸宿
[00:00:46.440 --> 00:00:48.440]  是祂預備的地方
[00:00:48.440 --> 00:00:50.240]  亦都更寶貴的就是那個
[00:00:50.240 --> 00:00:51.360]  「父」的「家」
[00:00:51.360 --> 00:00:53.020]  是我們的天家
[00:00:53.020 --> 00:00:56.000]  與「父」永遠同在
[00:00:56.000 --> 00:00:59.640]  不過我們知道在往天家之前
[00:00:59.640 --> 00:01:01.640]  我們仍然在這個世界
[00:01:01.640 --> 00:01:05.760]  仍然面對著最帶來的困苦
[00:01:05.760 --> 00:01:09.200]  在人生當中各樣的問題
[00:01:09.200 --> 00:01:11.060]  這個世界是一個不完全
[00:01:11.060 --> 00:01:13.520]  以及墜落了的世界
[00:01:13.520 --> 00:01:16.800]  所以我們的確仍然有很多
[00:01:16.800 --> 00:01:18.760]  所每天面對的
[00:01:18.760 --> 00:01:21.640]  是人生當中的苦難
[00:01:21.640 --> 00:01:23.600]  無論是哀傷
