
[00:00:00.000 --> 00:00:02.000]  今天會繼續我們的
[00:00:02.000 --> 00:00:06.000]  衝破教會界線的講道系列的第七堂
[00:00:06.000 --> 00:00:07.000]  這個系列比較長
[00:00:07.000 --> 00:00:10.000]  通常我們一個講道系列大概四到六堂
[00:00:10.000 --> 00:00:12.000]  這次有八到九堂
[00:00:12.000 --> 00:00:13.000]  所以比較長
[00:00:13.000 --> 00:00:16.000]  但是已經 coming to the close
[00:00:16.000 --> 00:00:18.000]  差不多這個系列要完了
[00:00:18.000 --> 00:00:20.000]  那麼在今天的這個系列裏面
[00:00:20.000 --> 00:00:21.000]  我們會講一個話題
[00:00:21.000 --> 00:00:23.000]  就是融入我們的社區
[00:00:23.000 --> 00:00:24.000]  融入社區
[00:00:24.000 --> 00:00:26.000]  以前在不同的場合
[00:00:26.000 --> 00:00:28.000]  我都有跟大家說過
[00:00:28.000 --> 00:00:32.000]  基督徒處事基本上有三種不同的態度
[00:00:32.000 --> 00:00:35.000]  第一種是叫做隨波逐流
[00:00:35.000 --> 00:00:37.000]  就是基本上你人生沒底線
[00:00:37.000 --> 00:00:38.000]  沒方向
[00:00:38.000 --> 00:00:39.000]  沒想法
[00:00:39.000 --> 00:00:41.000]  18歲以前父母說了算
[00:00:41.000 --> 00:00:43.000]  20歲以後朋友說了算
[00:00:43.000 --> 00:00:45.000]  結婚之後老婆說了算
[00:00:45.000 --> 00:00:47.000]  再大一點孩子說了算
[00:00:47.000 --> 00:00:49.000]  你一輩子沒有試過說
[00:00:49.000 --> 00:00:51.000]  你人生有一個核心的價值
[00:00:51.000 --> 00:00:54.000]  這個價值是幫助你在前面的路上
[00:00:54.000 --> 00:00:56.000]  很有自信的知道說
[00:00:56.000 --> 00:00:58.000]  你的時間沒用錯
[00:00:58.000 --> 00:01:00.000]  你所有一切的才幹沒用錯
[00:01:00.000 --> 00:01:02.000]  你的方向是對的
[00:01:02.000 --> 00:01:03.000]  來做這樣一個選擇
[00:01:03.000 --> 00:01:05.000]  你人生從來沒有做過這個選擇
[00:01:05.000 --> 00:01:08.000]  你也不知道我人生沒有核心價值
[00:01:08.000 --> 00:01:10.000]  反正父母說了什麼
[00:01:10.000 --> 00:01:11.000]  父母說了算
[00:01:11.000 --> 00:01:13.000]  都是旁邊的人怎麼說
[00:01:13.000 --> 00:01:14.000]  我就怎麼做
[00:01:14.000 --> 00:01:16.000]  就隨波逐流
[00:01:16.000 --> 00:01:17.000]  第一種
[00:01:17.000 --> 00:01:19.000]  第二種態度就是相反
[00:01:19.000 --> 00:01:20.000]  另外一個極端就是
[00:01:20.000 --> 00:01:23.000]  有些基督徒喜歡選一種比較
[00:01:23.000 --> 00:01:26.000]  獨善其身的處事的方式
[00:01:26.000 --> 00:01:28.000]  就是我選一個安靜的地方
[00:01:28.000 --> 00:01:30.000]  我好好的來敬拜我的上帝
[00:01:30.000 --> 00:01:31.000]  至於外面的世界
[00:01:31.000 --> 00:01:33.000]  你怎麼弄得烏煙瘴氣也好
[00:01:33.000 --> 00:01:34.000]  什麼霧霾啊
[00:01:34.000 --> 00:01:37.000]  什麼股市大崩盤啊
[00:01:37.000 --> 00:01:38.000]  都不關我的事
[00:01:38.000 --> 00:01:40.000]  我一切不理
[00:01:40.000 --> 00:01:42.000]  我就避世
[00:01:42.000 --> 00:01:44.000]  就是我不太關心這社會
[00:01:44.000 --> 00:01:45.000]  發生什麼事情
[00:01:45.000 --> 00:01:49.000]  我只要保住我自己不受污染就好了
[00:01:49.000 --> 00:01:51.000]  我選個比較鄉下偏僻的地方
[00:01:51.000 --> 00:01:52.000]  安安靜靜的
[00:01:52.000 --> 00:01:54.000]  我就過我自己
[00:01:54.000 --> 00:01:56.000]  非常開心的小生活
[00:01:56.000 --> 00:01:58.000]  大概就是這樣子
[00:01:58.000 --> 00:02:00.000]  這是另外一種的態度
[00:02:00.000 --> 00:02:01.000]  有些人是完全
[00:02:01.000 --> 00:02:02.000]  就是你跟他相處
[00:02:02.000 --> 00:02:03.000]  總有一種感覺
[00:02:03.000 --> 00:02:05.000]  他好像不再需要人間煙火
[00:02:05.000 --> 00:02:06.000]  就是這種的
[00:02:06.000 --> 00:02:08.000]  我們這邊也曾經有學生
[00:02:08.000 --> 00:02:10.000]  以爲現在的國家主席
[00:02:10.000 --> 00:02:11.000]  還是毛澤東的
[00:02:11.000 --> 00:02:12.000]  對不對
[00:02:12.000 --> 00:02:13.000]  這是都什麼境界了
[00:02:13.000 --> 00:02:15.000]  就是到了這種
[00:02:15.000 --> 00:02:16.000]  他已經到了彼岸
[00:02:16.000 --> 00:02:19.000]  已經完全不知道人間煙火
[00:02:19.000 --> 00:02:20.000]  就屬於這種
[00:02:20.000 --> 00:02:22.000]  那麼我剛剛所提到的
[00:02:22.000 --> 00:02:24.000]  這兩種不同的態度
[00:02:24.000 --> 00:02:28.000]  當然是屬於兩種很極端的態度
[00:02:28.000 --> 00:02:31.000]  那麼我相信大部分
[00:02:31.000 --> 00:02:32.000]  我們教會
[00:02:32.000 --> 00:02:34.000]  或是我所認識的基督徒
[00:02:34.000 --> 00:02:36.000]  都比較不是在這兩個極端
[00:02:36.000 --> 00:02:38.000]  我們比較是在這兩個極端的
[00:02:38.000 --> 00:02:42.000]  中間的某一個位置的某一點
[00:02:42.000 --> 00:02:46.000]  所以我今天在講的第三個
[00:02:46.000 --> 00:02:47.000]  我們應該處事的態度
[00:02:47.000 --> 00:02:49.000]  也是聖經的態度
[00:02:49.000 --> 00:02:52.000]  就是在這兩個極端的中間
[00:02:52.000 --> 00:02:55.000]  它有一個很健康的平衡點
[00:02:55.000 --> 00:02:57.000]  你需要找到這一點
[00:02:57.000 --> 00:02:58.000]  這一點就是
[00:02:58.000 --> 00:03:00.000]  我們不是完全避世
[00:03:00.000 --> 00:03:03.000]  但是我們是活在人羣當中
[00:03:03.000 --> 00:03:05.000]  融入社區走進人羣
[00:03:05.000 --> 00:03:06.000]  那同時
[00:03:06.000 --> 00:03:09.000]  我們在走進人羣的過程當中
