
[00:00:00.000 --> 00:00:02.000]  各位朋友 早晨
[00:00:02.000 --> 00:00:06.000]  我想新朋友
[00:00:06.000 --> 00:00:09.000]  第一次來 第一次認識我的朋友
[00:00:09.000 --> 00:00:11.000]  請你拍一下手掌 好嗎
[00:00:11.000 --> 00:00:12.000]  1 2 3
[00:00:12.000 --> 00:00:15.000]  對了 看看這邊
[00:00:15.000 --> 00:00:17.000]  我是一個盲人
[00:00:17.000 --> 00:00:19.000]  我姓劉
[00:00:19.000 --> 00:00:23.000]  盲人姓劉 你會怎樣稱呼
[00:00:23.000 --> 00:00:25.000]  簡單叫盲劉
[00:00:25.000 --> 00:00:29.000]  但是你試試用普通話讀盲劉兩個字
[00:00:29.000 --> 00:00:31.000]  普通話讀
[00:00:31.000 --> 00:00:32.000]  盲料
[00:00:32.000 --> 00:00:33.000]  盲料 對了
[00:00:33.000 --> 00:00:34.000]  知不知道甚麼是盲料
[00:00:34.000 --> 00:00:37.000]  威猛和有料
[00:00:37.000 --> 00:00:40.000]  其實不是 只是一個普通話
[00:00:40.000 --> 00:00:42.000]  原因我是盲人
[00:00:42.000 --> 00:00:45.000]  很多時候人們怕我說過鐘
[00:00:45.000 --> 00:00:48.000]  就會站在後面打圈
[00:00:48.000 --> 00:00:52.000]  但是盲料我都沒有反應
[00:00:52.000 --> 00:00:55.000]  所以他們會用琴來叮來提我
[00:00:55.000 --> 00:00:57.000]  今天我們講讀心術
[00:00:57.000 --> 00:01:00.000]  剛才我阻止不了阻止梅
[00:01:00.000 --> 00:01:05.000]  去分享她的人生
[00:01:05.000 --> 00:01:09.000]  剛才Doris傳道介紹她的時候
[00:01:09.000 --> 00:01:11.000]  有句說話很特別
[00:01:11.000 --> 00:01:14.000]  她說 她信耶穌開始了人生豐盛的一頁
[00:01:14.000 --> 00:01:19.000]  也開始了艱巨或艱難的一頁
[00:01:19.000 --> 00:01:21.000]  你有沒有想過信耶穌
[00:01:21.000 --> 00:01:23.000]  信耶穌有艱難
[00:01:23.000 --> 00:01:25.000]  我也是
[00:01:25.000 --> 00:01:27.000]  信耶穌我也很深體會
[00:01:27.000 --> 00:01:29.000]  你看我的廣道大綱裡面
[00:01:29.000 --> 00:01:31.000]  第一個引言
[00:01:31.000 --> 00:01:33.000]  我都很喜歡識字
[00:01:33.000 --> 00:01:35.000]  說事就說事
[00:01:35.000 --> 00:01:36.000]  下一個是甚麼
[00:01:36.000 --> 00:01:38.000]  是談結義
[00:01:38.000 --> 00:01:41.000]  剛才領師那個就叫談結義
[00:01:41.000 --> 00:01:44.000]  是就說事 談何容易
[00:01:44.000 --> 00:01:46.000]  有幾個你覺得你
[00:01:46.000 --> 00:01:48.000]  說謊是很輕鬆
[00:01:48.000 --> 00:01:50.000]  不用眨眼
[00:01:50.000 --> 00:01:51.000]  有這些技能
[00:01:51.000 --> 00:01:53.000]  基本上從小都有
[00:01:53.000 --> 00:01:54.000]  你覺得你從小都有
[00:01:54.000 --> 00:01:55.000]  請你拍一下手掌
[00:01:55.000 --> 00:01:57.000]  1 2 3
[00:01:57.000 --> 00:01:58.000]  我知道你有
[00:01:58.000 --> 00:02:00.000]  你現在不拍了
[00:02:00.000 --> 00:02:04.000]  我大哥也在
[00:02:04.000 --> 00:02:05.000]  我們在家裡
[00:02:05.000 --> 00:02:08.000]  我在工廠區做小販
[00:02:08.000 --> 00:02:09.000]  賣東西
[00:02:09.000 --> 00:02:11.000]  從小我們素有訓練
[00:02:11.000 --> 00:02:13.000]  說謊就當吃生菜
[00:02:13.000 --> 00:02:15.000]  每一次說完謊
[00:02:15.000 --> 00:02:18.000]  覺得自己說得很精準
[00:02:18.000 --> 00:02:19.000]  很絕
[00:02:19.000 --> 00:02:21.000]  我們就會跟別人分享
[00:02:21.000 --> 00:02:23.000]  剛才我遇到一個場合
[00:02:23.000 --> 00:02:25.000]  很危急
[00:02:25.000 --> 00:02:29.000]  我一句說話就搞定了
[00:02:29.000 --> 00:02:31.000]  多厲害
[00:02:31.000 --> 00:02:33.000]  以前覺得自己會說謊
[00:02:33.000 --> 00:02:35.000]  覺得很有sense
[00:02:35.000 --> 00:02:38.000]  這些不是普通人說的謊
[00:02:38.000 --> 00:02:40.000]  你有沒有曾經有
[00:02:40.000 --> 00:02:43.000]  這些吸塑的味道
[00:02:43.000 --> 00:02:46.000]  那些人來賣東西
[00:02:46.000 --> 00:02:48.000]  有時那些你知
[00:02:48.000 --> 00:02:50.000]  很多售貨員賣東西那些
[00:02:50.000 --> 00:02:54.000]  很多這些說謊
[00:02:54.000 --> 00:02:56.000]  天花龍鳳
[00:02:56.000 --> 00:02:58.000]  有一個小學同學
[00:02:58.000 --> 00:03:00.000]  他做了地產
[00:03:00.000 --> 00:03:01.000]  他跟我說
[00:03:01.000 --> 00:03:02.000]  地產經紀
[00:03:02.000 --> 00:03:04.000]  你信他兩成
[00:03:04.000 --> 00:03:06.000]  都多了
[00:03:06.000 --> 00:03:07.000]  跟著我說
[00:03:07.000 --> 00:03:09.000]  你現在跟我說
[00:03:09.000 --> 00:03:10.000]  我信多少
[00:03:10.000 --> 00:03:11.000]  他說怎麼同
[00:03:11.000 --> 00:03:13.000]  我跟你老死
[00:03:13.000 --> 00:03:15.000]  我怎麼騙你
[00:03:15.000 --> 00:03:17.000]  他又未信主
[00:03:17.000 --> 00:03:18.000]  他說他不騙我
[00:03:18.000 --> 00:03:20.000]  我又想都OK的
[00:03:20.000 --> 00:03:22.000]  沒什麼利害衝突
[00:03:22.000 --> 00:03:24.000]  我記得
[00:03:24.000 --> 00:03:25.000]  我信耶穌之後
[00:03:25.000 --> 00:03:27.000]  一樣經歷
[00:03:27.000 --> 00:03:31.000]  說謊的一個挑戰
[00:03:31.000 --> 00:03:33.000]  都很不容易
[00:03:33.000 --> 00:03:34.000]  話說有一次
[00:03:34.000 --> 00:03:37.000]  我跟我一個親戚
[00:03:37.000 --> 00:03:40.000]  他駕駛一輛幾靚的車
[00:03:40.000 --> 00:03:43.000]  叫Arthur Romeo
[00:03:43.000 --> 00:03:45.000]  好像幾靚
[00:03:45.000 --> 00:03:47.000]  由清水灣道下去
[00:03:47.000 --> 00:03:50.000]  到彩虹那裡
[00:03:50.000 --> 00:03:53.000]  突然有個小巴出來
[00:03:53.000 --> 00:03:54.000]  一出來
[00:03:54.000 --> 00:03:56.000]  彩虹出來之後
[00:03:56.000 --> 00:03:58.000]  突然急停
[00:03:58.000 --> 00:04:00.000]  他踩錯腳掣
[00:04:00.000 --> 00:04:01.000]  他當然有門
[00:04:01.000 --> 00:04:03.000]  他突然停在那裡
[00:04:03.000 --> 00:04:05.000]  我們追尾撞過去
[00:04:05.000 --> 00:04:06.000]  跟著
[00:04:06.000 --> 00:04:07.000]  在那天
[00:04:07.000 --> 00:04:08.000]  一個星期六
[00:04:08.000 --> 00:04:11.000]  星期日傍晚五點多
[00:04:11.000 --> 00:04:14.000]  你知由西貢出來的車很多
[00:04:14.000 --> 00:04:16.000]  後面排了場隊
[00:04:16.000 --> 00:04:17.000]  那些車不停打我們
[00:04:17.000 --> 00:04:18.000]  我們又停了
[00:04:18.000 --> 00:04:19.000]  撞了
[00:04:19.000 --> 00:04:21.000]  有個警察過來
