
[00:00:00.000 --> 00:00:02.500]  即是說你是非法販賣人口
[00:00:02.500 --> 00:00:04.500]  就是你非法販賣人口
[00:00:04.500 --> 00:00:10.500]  你可能會覺得穆斯林的偷渡和販賣人口好像相差甚遠
[00:00:10.500 --> 00:00:16.000]  可能你會說穆斯林的偷渡和販賣人口好像兩者相差甚遠
[00:00:16.000 --> 00:00:19.500]  在聖經有兩段的經文大概可以印證這個說法
[00:00:19.500 --> 00:00:22.500]  但是在聖經裏面有兩段經文可以印證這個想法
[00:00:22.500 --> 00:00:25.500]  第一段就在初夏及其二十一章十六節那裏提到
[00:00:25.500 --> 00:00:28.500]  第一個就是在初埃及記二十一章十六節那裏說
[00:00:28.500 --> 00:00:30.500]  拐帶人口
[00:00:30.500 --> 00:00:32.500]  原來的意思就是跟偷渡同一個字
[00:00:32.500 --> 00:00:34.500]  原來的意思就是跟偷渡同一個字
[00:00:34.500 --> 00:00:37.500]  或者將人賣了或留在他手上
[00:00:37.500 --> 00:00:40.500]  或是把人賣了或留在他手上
[00:00:40.500 --> 00:00:41.500]  必要將他致死
[00:00:41.500 --> 00:00:42.500]  必要把他致死
[00:00:42.500 --> 00:00:44.500]  留意這是一個很重的罪
[00:00:44.500 --> 00:00:46.500]  留意這是一個非常重的罪
[00:00:46.500 --> 00:00:50.500]  另一段的經文就是在新約保羅談到一些律法的罪行
[00:00:50.500 --> 00:00:55.500]  另外一段經文就是在新約裏面保羅談論一些律法一些罪行的時候
[00:00:55.500 --> 00:00:58.500]  在提摩泰前書一章九至十節那裏
[00:00:58.500 --> 00:01:01.500]  在提摩泰前書一章九至十節那裏說
[00:01:01.500 --> 00:01:04.500]  要知道律法本來不是為異人而設立的
[00:01:04.500 --> 00:01:07.500]  要知道律法本來不是為異人而設立的
[00:01:07.500 --> 00:01:10.500]  又是為那些無法無天放蕩不羈
[00:01:10.500 --> 00:01:13.500]  而是為那些無法無天和放蕩不羈的
[00:01:13.500 --> 00:01:15.500]  不經權和犯罪
[00:01:15.500 --> 00:01:16.500]  不見臣和犯罪的
[00:01:16.500 --> 00:01:18.500]  不升階和世俗
[00:01:18.500 --> 00:01:19.500]  不聖節和世俗的
[00:01:19.500 --> 00:01:21.500]  留意開始一路數那些罪行
[00:01:21.500 --> 00:01:24.500]  留意一下接下來會一直數一些罪行出來
[00:01:24.500 --> 00:01:27.500]  他是殺父母和殺人的
[00:01:27.500 --> 00:01:28.500]  是父母和殺人的
[00:01:28.500 --> 00:01:30.500]  淫亂的和親男色的
[00:01:30.500 --> 00:01:32.500]  淫亂的親男色的
[00:01:32.500 --> 00:01:34.500]  拐帶人口和說謊話的
[00:01:34.500 --> 00:01:36.500]  拐帶人口的說謊話的
[00:01:36.500 --> 00:01:37.500]  發假誓的
[00:01:37.500 --> 00:01:38.500]  發假誓的
[00:01:38.500 --> 00:01:41.500]  或者其他抵擋純正教訓的人而設立
[00:01:41.500 --> 00:01:47.500]  以及為其他抵擋純正教訓的人而設立的
