
[00:00:00.000 --> 00:00:02.940]  有一個四歲的小孩子
[00:00:02.940 --> 00:00:07.620]  他生命去到邊緣,離開世界
[00:00:07.620 --> 00:00:10.220]  在醫學上已經說他死亡了
[00:00:10.220 --> 00:00:13.420]  但是醫生還嘗試最後的搶救
[00:00:13.420 --> 00:00:17.960]  在他所謂離開世界,死亡十多分鐘之後
[00:00:17.960 --> 00:00:19.960]  那個搶救成功了
[00:00:19.960 --> 00:00:20.920]  反魂有術
[00:00:20.920 --> 00:00:24.120]  父母非常開心,非常感動
[00:00:24.120 --> 00:00:26.560]  但是故事不是停在這裏
[00:00:26.560 --> 00:00:29.140]  是他無奈之後,幾個月康復了
[00:00:29.140 --> 00:00:31.140]  爸爸和他一起開車
[00:00:31.140 --> 00:00:33.140]  他告訴爸爸
[00:00:33.140 --> 00:00:36.540]  我見到我的外祖父
[00:00:36.540 --> 00:00:42.140]  他的名字還叫做阿寶
[00:00:42.140 --> 00:00:45.680]  那個爸爸嚇得差點撞車,撞到樹上
[00:00:45.680 --> 00:00:47.680]  你沒可能見到
[00:00:47.680 --> 00:00:50.320]  因爲我在小的時候
[00:00:50.320 --> 00:00:51.780]  他已經離開世界了
[00:00:51.780 --> 00:00:54.780]  我都見他不是很多,你怎麼會見到他呢
[00:00:54.780 --> 00:00:59.380]  但是爸爸不能罵他,因爲連名字都能說出來
[00:00:59.380 --> 00:01:01.860]  不服氣就回去找照片給他
[00:01:01.860 --> 00:01:05.140]  找了一張六十多歲的照片
[00:01:05.140 --> 00:01:07.140]  是不是這個
[00:01:07.140 --> 00:01:09.140]  兒子就說,不是
[00:01:09.140 --> 00:01:12.500]  還笑,天堂沒老人的
[00:01:12.500 --> 00:01:14.500]  個個都是靚仔靚女
[00:01:14.500 --> 00:01:16.500]  沒辦法了
[00:01:16.500 --> 00:01:18.500]  爸爸更服氣
[00:01:18.500 --> 00:01:22.500]  就打電話給兒子的阿婆,即是他媽媽
[00:01:22.500 --> 00:01:25.340]  問她把曾祖父的照片拿出來
[00:01:25.340 --> 00:01:27.620]  年輕一點的,結婚無奈
[00:01:27.620 --> 00:01:30.820]  一張幾個人一起的照片
[00:01:30.820 --> 00:01:33.220]  就拿出來準備問,是不是這個
[00:01:33.220 --> 00:01:36.100]  在他還沒說是這個的時候,他一指就已經知道
[00:01:36.100 --> 00:01:40.100]  是那個年輕二十多三十歲
[00:01:40.100 --> 00:01:44.660]  如果你說,撞彩都沒撞得那麼對
[00:01:44.660 --> 00:01:46.460]  指到那個
[00:01:46.460 --> 00:01:49.780]  故事都不是停留在這裏
[00:01:49.780 --> 00:01:53.340]  幾個月之後,他問媽媽另外一個問題
[00:01:53.340 --> 00:01:55.980]  你猜問什麼問題
[00:01:55.980 --> 00:01:59.180]  我是不是有個姐姐
[00:01:59.180 --> 00:02:00.940]  媽媽說,你沒有
[00:02:00.940 --> 00:02:04.500]  他竟然說,我有,我知道
[00:02:04.500 --> 00:02:10.460]  媽媽說,不是,你唯一一個妹妹,就是現在跟你住的那個
[00:02:10.460 --> 00:02:15.500]  但他說,我在天堂見到我的姐姐
[00:02:15.500 --> 00:02:20.140]  媽媽突然將他幾年前的傷痛
[00:02:20.140 --> 00:02:23.180]  失去第一個女兒的傷痛
[00:02:23.180 --> 00:02:25.700]  勾起很多的眼淚,很多的感動
[00:02:25.700 --> 00:02:28.980]  但都很難相信,還要測試一下自己的兒子
[00:02:28.980 --> 00:02:32.380]  那他叫什麼名字呢?
[00:02:32.380 --> 00:02:34.260]  他沒有名字
[00:02:34.260 --> 00:02:36.980]  因爲在這個流產的時候
[00:02:36.980 --> 00:02:41.020]  過去了,生命過去了,你都沒有給他一個名字
[00:02:41.020 --> 00:02:43.780]  然後告訴他媽媽,不過你不用傷心
[00:02:43.780 --> 00:02:46.580]  他很開心,在上帝的慈愛
[00:02:46.580 --> 00:02:49.540]  在一個天堂的環境,有光明
[00:02:49.540 --> 00:02:52.020]  他還牽着我,抱着我
[00:02:52.020 --> 00:02:58.860]  還說很期望有一天父母能夠和我相聚
[00:02:58.860 --> 00:03:01.540]  這個故事呢,是我看了一本書的
[00:03:01.540 --> 00:03:04.780]  因爲要進修,要做一份功課
[00:03:04.780 --> 00:03:06.980]  所以很詳細看這本書
[00:03:06.980 --> 00:03:10.340]  在2015年出版的時候,已經賣了50萬本了
[00:03:10.340 --> 00:03:13.900]  成爲紐約時報的最佳售賣家之一
[00:03:13.900 --> 00:03:15.260]  Imagine Heaven
[00:03:15.260 --> 00:03:21.340]  這個人呢,就用一個比較緊密的論調的批判
[00:03:21.340 --> 00:03:26.500]  就是他自己親自去會面,面試了過百個這些
[00:03:26.500 --> 00:03:29.500]  叫做Near Death Experience,就是近乎死亡
[00:03:29.500 --> 00:03:32.420]  然後竟然可以回頭講一下那些經歷
[00:03:32.420 --> 00:03:36.660]  他們沒有夾定
[00:03:36.660 --> 00:03:42.620]  又加上其他人已經有在Medical Journal
[00:03:42.620 --> 00:03:44.740]  這些學術性的文章
[00:03:44.740 --> 00:03:47.620]  已經寫過,沒有夾定
[00:03:47.620 --> 00:03:52.460]  但是講關於天堂重要的元素
[00:03:52.460 --> 00:03:55.380]  都是相同的,可信性強的
[00:03:55.380 --> 00:03:58.620]  但是這些相同,關於天堂的美麗
[00:03:58.620 --> 00:04:01.740]  上帝的愛的包容、擁抱
[00:04:01.740 --> 00:04:05.020]  和聖經說的,是符合的
[00:04:05.020 --> 00:04:09.340]  這個天堂大概是在一個很美麗,藍天碧海
[00:04:09.340 --> 00:04:13.020]  綠草如茵,一片光明,心曠神怡的地方
[00:04:13.020 --> 00:04:16.140]  在那裏只有健康,沒有疾病
[00:04:16.140 --> 00:04:18.380]  只有美德,沒有罪惡
[00:04:18.380 --> 00:04:21.180]  只有傷罪,沒有分離
[00:04:21.180 --> 00:04:23.180]  只有快樂,沒有痛苦
[00:04:23.180 --> 00:04:24.820]  一個這樣的地方
[00:04:24.820 --> 00:04:29.420]  人生的短暫,無論有多少苦況
[00:04:29.420 --> 00:04:33.020]  有個永恆的天家,可以回頭去
[00:04:33.020 --> 00:04:35.780]  假如這個是真的話
[00:04:35.780 --> 00:04:38.540]  假如天堂是真的話
[00:04:38.540 --> 00:04:40.900]  我們今天應該重新去想想
[00:04:40.900 --> 00:04:43.620]  究竟我怎麼生活呢
