
[00:00:00.000 --> 00:00:03.640]  各位命恩堂大部堂的弟兄姊妹平安
[00:00:03.640 --> 00:00:06.480]  無論在現場或者在網上
[00:00:06.480 --> 00:00:11.480]  我們都一同被上主的愛連結在一起
[00:00:11.480 --> 00:00:14.000]  剛才所讀那段經文
[00:00:14.000 --> 00:00:18.280]  其實是記載了在初期教會的時候
[00:00:18.280 --> 00:00:23.840]  彼得和約翰是兩個門徒所受的審判
[00:00:23.840 --> 00:00:27.240]  所以今天的題目是「受審的門徒」
[00:00:27.240 --> 00:00:30.920]  今天的講章我會分兩部份
[00:00:30.920 --> 00:00:35.840]  第一部份我會按《仕途行傳》第四章
[00:00:35.840 --> 00:00:40.520]  以及我們看第三章的內容
[00:00:40.520 --> 00:00:46.960]  嘗試用彼得第一身的角度做一個自述
[00:00:46.960 --> 00:00:54.520]  所以以下我會用彼得的身份跟大家說話
[00:00:54.520 --> 00:00:58.360]  「我不認罪」
[00:00:58.360 --> 00:01:00.160]  我的名字叫彼得
[00:01:00.160 --> 00:01:02.440]  耶穌基督的門徒
[00:01:02.440 --> 00:01:05.160]  已經六十多歲了
[00:01:05.160 --> 00:01:10.120]  為主的緣故我在羅馬被囚禁
[00:01:10.120 --> 00:01:11.920]  剛才在審訊的時候
[00:01:11.920 --> 00:01:15.880]  我再一次面對帝國的指控
[00:01:15.880 --> 00:01:19.160]  我繼續堅定地回答
[00:01:19.160 --> 00:01:22.080]  「我不認罪」
[00:01:22.080 --> 00:01:27.200]  這令我想起我第一次說「我不認罪」的時候
[00:01:27.200 --> 00:01:29.920]  那幅圖畫
[00:01:29.920 --> 00:01:33.320]  那天我還記得很清楚
[00:01:33.320 --> 00:01:37.160]  約翰和我在耶路撒冷
[00:01:37.160 --> 00:01:40.480]  我們在被拘留之後的第二天
[00:01:40.480 --> 00:01:46.000]  我們被帶上了公會去審判
[00:01:46.000 --> 00:01:48.280]  我所說的第一句說話
[00:01:48.280 --> 00:01:51.120]  亦都是「我不認罪」
[00:01:51.120 --> 00:01:56.280]  在公會上我面對著長官、長老、民事
[00:01:56.280 --> 00:01:59.200]  他們充滿敵意的審訊
[00:01:59.200 --> 00:02:02.680]  又見到大祭司和他們的親族
[00:02:02.680 --> 00:02:07.520]  他們似乎很想看看我的下場如何
[00:02:07.520 --> 00:02:15.200]  那位班長用很低沉、很冷漠的語調問我們
[00:02:15.200 --> 00:02:21.720]  「彼得、約翰,你們認不認罪?」
[00:02:21.720 --> 00:02:24.120]  「我不認罪」
[00:02:24.120 --> 00:02:26.760]  這是我們的回答
[00:02:26.760 --> 00:02:28.680]  就在前一天
[00:02:28.680 --> 00:02:31.160]  約翰和我去到聖殿
[00:02:31.160 --> 00:02:36.840]  見到一個由武福入面已經是騎腿的人
[00:02:36.840 --> 00:02:40.240]  他要求我們施捨
[00:02:40.240 --> 00:02:41.880]  我就跟這個人說
[00:02:41.880 --> 00:02:45.960]  「你看著我吧,金銀我都沒有
[00:02:45.960 --> 00:02:49.040]  但我將我有的給你
[00:02:49.040 --> 00:02:52.920]  我現在奉拿撒勒人耶穌基督的名
[00:02:52.920 --> 00:02:55.920]  要你起來行走」
[00:02:55.920 --> 00:03:00.080]  然後我用手拉著他的右手扶起他
[00:03:00.080 --> 00:03:01.480]  他跳起來
[00:03:01.480 --> 00:03:04.760]  站在那裏然後就可以行走了
[00:03:04.760 --> 00:03:07.520]  他非常非常興奮
[00:03:07.520 --> 00:03:09.440]  因為這麼多年來
[00:03:09.440 --> 00:03:13.040]  他每一天就是被人抬進去聖殿
[00:03:13.040 --> 00:03:15.400]  放在尾門的門口
[00:03:15.400 --> 00:03:19.880]  過著一個乞求施捨的日子
[00:03:19.880 --> 00:03:21.760]  今天他竟然
[00:03:21.760 --> 00:03:25.760]  他終於可以自己走進聖殿裏面
[00:03:25.760 --> 00:03:28.160]  邊走邊跳
[00:03:28.160 --> 00:03:30.720]  讚美上帝
[00:03:30.720 --> 00:03:32.800]  周圍的人都認識他
[00:03:32.800 --> 00:03:36.360]  見到他竟然可以行走很詫異
[00:03:36.360 --> 00:03:37.520]  我就大聲地說
[00:03:37.520 --> 00:03:43.040]  「以色列人,為什麼因這事而驚訝呢?
[00:03:43.040 --> 00:03:45.600]  為什麼定睛看我們?
[00:03:45.600 --> 00:03:49.440]  以為我們憑自己的能力和虔誠
[00:03:49.440 --> 00:03:52.440]  可以令到這個人行走嗎?
[00:03:52.440 --> 00:03:53.840]  不是
[00:03:53.840 --> 00:03:56.480]  能夠令到這個人行走
[00:03:56.480 --> 00:03:58.880]  是因為耶穌基督
[00:03:58.880 --> 00:04:03.800]  耶穌是奉列祖的上帝所差派來到世上
[00:04:03.800 --> 00:04:07.840]  他當日被交到彼拉多面前的時候
[00:04:07.840 --> 00:04:11.720]  你們情願選擇釋放一個罪犯
[00:04:11.720 --> 00:04:15.280]  最後讓他被釘死在十字架上
[00:04:15.280 --> 00:04:19.600]  但是上帝卻叫他從死人中復活
[00:04:19.600 --> 00:04:23.440]  我們都是這事的見證人
[00:04:23.440 --> 00:04:25.480]  因信他的名
