
[00:00:00.000 --> 00:00:08.000]  我剛才也提過,人的心心處其實與生俱來有一份渴求
[00:00:08.000 --> 00:00:12.000]  就是與人建立一份很長久快樂的關係
[00:00:12.000 --> 00:00:21.000]  就好像童話故事,住在城堡裡很幸福快樂地過了下半生
[00:00:21.000 --> 00:00:29.000]  所以我們很喜歡童話故事,又很喜歡去迪士尼樂園
[00:00:29.000 --> 00:00:31.000]  去一些主題公園
[00:00:31.000 --> 00:00:40.000]  當然我們會明白,在這些地方是不會有真正長久的快樂
[00:00:40.000 --> 00:00:41.000]  我們知道的
[00:00:41.000 --> 00:00:45.000]  因為我們發現,在我們的生活當中
[00:00:45.000 --> 00:00:48.000]  或者你看看你旁邊的人,他經常會弄痛你
[00:00:48.000 --> 00:00:50.000]  他怎樣弄痛你呢?
[00:00:50.000 --> 00:00:53.000]  他講一句說話也會弄痛你
[00:00:53.000 --> 00:00:58.000]  一個行動,甚至一個眼神都可以弄痛你
[00:00:58.000 --> 00:01:05.000]  所以人也與生俱來,我們有一些平衡的反應
[00:01:05.000 --> 00:01:09.000]  我們有一個機制,不用別人教的
[00:01:09.000 --> 00:01:15.000]  我們會很努力地追求和營造一些美滿和幸福的感覺
[00:01:15.000 --> 00:01:20.000]  你說是什麼?可能你們也有,我也有,不只是你們
[00:01:20.000 --> 00:01:25.000]  我們會去外遊,去購物,去享受美食
[00:01:25.000 --> 00:01:28.000]  有時看你們的Facebook,那些東西真的很好吃
[00:01:28.000 --> 00:01:31.000]  我也想問你們去哪間餐廳,介紹一下我
[00:01:31.000 --> 00:01:33.000]  我真的不太懂得尋找美食
[00:01:33.000 --> 00:01:42.000]  但最終發現,一切東西都是一閃即逝
[00:01:42.000 --> 00:01:45.000]  沒有東西是永遠的
[00:01:45.000 --> 00:01:48.000]  每樣東西都不會長久
[00:01:48.000 --> 00:01:53.000]  開心的快樂的感覺會流逝
[00:01:53.000 --> 00:02:00.000]  就算你旅行的時候,一些很深刻快樂的回憶
[00:02:00.000 --> 00:02:02.000]  有時也會忘記了
[00:02:02.000 --> 00:02:07.000]  在某些年日之後,工作不再說了
[00:02:07.000 --> 00:02:11.000]  隨時都會沒有的,現在這個年代
[00:02:11.000 --> 00:02:17.000]  但最令人不開心或者最depressing的東西
[00:02:17.000 --> 00:02:20.000]  令我們心底裡覺得最傷痛的東西
[00:02:20.000 --> 00:02:25.000]  就是關係都可以隨時破裂
[00:02:25.000 --> 00:02:28.000]  而且是很輕易地破裂
