
[00:00:00.000 --> 00:00:04.400]  耶穌基督受難的經歷
[00:00:04.400 --> 00:00:08.320]  在四卷的福音書裏面都有記載
[00:00:08.320 --> 00:00:14.720]  在《馬可福音》第十五章二十五節
[00:00:14.720 --> 00:00:20.800]  讓我們知道耶穌開始被釘上十字架
[00:00:20.800 --> 00:00:23.320]  是上午的九時
[00:00:23.320 --> 00:00:27.520]  接著我們看到幾卷的福音書
[00:00:27.520 --> 00:00:31.760]  譬如是《路加福音》的二十三章四十四節
[00:00:31.760 --> 00:00:34.960]  耶穌斷氣的時間
[00:00:34.960 --> 00:00:39.760]  整個大地變得黑暗
[00:00:39.760 --> 00:00:42.760]  當時是下午的三點鐘
[00:00:42.760 --> 00:00:45.360]  在這六個小時裏面
[00:00:45.360 --> 00:00:49.960]  耶穌基督在十字架上講了七句說話
[00:00:49.960 --> 00:00:53.160]  亦都是剛才公牧師來為我們讀出
[00:00:53.160 --> 00:00:56.960]  在《路加福音》、《約翰福音》、《馬太福音》裏面
[00:00:56.960 --> 00:00:59.960]  三段的經文裏面是可以見得到
[00:00:59.960 --> 00:01:07.960]  第一句的說話是寬恕之言
[00:01:07.960 --> 00:01:11.960]  在《路加福音》的二十三章三十四節
[00:01:11.960 --> 00:01:16.960]  耶穌說「父啊,赦免他們
[00:01:16.960 --> 00:01:20.960]  因為他們所做的,他們不知道」
[00:01:20.960 --> 00:01:24.960]  耶穌在受刑的時候
[00:01:24.960 --> 00:01:28.960]  一方面身體要承受極大的痛苦
[00:01:28.960 --> 00:01:30.960]  但另一方面
[00:01:30.960 --> 00:01:34.960]  祂卻是掛念著每一個罪人
[00:01:34.960 --> 00:01:40.960]  包括了和祂一起釘十字架的兩個犯人
[00:01:40.960 --> 00:01:44.960]  所以這句說話是緊隨著
[00:01:44.960 --> 00:01:50.960]  記載有兩個人和耶穌一起釘在十字架上
[00:01:51.960 --> 00:01:54.960]  但這句說話不單止是說
[00:01:54.960 --> 00:01:57.960]  要祈求天父赦免他們
[00:01:57.960 --> 00:02:04.960]  更加包括了那些要求釘死耶穌的人
[00:02:04.960 --> 00:02:08.960]  亦都包括我和你
[00:02:08.960 --> 00:02:12.960]  所以我們在剛才讀經的時候
[00:02:12.960 --> 00:02:17.960]  都一齊來呼喊釘他十字架
[00:02:18.960 --> 00:02:21.960]  耶穌為那些有罪的人
[00:02:21.960 --> 00:02:24.960]  去祈求天父的赦免
[00:02:24.960 --> 00:02:27.960]  按照這個世界的規則
[00:02:27.960 --> 00:02:29.960]  有仇是必報的
[00:02:29.960 --> 00:02:31.960]  面對攻擊他的人
[00:02:31.960 --> 00:02:33.960]  出賣他的人
[00:02:33.960 --> 00:02:36.960]  如果換作是你
[00:02:36.960 --> 00:02:40.960]  你願不願意讓他們有好日子過呢?
[00:02:40.960 --> 00:02:44.960]  可能你不單止想要報仇
[00:02:45.960 --> 00:02:48.960]  你會更希望對方是求生不得
[00:02:48.960 --> 00:02:50.960]  求死不能
[00:02:50.960 --> 00:02:53.960]  這樣才可以洩你心頭之憤
[00:02:53.960 --> 00:02:57.960]  耶穌非但沒有一個報仇的計劃
[00:02:57.960 --> 00:02:59.960]  他更加想到的是
[00:02:59.960 --> 00:03:03.960]  這些人會被上帝去定罪
[00:03:03.960 --> 00:03:04.960]  去懲罰
[00:03:04.960 --> 00:03:08.960]  故此要為他們去祈求上帝的寬恕
[00:03:08.960 --> 00:03:12.960]  耶穌基督救恩的偉大
[00:03:12.960 --> 00:03:14.960]  就是這樣顯現出來
[00:03:14.960 --> 00:03:17.960]  超過我們所能想像
[00:03:17.960 --> 00:03:22.960]  也超越了世間的一些規則
[00:03:22.960 --> 00:03:27.960]  這就是我們這群罪人的盼望所在
[00:03:27.960 --> 00:03:31.960]  耶穌第二句的說話
[00:03:31.960 --> 00:03:33.960]  是保證之言
[00:03:33.960 --> 00:03:38.960]  在路加福音第23章43節
[00:03:38.960 --> 00:03:42.960]  和耶穌和釘十字架的兩個強度
[00:03:42.960 --> 00:03:45.960]  一個在右邊一個在左邊
[00:03:45.960 --> 00:03:49.960]  其中有一個來去譏諷耶穌說
[00:03:49.960 --> 00:03:51.960]  你不是基督嗎?
[00:03:51.960 --> 00:03:54.960]  救救你自己和我們吧!
[00:03:54.960 --> 00:03:59.960]  另一個就應聲來責備這個人
[00:03:59.960 --> 00:04:02.960]  說你一樣來去仇刑
[00:04:02.960 --> 00:04:04.960]  還不怕上帝嗎?
[00:04:04.960 --> 00:04:06.960]  我們是罪有應得的
[00:04:06.960 --> 00:04:08.960]  我們是自作自受
[00:04:09.960 --> 00:04:13.960]  但這個人,他沒有做過一件不好的事
[00:04:13.960 --> 00:04:18.960]  這個強度
[00:04:18.960 --> 00:04:21.960]  在他自己受刑的時候
[00:04:21.960 --> 00:04:26.960]  他知道,人犯錯受罰是罪有應得
[00:04:26.960 --> 00:04:29.960]  但如果一個無辜的人
[00:04:29.960 --> 00:04:32.960]  沒有犯錯而去受罰
[00:04:32.960 --> 00:04:34.960]  會是甚麼事呢?
[00:04:34.960 --> 00:04:37.960]  怎麼可能有不公平的事出現呢?
[00:04:39.960 --> 00:04:41.960]  可能這個強度
[00:04:41.960 --> 00:04:44.960]  他也聽聞過關於耶穌的事
[00:04:44.960 --> 00:04:47.960]  可能也知道耶穌的教導
[00:04:47.960 --> 00:04:51.960]  但他所做的是身不由己
[00:04:51.960 --> 00:04:53.960]  他沒有辦法去改變
[00:04:53.960 --> 00:04:57.960]  所以耶穌才會為他祈求
[00:04:57.960 --> 00:04:59.960]  希望得到天父的赦免
[00:04:59.960 --> 00:05:02.960]  就在這個時候
[00:05:02.960 --> 00:05:04.960]  這個強度深深的懊悔
[00:05:04.960 --> 00:05:08.960]  也很希望他的生命有改變
[00:05:09.960 --> 00:05:12.960]  他知道自己時間無多
[00:05:12.960 --> 00:05:15.960]  故此他就跟耶穌說
