
[00:00:00.000 --> 00:00:02.240]  請姐妹早晨主內平安
[00:00:02.240 --> 00:00:05.040]  好感恩可以同大家分享訊息
[00:00:05.040 --> 00:00:07.240]  農曆新年就快到喎
[00:00:07.240 --> 00:00:08.800]  仲有大概十日到
[00:00:08.800 --> 00:00:12.080]  希望疫情進一步可以受控啦
[00:00:12.080 --> 00:00:13.240]  有好轉啦
[00:00:13.240 --> 00:00:15.000]  以致我哋都可以拜下年
[00:00:15.000 --> 00:00:16.840]  同下屋企人食飯
[00:00:16.840 --> 00:00:18.680]  我哋香港人呢好鍾意呢
[00:00:18.680 --> 00:00:21.000]  農曆新年講一啲賀年嘅說話㗎
[00:00:21.000 --> 00:00:23.000]  通常我哋香港人主要講咩㗎
[00:00:23.000 --> 00:00:25.440]  而家梗係要講身體健康啦
[00:00:25.440 --> 00:00:27.240]  而家疫情咁嚴重
[00:00:27.240 --> 00:00:29.960]  又或者香港人鍾意講恭喜發財呀
[00:00:29.960 --> 00:00:32.200]  新年進步呢啲說話
[00:00:32.200 --> 00:00:34.160]  我細細個呢我媽咪就同我講
[00:00:34.160 --> 00:00:37.080]  農曆新年呀千祈唔好講某啲字呀
[00:00:37.080 --> 00:00:38.800]  係咩字呀
[00:00:38.800 --> 00:00:41.960]  如果我去拜年呢就唔講得呢個講題㗎啦
[00:00:41.960 --> 00:00:43.480]  如果我去拜年嘅時候
[00:00:43.480 --> 00:00:46.320]  我就話我哋呢真係要至死忠心呀
[00:00:46.320 --> 00:00:47.880]  我媽媽就一定會同我講
[00:00:47.880 --> 00:00:50.960]  阿仔你口水講過咁唔吉利嘅說話
[00:00:50.960 --> 00:00:53.880]  新年流流點可以死死聲㗎呢
[00:00:53.880 --> 00:00:54.600]  係咪呀
[00:00:54.600 --> 00:00:57.600]  大家可能都聽過呢啲嘅教導係咪呀
[00:00:57.600 --> 00:01:00.080]  特別呢係個好迷信嘅香港人呢
[00:01:00.080 --> 00:01:02.120]  甚至呢佢揀屋住
[00:01:02.120 --> 00:01:03.800]  都唔會住邊一層呀
[00:01:03.800 --> 00:01:07.400]  四樓十四樓唔住啦四四聲
[00:01:07.400 --> 00:01:09.960]  結婚都唔喺四月擺走啦係咪呀
[00:01:09.960 --> 00:01:11.560]  避開啲四字
[00:01:11.560 --> 00:01:14.080]  盡量都唔好提死亡係咪呀
[00:01:14.080 --> 00:01:16.960]  好怕㗎好怕提死亡呀
[00:01:16.960 --> 00:01:20.520]  一啲特別迷信嘅香港人係咪呀
[00:01:20.520 --> 00:01:24.440]  但我哋基督教呢我哋聖經多唔多提死亡呀
[00:01:24.440 --> 00:01:27.400]  成日都講人人都有一死點呀
[00:01:27.400 --> 00:01:29.520]  死後且有審判
[00:01:29.520 --> 00:01:33.480]  我哋常常都討論死亡之後去邊一度
[00:01:33.480 --> 00:01:36.840]  又或者聖經裡面最重要嘅事件就係咩呀
[00:01:36.840 --> 00:01:39.720]  耶穌基督被釘死喺十字架上面
[00:01:39.720 --> 00:01:41.680]  受死復活囉
[00:01:41.680 --> 00:01:42.840]  經常都提㗎
[00:01:42.840 --> 00:01:46.400]  我哋唔會對死亡忌諱㗎唔會唔敢提㗎
[00:01:46.400 --> 00:01:49.640]  同埋聖經亦都常常講好多人因為
[00:01:49.640 --> 00:01:53.240]  持守主道傳福音而受死
[00:01:53.240 --> 00:01:55.160]  常常都講㗎
[00:01:55.160 --> 00:01:56.880]  點解我哋唔忌諱呢
[00:01:56.880 --> 00:01:58.360]  點解我哋唔怕講呢
[00:01:58.360 --> 00:02:01.480]  因為我哋基督徒唔在乎生命嘅長短
[00:02:01.480 --> 00:02:03.040]  只在乎生活
[00:02:03.040 --> 00:02:04.640]  活得有冇價值
[00:02:04.640 --> 00:02:07.080]  有冇意義
[00:02:07.080 --> 00:02:11.440]  今日呢我會同大家睇啟示錄七封書信嘅第二封書信
[00:02:11.440 --> 00:02:13.880]  就係寫畀善美娜教會嘅
[00:02:13.880 --> 00:02:17.160]  咁佢哋嘅信徒呢都係面臨死亡嘅威脅
[00:02:17.160 --> 00:02:23.680]  隨時因為呢遵守主道呢就殉道為主受死
[00:02:23.680 --> 00:02:25.560]  面對呢個死亡嘅威脅
[00:02:25.560 --> 00:02:27.560]  上帝就透過呢封書信
