
[00:00:00.000 --> 00:00:02.220]  我幾歲大的時候
[00:00:02.220 --> 00:00:07.340]  每個禮拜都去探望我的外婆
[00:00:07.340 --> 00:00:09.040]  那
[00:00:09.040 --> 00:00:11.760]  我外婆是很疼我的
[00:00:11.760 --> 00:00:16.520]  但是她每次都和我說同一句話
[00:00:16.520 --> 00:00:21.000]  她用很濃厚的順德話來說
[00:00:21.000 --> 00:00:24.280]  「你個亂仔唔知閉蟻」
[00:00:24.280 --> 00:00:26.960]  「亂仔唔知閉蟻」
[00:00:26.960 --> 00:00:29.300]  「亂」就是「又亂」的「亂」
[00:00:29.300 --> 00:00:31.120]  就不是「作亂」那個「亂」
[00:00:31.120 --> 00:00:32.600]  雖然有時都會的
[00:00:32.600 --> 00:00:34.360]  那麼「閉蟻」
[00:00:34.360 --> 00:00:37.260]  我小時候聽得多
[00:00:37.260 --> 00:00:39.580]  就想學外婆去「閉蟻」
[00:00:39.580 --> 00:00:41.200]  但是學不會
[00:00:41.200 --> 00:00:44.720]  長大後就不用學都會了
[00:00:44.720 --> 00:00:50.060]  我留意這個時代的人就特別「閉蟻」
[00:00:50.060 --> 00:00:53.800]  甚至「閉蟻到絕望」
[00:00:53.800 --> 00:00:56.560]  什麼叫做「閉蟻到絕望」呢?
[00:00:56.560 --> 00:00:59.280]  就是「絕望到唔再閉蟻」
[00:00:59.320 --> 00:01:00.840]  這個就叫做「躺平」
[00:01:00.840 --> 00:01:03.500]  幾年前流行的一個名詞
[00:01:03.500 --> 00:01:07.400]  現在就有個新的名詞出現
[00:01:07.400 --> 00:01:08.680]  不知道有沒有聽過
[00:01:08.680 --> 00:01:10.380]  叫做「淡人」
[00:01:10.380 --> 00:01:12.560]  「淡」就是「懶淡」的「淡」
[00:01:12.560 --> 00:01:17.940]  那麼究竟「躺平」和「淡人」有什麼分別呢?
[00:01:17.940 --> 00:01:23.140]  「躺平」就是有些人面對社會殘酷的競爭
[00:01:23.140 --> 00:01:26.440]  覺得自己沒有辦法勝過
[00:01:26.440 --> 00:01:28.180]  最後就放棄
[00:01:28.180 --> 00:01:29.640]  怎麼放棄呢?
[00:01:29.640 --> 00:01:33.780]  不做工、不結婚、不生子、不買樓
[00:01:33.780 --> 00:01:37.920]  過一個最低消費的生活就是「躺平」
[00:01:37.920 --> 00:01:41.400]  那麼「淡人」又是什麼呢?
[00:01:41.400 --> 00:01:45.580]  「淡人」就是有些人發現自己競爭就競爭不了
[00:01:45.580 --> 00:01:49.480]  但是「躺平」又「躺唔平」
[00:01:49.480 --> 00:01:52.140]  於是就做了「淡人」
[00:01:52.140 --> 00:01:55.900]  「淡人」就比「躺平」積極一點
[00:01:55.900 --> 00:01:57.300]  很少很少
[00:01:57.640 --> 00:01:59.940]  但是仍然是非常消極
[00:01:59.940 --> 00:02:03.940]  用最少的努力去維持一份工作
[00:02:03.940 --> 00:02:07.040]  不求升職、不求加薪
[00:02:07.040 --> 00:02:10.840]  總之做到老闆辭退你又不是
