
[00:00:00.000 --> 00:00:03.400]  這幫軍人為了要捍衛他們的國土
[00:00:03.400 --> 00:00:04.960]  帶著崇高的理想
[00:00:04.960 --> 00:00:10.800]  他們是背後的眼淚、傷痛、身酸傷亡
[00:00:10.800 --> 00:00:12.640]  是值得的
[00:00:12.640 --> 00:00:16.080]  我們的生命用很多不同的優先次序
[00:00:16.080 --> 00:00:19.040]  一層接一層的價值觀去建構
[00:00:19.040 --> 00:00:20.480]  好像洋蔥一樣
[00:00:20.480 --> 00:00:22.840]  最中心的是我們的核心價值
[00:00:22.840 --> 00:00:24.640]  一些我們最緊張的東西
[00:00:24.640 --> 00:00:27.240]  漸次地一路排序
[00:00:27.240 --> 00:00:29.880]  我們沒有人會喜歡受苦
[00:00:29.880 --> 00:00:32.640]  或者沒有了一些我們喜歡的東西
[00:00:32.640 --> 00:00:35.400]  不過假如沒有了一些次要的
[00:00:35.400 --> 00:00:38.400]  可以捍衛一些最重要的
[00:00:38.400 --> 00:00:41.400]  我們仍然用得下
[00:00:41.400 --> 00:00:42.840]  一個很簡單的例子
[00:00:42.840 --> 00:00:43.800]  如果有人跟你說
[00:00:43.800 --> 00:00:46.080]  你牙一刀你的樣子會好一點的話
[00:00:46.080 --> 00:00:48.760]  我舉個幾個構制
[00:00:48.760 --> 00:00:51.160]  除非你的價值觀覺得你的樣子很重要
[00:00:51.160 --> 00:00:52.640]  有的
[00:00:52.640 --> 00:00:53.960]  但如果有醫生跟你說
[00:00:53.960 --> 00:00:56.280]  你牙一刀你的病可以痊癒
[00:00:56.280 --> 00:00:58.160]  換取你的健康
[00:00:58.160 --> 00:01:00.000]  這一刀仍然很痛
[00:01:00.000 --> 00:01:01.600]  你仍然很害怕
[00:01:01.600 --> 00:01:03.000]  你仍然不想
[00:01:03.000 --> 00:01:06.920]  但我猜很多人都想用得下
[00:01:06.920 --> 00:01:09.560]  所以建構一個準確的價值觀
[00:01:09.560 --> 00:01:13.120]  看得準這個優先次序是很重要的
[00:01:13.120 --> 00:01:14.960]  在我們的信仰路上
[00:01:14.960 --> 00:01:16.360]  為了見精神
[00:01:16.360 --> 00:01:19.640]  可以去得多盡
[00:01:19.640 --> 00:01:22.480]  或者是否真的甘心樂意的擺相
[00:01:22.480 --> 00:01:24.040]  同樣要看看我們
[00:01:24.040 --> 00:01:27.600]  在我們恆常心耕世作的操練裏面
[00:01:27.600 --> 00:01:31.000]  究竟在建構一個怎樣的價值觀
[00:01:31.000 --> 00:01:32.840]  怎樣的優先次序
[00:01:32.840 --> 00:01:34.080]  讓我們在今天的經文
[00:01:34.080 --> 00:01:37.120]  一同思想去學習
[00:01:37.120 --> 00:01:42.160]  我們看《路加福音》十二章一至十二節
[00:01:42.160 --> 00:01:44.240]  在上文提到
[00:01:44.240 --> 00:01:45.800]  這班猶太的宗教領袖
[00:01:45.800 --> 00:01:48.680]  他們反駁耶穌對他們的責備
[00:01:48.680 --> 00:01:52.320]  要找機會找耶穌的把柄
[00:01:52.320 --> 00:01:53.640]  與此同時
[00:01:53.640 --> 00:01:55.200]  來到今天的這段經文
[00:01:55.200 --> 00:01:57.560]  我們只看第一節,他們說甚麼
[00:01:57.560 --> 00:01:59.320]  有幾萬人聚集
[00:01:59.320 --> 00:02:02.480]  甚至彼此踐踏
[00:02:02.480 --> 00:02:03.680]  我猜勿論這班人
[00:02:03.680 --> 00:02:05.720]  他們帶著甚麼動機跟著耶穌
[00:02:05.720 --> 00:02:08.640]  明顯耶穌當時成為很矚目
[00:02:08.640 --> 00:02:12.600]  挑戰當時猶太宗教體系的核心地位
[00:02:12.600 --> 00:02:16.680]  耶穌受敵視的將領越來越嚴峻
[00:02:16.680 --> 00:02:18.400]  耶穌亦預備這班門徒
[00:02:18.400 --> 00:02:20.480]  面對當時敵對的勢力
[00:02:20.480 --> 00:02:24.200]  讓他們在困難裏面站得穩
[00:02:24.200 --> 00:02:28.320]  留意第一節,祂先向門徒說話
[00:02:28.320 --> 00:02:31.200]  祂未向那班群眾說到之前
[00:02:31.200 --> 00:02:35.480]  先向門徒說話,跟他們有些訓練
[00:02:35.480 --> 00:02:37.840]  耶穌要調教門徒的價值觀
[00:02:37.840 --> 00:02:41.000]  將他們的焦點在眼前人
[00:02:41.000 --> 00:02:45.000]  被他們的逼迫、懼怕
[00:02:45.000 --> 00:02:47.760]  轉移到永恆的角度
[00:02:47.760 --> 00:02:51.680]  在上帝面前,你將會怎樣被定斷
[00:02:51.680 --> 00:02:57.080]  如果你有程序表,我們試試看這段經文
[00:02:57.080 --> 00:02:59.560]  這段經文可以分段
[00:02:59.560 --> 00:03:03.720]  有些幫手的開引號和關引號
[00:03:03.720 --> 00:03:08.080]  我們試試用開引號和關引號分三段
[00:03:08.080 --> 00:03:10.680]  我們先看第一段,一起讀,好嗎?
[00:03:10.680 --> 00:03:11.960]  1、2、3
[00:03:11.960 --> 00:03:17.040]  「這時有幾萬人聚集,甚至彼此踐踏」
[00:03:17.040 --> 00:03:19.600]  「耶穌就先對門徒說」
[00:03:19.600 --> 00:03:22.920]  「你們要防備法利菜人的教」
[00:03:22.920 --> 00:03:25.000]  「就是假冒為善」
[00:03:25.000 --> 00:03:28.520]  「掩蓋的事,沒有不顯露出來的」
[00:03:28.520 --> 00:03:32.160]  「隱藏的事,也沒有不被人知道的」
[00:03:32.160 --> 00:03:35.400]  「因此,你們在暗中所說的」
[00:03:35.400 --> 00:03:38.360]  「將要在明處被人聽見」
[00:03:38.360 --> 00:03:40.840]  「在密室庫以所說的」
[00:03:40.840 --> 00:03:44.520]  「將要在屋頂上被人宣揚」
[00:03:44.520 --> 00:03:47.080]  大家很厲害,會停的
[00:03:47.080 --> 00:03:49.800]  連他們也會停,很厲害
[00:03:49.800 --> 00:03:53.760]  這段經文很明顯在說的重點是
[00:03:53.760 --> 00:03:57.360]  「你不要虛有其表,假冒為善」
[00:03:57.360 --> 00:04:01.080]  「你騙到人,其實你騙不了神」
[00:04:01.080 --> 00:04:02.440]  有效果,對吧?
[00:04:02.440 --> 00:04:05.840]  好,第二段了,幾節?
[00:04:05.840 --> 00:04:09.040]  4至7,來吧,1、2、3
[00:04:09.040 --> 00:04:11.760]  「我的朋友,我對你們說」
[00:04:11.760 --> 00:04:14.480]  「那最多只能殺人身體」
[00:04:14.480 --> 00:04:16.520]  「而不能再做什麼的」
[00:04:16.520 --> 00:04:18.200]  「不要怕他們」
[00:04:18.200 --> 00:04:21.120]  「我提醒你們,該怕的是誰」
[00:04:21.120 --> 00:04:23.240]  「該怕那殺了以後」
[00:04:23.240 --> 00:04:26.720]  「又有權病把人瘋在地獄裡的」
[00:04:26.720 --> 00:04:30.400]  「是的,我告訴你們,正要怕他」
[00:04:30.400 --> 00:04:33.800]  「五隻麻雀不是賣兒童情事嗎」
[00:04:33.800 --> 00:04:37.560]  「但在神面前,一隻也不被忘記」
[00:04:37.560 --> 00:04:41.120]  「就是你們的頭髮也都數過了」
[00:04:41.120 --> 00:04:46.080]  「不要懼怕,你們比許多的麻雀還貴重」
[00:04:46.080 --> 00:04:50.320]  這段經文的重點很明顯是在說害怕的對象
[00:04:50.320 --> 00:04:50.880]  對吧?
[00:04:50.880 --> 00:04:53.800]  你要害怕神,不要害怕人
[00:04:53.800 --> 00:04:57.000]  好,第三段很明顯就是最後的8至12
[00:04:57.000 --> 00:04:58.200]  1、2、3
[00:04:58.200 --> 00:05:02.600]  「告訴你們,凡在人面前認我的」
[00:05:02.600 --> 00:05:06.720]  「人只在神的視者面前也必認他」
[00:05:06.720 --> 00:05:09.160]  「在人面前不認我的」
[00:05:09.160 --> 00:05:13.480]  「人只在神的視者面前也必不認他」
[00:05:13.480 --> 00:05:17.800]  「凡說話干犯人指的,還可得赦免」
[00:05:17.800 --> 00:05:21.720]  「但是說讀聖靈的,總不得赦免」
