
[00:00:00.000 --> 00:00:02.000]  在六月份的講道裡面
[00:00:02.000 --> 00:00:05.420]  我就講到南國猶大的一個王
[00:00:05.420 --> 00:00:07.160]  叫做約沙伐
[00:00:07.160 --> 00:00:10.180]  當時我提到約沙伐是一位好的王
[00:00:10.180 --> 00:00:11.820]  聖經讚賞他
[00:00:11.820 --> 00:00:14.080]  在南國猶大的歷史裡面
[00:00:14.080 --> 00:00:17.200]  才有過三次的宗教的復興
[00:00:17.200 --> 00:00:21.100]  而約沙伐王就是帶領第一次的宗教復興
[00:00:21.100 --> 00:00:24.800]  不過約沙伐王也犯了一個很嚴重的錯誤
[00:00:24.800 --> 00:00:26.180]  這個嚴重的錯誤
[00:00:26.180 --> 00:00:29.360]  就是他很想跟北面的以色列王國
[00:00:29.360 --> 00:00:31.220]  和平共處
[00:00:31.220 --> 00:00:34.520]  於是乎他就跟北面的以色列王國的國王
[00:00:34.520 --> 00:00:37.420]  阿哈結為親家
[00:00:37.420 --> 00:00:40.060]  而阿哈在聖經裡面就講到
[00:00:40.060 --> 00:00:41.540]  他是拜巴力
[00:00:41.540 --> 00:00:43.180]  拜亞瑟拉
[00:00:43.180 --> 00:00:46.220]  並且殺耶和華先知的一個惡的王
[00:00:46.220 --> 00:00:47.760]  而這個錯誤
[00:00:47.760 --> 00:00:51.300]  將這個惡帶到整個猶大國裡面
[00:00:51.300 --> 00:00:52.480]  這個錯誤
[00:00:52.480 --> 00:00:56.400]  差點就將整個猶大王國滅亡
[00:00:56.400 --> 00:01:00.540]  聖經很清楚指出神不喜悅人和惡走在一起
[00:01:00.540 --> 00:01:02.740]  神期待每一個屬於他的人
[00:01:02.740 --> 00:01:04.660]  能夠與世俗分別
[00:01:04.660 --> 00:01:07.160]  能夠行在神的心意裡面
[00:01:07.160 --> 00:01:08.380]  與神同行
[00:01:08.380 --> 00:01:09.280]  最後可惜
[00:01:09.280 --> 00:01:10.720]  這位約沙伐王
[00:01:10.720 --> 00:01:13.400]  沒有理會神在這方面的教導
[00:01:13.400 --> 00:01:15.940]  約沙伐王的兒子叫做約南
[00:01:15.940 --> 00:01:18.100]  他娶了以色列王阿哈
[00:01:18.100 --> 00:01:20.180]  這位拜偶像的王
[00:01:20.180 --> 00:01:21.320]  他的女兒
[00:01:21.320 --> 00:01:23.460]  阿塔利亞為妻
[00:01:23.460 --> 00:01:27.100]  結果這個惡就引入了整個猶大國裡面
[00:01:27.100 --> 00:01:28.840]  約沙伐王死了之後
[00:01:28.840 --> 00:01:30.100]  他的兒子約南王
[00:01:30.100 --> 00:01:31.740]  立即就在國家裡面
[00:01:31.740 --> 00:01:34.400]  推動去拜偶像拜巴力
[00:01:34.400 --> 00:01:36.940]  約南王在世總共有八年
[00:01:36.940 --> 00:01:38.600]  八年之後就死了
[00:01:38.600 --> 00:01:39.600]  他的兒子
[00:01:39.600 --> 00:01:41.280]  阿哈謝繼位
[00:01:41.280 --> 00:01:43.180]  這個兒子同樣是一位
[00:01:43.180 --> 00:01:45.540]  推動去拜偶像的君王
[00:01:45.540 --> 00:01:47.420]  不過這個兒子和他爸爸
[00:01:47.420 --> 00:01:49.300]  一樣是一個短命的君王
[00:01:49.300 --> 00:01:50.620]  在一年之後
[00:01:50.620 --> 00:01:51.860]  他就死了
[00:01:51.860 --> 00:01:55.140]  當約南王死了之後
[00:01:55.140 --> 00:01:58.640]  他的兒子阿哈謝一年之後又死了之後
[00:01:58.640 --> 00:02:01.140]  約南王的妻子阿塔利亞
[00:02:01.140 --> 00:02:04.160]  即是以色列王阿哈的女兒
[00:02:04.160 --> 00:02:06.040]  見到自己的丈夫死了
[00:02:06.040 --> 00:02:08.120]  又見到自己的兒子死了
[00:02:08.120 --> 00:02:09.200]  聖經就說
[00:02:09.200 --> 00:02:14.560]  他就起來剿滅整個猶大王國裡面的所有王族的後裔
[00:02:14.560 --> 00:02:16.560]  自立為女王
[00:02:16.560 --> 00:02:20.400]  他比中國的女王武則天更加早作女王
[00:02:20.400 --> 00:02:23.200]  因為根據記述
[00:02:23.200 --> 00:02:28.820]  阿塔利亞死的時候大概是主前八百三十五年
[00:02:28.820 --> 00:02:30.720]  而武則天死的時候
[00:02:30.720 --> 00:02:32.660]  是主後七百零幾年
[00:02:32.660 --> 00:02:33.680]  換言之
[00:02:33.680 --> 00:02:36.040]  兩者相差了一千五百多年
[00:02:36.040 --> 00:02:37.400]  而相差這麼久
[00:02:37.400 --> 00:02:39.900]  他就已經很早作為女王了
[00:02:39.900 --> 00:02:41.680]  在這個時候
[00:02:41.680 --> 00:02:43.540]  猶大王室的血脈
[00:02:43.540 --> 00:02:46.440]  差一點就要來到中段的時候
[00:02:46.440 --> 00:02:48.480]  阿哈謝的妹妹
[00:02:48.480 --> 00:02:52.180]  大祭司耶和耶帶的妻子約士巴
[00:02:52.180 --> 00:02:55.980]  偷偷地將阿哈謝的兒子約阿斯
[00:02:55.980 --> 00:02:58.320]  和他的羽毛收藏起來
[00:02:58.320 --> 00:03:00.820]  最後藏在聖殿裡面
[00:03:00.820 --> 00:03:01.900]  六年之後
[00:03:01.900 --> 00:03:03.440]  大祭司耶和耶帶
[00:03:03.440 --> 00:03:05.660]  得到了眾祭司利美人
[00:03:05.660 --> 00:03:08.260]  和守殿的軍人的支持之下
[00:03:08.260 --> 00:03:10.260]  發動了一次政變
[00:03:10.260 --> 00:03:13.180]  最終推翻了阿塔利亞
[00:03:13.180 --> 00:03:14.960]  並且將他們處死
[00:03:14.960 --> 00:03:19.120]  立這位只有七歲的約阿斯為王
[00:03:19.120 --> 00:03:22.460]  而約阿斯在大祭司耶和耶帶的輔助之下
[00:03:22.460 --> 00:03:23.640]  他認識神
[00:03:23.640 --> 00:03:25.320]  進行神的真理
[00:03:25.320 --> 00:03:26.620]  行神的律法
[00:03:26.620 --> 00:03:28.620]  成為了一代的賢君
[00:03:28.620 --> 00:03:30.620]  只可惜聖經也告訴他
[00:03:30.620 --> 00:03:33.080]  當大祭司耶和耶帶死了之後
[00:03:33.080 --> 00:03:35.680]  這位曾經來進行真理
[00:03:35.680 --> 00:03:37.860]  重修聖殿的約阿斯王
[00:03:37.860 --> 00:03:39.460]  他就倒行逆施
[00:03:39.460 --> 00:03:43.180]  將從前所有在國裡面推行的宗教事務
[00:03:43.180 --> 00:03:45.380]  全部推倒重來
