
[00:00:00.000 --> 00:00:02.940]  我這個鏡頭第一次的浸禮
[00:00:02.940 --> 00:00:04.440]  很感謝主皇
[00:00:04.440 --> 00:00:07.940]  我們那天有八個大兄姊妹受浸
[00:00:07.940 --> 00:00:10.440]  其實我每次出席浸禮
[00:00:10.440 --> 00:00:11.700]  我都很開心的
[00:00:11.700 --> 00:00:12.540]  但是這次特別
[00:00:12.540 --> 00:00:15.600]  因為是我們這個鏡頭第一次浸禮
[00:00:15.600 --> 00:00:17.800]  每一個見證
[00:00:17.800 --> 00:00:22.200]  其實都給我一個很深刻的感受
[00:00:22.200 --> 00:00:24.840]  就是神真的很厲害 又很好
[00:00:24.840 --> 00:00:26.440]  因為祂在每一個人生命當中
[00:00:26.440 --> 00:00:28.940]  怎樣帶領他去信耶穌的過程
[00:00:28.940 --> 00:00:30.360]  都不一樣的
[00:00:30.360 --> 00:00:32.760]  所以令我十分的振奮
[00:00:32.760 --> 00:00:34.700]  更加積極去侍奉上帝
[00:00:34.700 --> 00:00:36.360]  不過其中一個見證
[00:00:36.360 --> 00:00:38.900]  就跟我今天跟大家分享的題目
[00:00:38.900 --> 00:00:40.860]  很有關係的
[00:00:40.860 --> 00:00:42.900]  所以就要跟大家分享
[00:00:42.900 --> 00:00:43.660]  那個見證
[00:00:43.660 --> 00:00:45.460]  不好意思 還沒問過祂
[00:00:45.460 --> 00:00:47.900]  不過祂說了應該沒問題
[00:00:47.900 --> 00:00:50.660]  其中一個姊妹跟我們分享的是什麼呢
[00:00:50.660 --> 00:00:51.560]  說信耶穌沒有多久
[00:00:51.560 --> 00:00:54.040]  或者應該是如果我沒有說錯的話
[00:00:54.040 --> 00:00:56.660]  是祂決定會怎樣受浸沒多久
[00:00:56.660 --> 00:00:59.360]  她就發覺自己有癌症
[00:00:59.360 --> 00:01:00.440]  是吧
[00:01:00.440 --> 00:01:04.100]  那就 嘩
[00:01:04.100 --> 00:01:05.800]  對很多人來說
[00:01:05.800 --> 00:01:08.060]  這個是人生的風暴
[00:01:08.060 --> 00:01:09.100]  會不會
[00:01:09.100 --> 00:01:11.260]  忽然間 嘩 有癌症
[00:01:11.260 --> 00:01:13.440]  不單單是風暴 是大風暴
[00:01:13.440 --> 00:01:14.440]  OK
[00:01:14.440 --> 00:01:16.000]  但是令我感動的地方是什麼呢
[00:01:16.000 --> 00:01:17.460]  這個姊妹分享的時候
[00:01:17.460 --> 00:01:19.600]  啊 是嗎
[00:01:19.600 --> 00:01:21.560]  好像沒有害怕過
[00:01:21.560 --> 00:01:22.860]  就是她表現都沒有害怕過
[00:01:22.860 --> 00:01:24.760]  她說她沒有感到恐懼
[00:01:24.760 --> 00:01:26.700]  而且在整個過程當中
[00:01:26.700 --> 00:01:30.100]  反而她是很深深地體會到
[00:01:30.100 --> 00:01:32.700]  弟兄姊妹對她的愛和關心
[00:01:32.700 --> 00:01:35.840]  所以她是十分地感動的
[00:01:35.840 --> 00:01:39.400]  其實說到類似人生的風暴
[00:01:39.400 --> 00:01:41.660]  其實每個人早晚都會遇到的
[00:01:41.660 --> 00:01:44.400]  甚至可能你已經遇過都未定
[00:01:44.400 --> 00:01:46.260]  無論風暴是大是小
[00:01:46.260 --> 00:01:48.160]  總之人生裡面就是有風暴的
[00:01:48.160 --> 00:01:49.900]  不如有重病啊
[00:01:49.900 --> 00:01:52.640]  或者有經濟的危機
[00:01:52.640 --> 00:01:55.700]  婚姻已經列出了一個 已經有裂痕
[00:01:55.700 --> 00:01:57.700]  不知道怎樣去修補啊
[00:01:57.700 --> 00:02:01.100]  或者發覺你的子女健康
[00:02:01.100 --> 00:02:03.640]  有些事情是不行的
[00:02:03.640 --> 00:02:07.940]  或者有一些是很不正常的行為
[00:02:07.940 --> 00:02:09.800]  你不知道應該怎樣去處理
[00:02:09.800 --> 00:02:11.160]  或者你在做工
[00:02:11.160 --> 00:02:12.360]  特別是那幾個月
[00:02:12.360 --> 00:02:15.940]  很緊張 經常害怕被人家「炒油」
[00:02:15.940 --> 00:02:17.760]  另外一些人生的風暴
[00:02:17.760 --> 00:02:19.900]  我覺得是很難去抵受的
[00:02:19.900 --> 00:02:22.740]  是被你的親友出賣
[00:02:22.740 --> 00:02:23.660]  不知道你有沒有試過
[00:02:23.660 --> 00:02:25.500]  希望沒有吧
[00:02:25.500 --> 00:02:30.000]  不知道你遇到人生的風暴的時候
[00:02:30.000 --> 00:02:31.740]  你是怎樣回應的呢
[00:02:31.740 --> 00:02:35.040]  或者你以前是怎樣回應的呢
[00:02:35.040 --> 00:02:36.360]  將來的我不知道
[00:02:36.360 --> 00:02:37.260]  希望經過今天之後
[00:02:37.260 --> 00:02:40.460]  你有一些不同的方法
[00:02:40.460 --> 00:02:43.060]  你以前是怎樣回應的呢
