
[00:00:00.000 --> 00:00:07.000]  願因為平安 從天父上帝 並主耶穌基督 歸給回眾
[00:00:07.000 --> 00:00:11.000]  今日我們的經文
[00:00:11.000 --> 00:00:14.000]  就是根據三代經題的福音題
[00:00:14.000 --> 00:00:20.000]  就是在路加福音的第六章
[00:00:20.000 --> 00:00:28.000]  第二十七節到第四十二節
[00:00:30.000 --> 00:00:33.000]  找到的請聽我讀出來
[00:01:00.000 --> 00:01:03.000]  凡叩告你的就給他
[00:01:03.000 --> 00:01:05.000]  有人拿走你的東西
[00:01:05.000 --> 00:01:07.000]  不要討回來
[00:01:07.000 --> 00:01:09.000]  第三一節
[00:01:09.000 --> 00:01:11.000]  你們想要人怎樣待你們
[00:01:11.000 --> 00:01:13.000]  你們也要怎樣待人
[00:01:13.000 --> 00:01:17.000]  你們若只愛那愛你們的
[00:01:17.000 --> 00:01:20.000]  有什麼可感謝的呢
[00:01:20.000 --> 00:01:23.000]  就是罪人也愛那愛他們的人
[00:01:23.000 --> 00:01:27.000]  你們若善待那善待你們的人
[00:01:27.000 --> 00:01:30.000]  有什麼可感謝的呢
[00:01:30.000 --> 00:01:33.000]  就是罪人也是這樣做
[00:01:33.000 --> 00:01:35.000]  你們若謝給人
[00:01:35.000 --> 00:01:36.000]  希望從他收回
[00:01:36.000 --> 00:01:40.000]  有什麼可感謝的呢
[00:01:40.000 --> 00:01:43.000]  就是罪人也謝給罪人
[00:01:43.000 --> 00:01:45.000]  就如數收回
[00:01:45.000 --> 00:01:47.000]  你們都要愛受的
[00:01:47.000 --> 00:01:49.000]  要善待他們
[00:01:49.000 --> 00:01:54.000]  並要謝給人不忘償還
[00:01:54.000 --> 00:01:57.000]  你們的賞賜就很多了
[00:01:57.000 --> 00:02:00.000]  你們別作至高者的兒子
[00:02:00.000 --> 00:02:04.000]  因為他因待那忘恩的和作惡的
[00:02:04.000 --> 00:02:05.000]  你們要仁慈
[00:02:05.000 --> 00:02:09.000]  像你們的父是仁慈的
[00:02:09.000 --> 00:02:10.000]  第三十七節
[00:02:10.000 --> 00:02:12.000]  你們不可評斷別人
[00:02:12.000 --> 00:02:13.000]  就不必審判
[00:02:13.000 --> 00:02:15.000]  你們不要定人的罪
[00:02:15.000 --> 00:02:16.000]  就不必定罪
[00:02:16.000 --> 00:02:19.000]  你們要饒恕人就必蒙饒恕
[00:02:19.000 --> 00:02:20.000]  你們要給人
[00:02:20.000 --> 00:02:23.000]  就必有給你們的
[00:02:23.000 --> 00:02:25.000]  並且用十足的星斗
[00:02:25.000 --> 00:02:27.000]  連搖帶按
[00:02:27.000 --> 00:02:29.000]  上尖下流地
[00:02:29.000 --> 00:02:31.000]  倒在你們的懷裡
[00:02:31.000 --> 00:02:33.000]  因為你們用什麼良器
[00:02:33.000 --> 00:02:34.000]  量給人
[00:02:34.000 --> 00:02:37.000]  也必用什麼良器
[00:02:37.000 --> 00:02:39.000]  量給你們
[00:02:39.000 --> 00:02:40.000]  七十九節
[00:02:40.000 --> 00:02:41.000]  耶穌有用
[00:02:41.000 --> 00:02:43.000]  比喻對他們說
[00:02:43.000 --> 00:02:45.000]  核子豈能領核子
[00:02:45.000 --> 00:02:49.000]  兩個人不是都要吊在坑裡嗎
[00:02:49.000 --> 00:02:52.000]  學生不高過老師
[00:02:52.000 --> 00:02:54.000]  發學成了的
[00:02:54.000 --> 00:02:56.000]  會和老師一樣
[00:02:56.000 --> 00:03:00.000]  為什麼看見你弟兄眼中有刺
[00:03:00.000 --> 00:03:04.000]  卻不想到自己眼中有良目呢
[00:03:04.000 --> 00:03:07.000]  你不見自己眼中有良目
[00:03:07.000 --> 00:03:09.000]  怎能對你弟兄說
[00:03:09.000 --> 00:03:13.000]  讓我去吊你眼中的刺呢
[00:03:13.000 --> 00:03:15.000]  你這假冒為事的人
[00:03:15.000 --> 00:03:19.000]  先去吊自己眼中的良目
[00:03:19.000 --> 00:03:21.000]  然後才能看得清楚
[00:03:21.000 --> 00:03:28.000]  我去吊你弟兄眼中的刺
[00:03:52.000 --> 00:03:53.000]  你看見嗎
[00:03:53.000 --> 00:03:54.000]  下山
[00:03:54.000 --> 00:03:56.000]  十七節
[00:03:56.000 --> 00:03:59.000]  耶穌和他們下了山
[00:03:59.000 --> 00:04:01.000]  他挑選了十二個門頭
[00:04:01.000 --> 00:04:02.000]  下了山
[00:04:02.000 --> 00:04:05.000]  然後跟他們說了一番說話
