
[00:00:00.000 --> 00:00:03.040]  今天是二零一八年第一個的主日
[00:00:03.040 --> 00:00:05.440]  今天是二零一八年第一個聚會
[00:00:05.440 --> 00:00:09.040]  我們在這裡祝願弟兄姊妹身體健康
[00:00:09.040 --> 00:00:11.840]  我們在這邊祝願弟兄姊妹身體健康
[00:00:11.840 --> 00:00:14.000]  靈命成長
[00:00:14.000 --> 00:00:16.560]  希望你們今年好像我們的主題一樣
[00:00:16.560 --> 00:00:18.960]  希望你們今年很像我們的主題一樣
[00:00:18.960 --> 00:00:21.600]  活出生命之道
[00:00:21.600 --> 00:00:23.760]  我們同心去拓展天國的福音
[00:00:23.760 --> 00:00:26.640]  我們一起同心來拓展天國的福音
[00:00:26.640 --> 00:00:32.240]  昨天星期六我們有個敬拜聚會
[00:00:32.240 --> 00:00:36.880]  牧師就分享了我自己生命的故事
[00:00:36.880 --> 00:00:42.160]  如果大家有興趣在教會的臉書可以重溫那個片段
[00:00:42.160 --> 00:00:46.320]  如果大家有興趣可以去教會的臉書上面去重溫昨天的信息
[00:00:46.320 --> 00:00:51.600]  問一下大家知不知道我們教會逢禮拜日早上九點半有個什麼聚會
[00:00:51.600 --> 00:00:59.040]  問一下大家知不知道我們教會逢禮拜日早上九點半有個什麼聚會
[00:00:59.040 --> 00:01:01.440]  祈禱會
[00:01:01.440 --> 00:01:05.360]  其實那個安排是體恤大家頂姐妹
[00:01:05.360 --> 00:01:07.840]  就不用你們週間又再回來
[00:01:07.840 --> 00:01:11.840]  其實這個安排是體恤弟兄姊妹週間就不需要再回到教會
[00:01:11.840 --> 00:01:14.960]  所以星期日一次過就可以祈禱
[00:01:14.960 --> 00:01:16.080]  然後一起崇拜
[00:01:16.080 --> 00:01:19.760]  所以星期天就可以一起禱告再一起崇拜
[00:01:19.760 --> 00:01:24.560]  呼籲大家早一點點回來一起去用禱告托住教會的工作
[00:01:24.560 --> 00:01:29.040]  我呼籲大家可以早些回到教會一起用禱告來托住我們的教會
[00:01:29.040 --> 00:01:31.440]  有人這樣說多禱告多有能力
[00:01:31.440 --> 00:01:33.520]  有人這樣說多禱告多有能力
[00:01:33.520 --> 00:01:34.960]  少禱告少有能力
[00:01:34.960 --> 00:01:36.320]  少禱告少有能力
[00:01:36.320 --> 00:01:38.960]  不禱告我們就沒力了
[00:01:38.960 --> 00:01:40.480]  不禱告我們就沒有力了
[00:01:40.480 --> 00:01:42.560]  希望大家用禱告去托住教會
[00:01:42.560 --> 00:01:44.960]  希望大家一起用禱告來托住教會
[00:01:44.960 --> 00:01:48.800]  今年的主題是活出生命之道 拓展天國的福音
[00:01:48.800 --> 00:01:52.400]  今年的主題是活出生命之道 拓展天國的福音
[00:01:52.400 --> 00:01:56.560]  我們選用的經文就是菲勒比書二章十五至十六節
[00:01:56.560 --> 00:02:00.560]  我們所用的經文就是選在菲利比書二章十五到十六節
[00:02:00.560 --> 00:02:04.800]  這裡說在這彎曲薄茂的世代作神無瑕疵的兒女
[00:02:04.800 --> 00:02:09.120]  這裡說到在這彎曲被謬的世代作神無瑕疵的兒女
[00:02:09.120 --> 00:02:12.320]  你們顯在這世代中好像明光照耀
[00:02:12.320 --> 00:02:15.200]  你們顯在這世代中好像明光照耀
[00:02:15.200 --> 00:02:16.960]  將生命之道表明出來
[00:02:16.960 --> 00:02:18.720]  將生命的道表明出來
[00:02:18.720 --> 00:02:22.800]  好叫我在基督的日子好誇我沒有空跑也沒有徒勞
[00:02:22.800 --> 00:02:27.280]  叫我在基督的日子好誇我沒有空跑也沒有徒勞
[00:02:27.280 --> 00:02:29.280]  今天早上Sam問我
[00:02:29.280 --> 00:02:33.600]  牧師今年你會不會用一個系列的去講道呢?
[00:02:33.600 --> 00:02:35.200]  今天早上Sam問我說
[00:02:35.200 --> 00:02:38.240]  牧師你會不會用一個系列的來帶著我們讀經
[00:02:38.240 --> 00:02:40.960]  其實我之前是經過祈禱和思考
[00:02:40.960 --> 00:02:43.280]  其實我之前是經過禱告和思想
[00:02:43.280 --> 00:02:46.640]  我希望今年每個月的第一次的主日
[00:02:46.640 --> 00:02:49.120]  我希望今年每個月的第一次的主日
[00:02:49.120 --> 00:02:51.840]  每個月的第一個主日
