
[00:00:00.000 --> 00:00:02.000]  丙姐妹各位朋友平安
[00:00:02.000 --> 00:00:08.000]  有人說先苦後甜總比先甜後苦好
[00:00:08.000 --> 00:00:10.000]  我想做個調查
[00:00:10.000 --> 00:00:12.000]  我想問一下大家
[00:00:12.000 --> 00:00:14.000]  你喜歡哪一種
[00:00:14.000 --> 00:00:17.000]  如果你說我寧願先苦後甜
[00:00:17.000 --> 00:00:19.000]  請你舉手
[00:00:19.000 --> 00:00:21.000]  嘩
[00:00:21.000 --> 00:00:23.000]  幾乎百分之一百
[00:00:23.000 --> 00:00:26.000]  有沒有人喜歡先甜後苦
[00:00:26.000 --> 00:00:29.000]  沒有
[00:00:29.000 --> 00:00:31.000]  剛才我沒有舉手
[00:00:31.000 --> 00:00:33.000]  你猜我喜歡哪一種
[00:00:33.000 --> 00:00:35.000]  我兩樣都不喜歡
[00:00:35.000 --> 00:00:37.000]  我喜歡先甜後甜
[00:00:37.000 --> 00:00:38.000]  是不是
[00:00:38.000 --> 00:00:41.000]  你說我蠢了原來可以這樣
[00:00:41.000 --> 00:00:42.000]  是的
[00:00:42.000 --> 00:00:46.000]  不過你說牧師有沒有這麼大隻蛤蠣隨街跳
[00:00:46.000 --> 00:00:48.000]  我要告訴你
[00:00:48.000 --> 00:00:49.000]  有的
[00:00:49.000 --> 00:00:51.000]  今天這段經文就是證據
[00:00:51.000 --> 00:00:53.000]  我們細細看下去
[00:00:53.000 --> 00:00:58.000]  我們先看看整卷的馬太福音
[00:00:58.000 --> 00:01:02.000]  整卷的馬太福音除了開始和結束之外
[00:01:02.000 --> 00:01:09.000]  中間其實主要由五個和天國有關的主題組成
[00:01:09.000 --> 00:01:14.000]  每一個部分包含了敘事和耶穌的講論
[00:01:14.000 --> 00:01:17.000]  所以你看它的結構是很齊整的
[00:01:17.000 --> 00:01:20.000]  頭、序幕、尾講到耶穌受難復活
[00:01:20.000 --> 00:01:22.000]  中間講到天國的來臨
[00:01:22.000 --> 00:01:23.000]  天國的作為
[00:01:23.000 --> 00:01:24.000]  天國的本質
[00:01:24.000 --> 00:01:25.000]  天國的權柄
[00:01:25.000 --> 00:01:27.000]  天國帶來的變化
[00:01:27.000 --> 00:01:31.000]  而每一個天國的主題之下
[00:01:31.000 --> 00:01:33.000]  就有A一部分敘事
[00:01:33.000 --> 00:01:36.000]  接著就是耶穌的講論
[00:01:36.000 --> 00:01:38.000]  而今天我們講的這段經文
[00:01:38.000 --> 00:01:41.000]  就在天國的律例
[00:01:41.000 --> 00:01:42.000]  天國來臨
[00:01:42.000 --> 00:01:46.000]  講到耶穌的講論就是關於天國的律例
[00:01:46.000 --> 00:01:49.000]  當你再細心讀馬太福音的時候
[00:01:49.000 --> 00:01:51.000]  你又會發現另一件事
[00:01:51.000 --> 00:01:56.000]  原來每一次耶穌講完一篇長篇大論之後
[00:01:56.000 --> 00:01:59.000]  就會有一句類似的說話
[00:01:59.000 --> 00:02:03.000]  好像一個句號那樣寫出來
[00:02:03.000 --> 00:02:07.000]  你看到第七章、十一章、十三章、十九章、二十六章
[00:02:07.000 --> 00:02:09.000]  都講到耶穌講完那些話
[00:02:09.000 --> 00:02:11.000]  然後到最後就說
[00:02:11.000 --> 00:02:13.000]  耶穌說完了這一切話
[00:02:13.000 --> 00:02:16.000]  因為整個馬太福音只有五篇
[00:02:16.000 --> 00:02:18.000]  第五個講論完了之後
[00:02:18.000 --> 00:02:22.000]  就是耶穌說完了這一切的話
[00:02:22.000 --> 00:02:27.000]  每一段我們剛才看的敘事和講論
[00:02:27.000 --> 00:02:32.000]  其實它們之間又有一些特定的關係
[00:02:32.000 --> 00:02:36.000]  敘事的部分往往想帶出一個討論
[00:02:36.000 --> 00:02:41.000]  就是誰是君王呢?
[00:02:41.000 --> 00:02:45.000]  而講論的部分就是集中討論到
[00:02:45.000 --> 00:02:48.000]  君王的子民是怎樣的呢?
[00:02:48.000 --> 00:02:50.000]  很清楚的
[00:02:50.000 --> 00:02:52.000]  今天這一篇經文
[00:02:52.000 --> 00:02:56.000]  就是耶穌第一篇講論的內容的一部分
[00:02:56.000 --> 00:03:00.000]  在第三到第四章
[00:03:00.000 --> 00:03:03.000]  其實是講到施洗約翰和耶穌
[00:03:03.000 --> 00:03:07.000]  他們都出來先後宣告
[00:03:07.000 --> 00:03:10.000]  天過近了,你們應當悔改
[00:03:10.000 --> 00:03:12.000]  施洗約翰和耶穌出來
[00:03:12.000 --> 00:03:15.000]  同樣都有這樣的宣告
[00:03:15.000 --> 00:03:18.000]  當耶穌出來傳道之後
[00:03:18.000 --> 00:03:20.000]  第四章這樣說
[00:03:20.000 --> 00:03:22.000]  耶穌走遍加利利
[00:03:22.000 --> 00:03:24.000]  在各堂會裡教訓人
[00:03:24.000 --> 00:03:26.000]  宣揚天國的福音
[00:03:26.000 --> 00:03:28.000]  他又醫治了民間各種疾病
[00:03:28.000 --> 00:03:30.000]  各種的病症
[00:03:30.000 --> 00:03:33.000]  他的名聲傳遍了敘利亞全地
[00:03:33.000 --> 00:03:36.000]  人們將一切患病的
[00:03:36.000 --> 00:03:37.000]  無論患什麼病都好
[00:03:37.000 --> 00:03:39.000]  都帶到他的面前
