
[00:00:00.000 --> 00:00:03.000]  各位大圈子妹早晨
[00:00:03.000 --> 00:00:06.000]  首先在這裏都祝願大家
[00:00:06.000 --> 00:00:09.000]  在新的一年是主因滿日
[00:00:09.000 --> 00:00:11.000]  靈命進步
[00:00:11.000 --> 00:00:13.000]  在十二月十六日
[00:00:13.000 --> 00:00:15.000]  我就和大家講過
[00:00:15.000 --> 00:00:18.000]  今天我會和大家分享
[00:00:18.000 --> 00:00:22.000]  上帝給我的意象
[00:00:22.000 --> 00:00:27.000]  有清晰的呼召是上帝的恩典
[00:00:27.000 --> 00:00:29.000]  但是同樣重要的
[00:00:29.000 --> 00:00:31.000]  就是要有清晰的意象
[00:00:31.000 --> 00:00:33.000]  因為我們要明白
[00:00:33.000 --> 00:00:37.000]  神呼召我們究竟去做些什麼
[00:00:37.000 --> 00:00:43.000]  我們才能夠專注在祂的使命當中
[00:00:43.000 --> 00:00:48.000]  上帝差遣祂的子民去做些什麼
[00:00:48.000 --> 00:00:53.000]  去年我們舉辦了整全使命屬靈運動
[00:00:53.000 --> 00:00:55.000]  萊特博士就告訴我們
[00:00:55.000 --> 00:00:58.000]  基督是一切的主
[00:00:58.000 --> 00:01:02.000]  而整全使命的三個範疇
[00:01:02.000 --> 00:01:04.000]  就是建立教會
[00:01:04.000 --> 00:01:09.000]  服侍社會和關愛萬友
[00:01:09.000 --> 00:01:11.000]  其實這三個的範疇
[00:01:11.000 --> 00:01:15.000]  就是建基在神創造人
[00:01:15.000 --> 00:01:18.000]  那三重的關係裏面
[00:01:18.000 --> 00:01:20.000]  那三重的關係
[00:01:20.000 --> 00:01:22.000]  就是人和神的關係
[00:01:22.000 --> 00:01:25.000]  人和人的關係
[00:01:25.000 --> 00:01:32.000]  和人和所有被造之物的關係
[00:01:32.000 --> 00:01:36.000]  詩篇115篇16字那裏就說
[00:01:36.000 --> 00:01:39.000]  天是耶和華的天
[00:01:39.000 --> 00:01:43.000]  地他卻給了世人
[00:01:43.000 --> 00:01:46.000]  所以我們每一個都有責任
[00:01:46.000 --> 00:01:50.000]  要好好的去管理大地
[00:01:50.000 --> 00:01:52.000]  這個關愛萬友
[00:01:52.000 --> 00:02:00.000]  就是人和創造之物的關係
[00:02:00.000 --> 00:02:05.000]  尼加書6章8節那裏就說到
[00:02:05.000 --> 00:02:07.000]  神要我們怎樣呢
[00:02:07.000 --> 00:02:09.000]  就是行公義好憐憫
[00:02:09.000 --> 00:02:13.000]  全謙卑的心與神同行
[00:02:13.000 --> 00:02:16.000]  所以我們每一個也都有責任
[00:02:16.000 --> 00:02:19.000]  去服侍其他的人
[00:02:19.000 --> 00:02:25.000]  去建立一個更加公平公義的社會
[00:02:25.000 --> 00:02:31.000]  這個關係就是人和人之間的關係
[00:02:31.000 --> 00:02:34.000]  在這三重的關係裏面
[00:02:34.000 --> 00:02:40.000]  最重要的當然就是人和神的關係
[00:02:40.000 --> 00:02:45.000]  因為當人的生命是和神和好的時候
[00:02:45.000 --> 00:02:48.000]  和神是結連的時候
[00:02:48.000 --> 00:02:53.000]  自然而然我們就會有從神而來那種的愛
[00:02:53.000 --> 00:02:56.000]  去愛人去愛大地
[00:02:56.000 --> 00:03:03.000]  所以建立教會就是我們使命的基礎
[00:03:03.000 --> 00:03:06.000]  耳筆所書4章12節那裏就說
[00:03:06.000 --> 00:03:08.000]  為要成全聖徒
[00:03:08.000 --> 00:03:14.000]  各盡其職建立基督的身體
[00:03:14.000 --> 00:03:19.000]  如果建立教會是我們使命的基礎的時候
[00:03:19.000 --> 00:03:25.000]  我們就一定要跟著耶穌所頒佈的大使命來做
[00:03:25.000 --> 00:03:27.000]  大家都很熟悉
[00:03:27.000 --> 00:03:31.000]  華大夫音28章18至20節
[00:03:31.000 --> 00:03:33.000]  大使命那一段的經文
[00:03:33.000 --> 00:03:35.000]  但我想問下大家
[00:03:35.000 --> 00:03:39.000]  在新約其他的經文關於大使命的
[00:03:39.000 --> 00:03:41.000]  你又熟不熟悉呢
[00:03:41.000 --> 00:03:49.000]  我嘗試用以下這個表來做一個表達
[00:03:49.000 --> 00:03:55.000]  大使命的對象就是關乎萬民的
[00:03:55.000 --> 00:04:00.000]  大使命的範圍就是在普天下
[00:04:00.000 --> 00:04:02.000]  是整個世界的
[00:04:02.000 --> 00:04:08.000]  我們首先看一下大使命那些的經文
[00:04:08.000 --> 00:04:11.000]  馬可福音16章15節
[00:04:11.000 --> 00:04:14.000]  他當然就是耶穌
[00:04:14.000 --> 00:04:16.000]  他又對他們說
[00:04:16.000 --> 00:04:24.000]  你們往普天下去傳福音給萬民聽
[00:04:24.000 --> 00:04:29.000]  路加福音24章47及48節
[00:04:29.000 --> 00:04:30.000]  那裏就說
[00:04:30.000 --> 00:04:33.000]  並且人要奉他的名傳
[00:04:33.000 --> 00:04:35.000]  傳甚麼呢
[00:04:35.000 --> 00:04:37.000]  悔改赦罪的道
[00:04:37.000 --> 00:04:39.000]  從耶路撒冷起
[00:04:39.000 --> 00:04:41.000]  直傳到萬邦
[00:04:41.000 --> 00:04:46.000]  你們就是這些事的見證
[00:04:46.000 --> 00:04:49.000]  到使徒行傳1章8節
[00:04:49.000 --> 00:04:51.000]  大家都很熟悉的經文
[00:04:51.000 --> 00:04:53.000]  聖靈降臨在你們身上
[00:04:53.000 --> 00:04:55.000]  你們就必得著能力
[00:04:55.000 --> 00:04:57.000]  並且要在耶路撒冷
[00:04:57.000 --> 00:04:59.000]  猶太傳地和撒瑪利亞
[00:04:59.000 --> 00:05:04.000]  直到地極作我的見證
[00:05:04.000 --> 00:05:06.000]  如果我們比較一下
[00:05:06.000 --> 00:05:11.000]  大使命在這幾段經文裏的內容
[00:05:11.000 --> 00:05:14.000]  馬太福音就說使人作門徒
[00:05:14.000 --> 00:05:17.000]  馬可福音就說傳福音
[00:05:17.000 --> 00:05:20.000]  路加福音就說作見證
[00:05:20.000 --> 00:05:23.000]  使徒行傳亦都是說作見證
[00:05:23.000 --> 00:05:26.000]  這個是大使命的內容
[00:05:26.000 --> 00:05:29.000]  究竟怎樣去做呢
[00:05:29.000 --> 00:05:31.000]  馬太福音就叫我們
[00:05:31.000 --> 00:05:35.000]  教訓人去遵守神的道
[00:05:35.000 --> 00:05:37.000]  路加福音就告訴我們
[00:05:37.000 --> 00:05:41.000]  是要傳悔改赦罪的道
[00:05:41.000 --> 00:05:47.000]  而是要靠著聖靈的能力去做
[00:05:47.000 --> 00:05:49.000]  所以如果我們將這幾段
[00:05:49.000 --> 00:05:51.000]  關於大使命的經文
[00:05:51.000 --> 00:05:54.000]  總括來看
[00:05:54.000 --> 00:05:59.000]  我們就見到耶穌所頒佈的大使命
[00:05:59.000 --> 00:06:01.000]  大使命是什麼呢
[00:06:01.000 --> 00:06:07.000]  就是要教會去傳悔改赦罪的道
[00:06:07.000 --> 00:06:12.000]  要去教訓人去遵守神的道
[00:06:12.000 --> 00:06:16.000]  而那個禍場就是整個世界
[00:06:16.000 --> 00:06:22.000]  而這一切都是要靠著聖靈的能力來做
[00:06:22.000 --> 00:06:24.000]  可能你會覺得奇怪
[00:06:24.000 --> 00:06:27.000]  為什麼大使命的經文
[00:06:27.000 --> 00:06:31.000]  只見到在馬太福音、馬克福音和路加福音
[00:06:31.000 --> 00:06:35.000]  就見不到在約翰福音呢
[00:06:35.000 --> 00:06:39.000]  剛才主席為我們讀出的經文
[00:06:39.000 --> 00:06:42.000]  就是耶穌離世之前
[00:06:42.000 --> 00:06:46.000]  為門徒禱告的經文
[00:06:46.000 --> 00:06:47.000]  在那裏說
[00:06:47.000 --> 00:06:48.000]  耶穌就說
[00:06:48.000 --> 00:06:54.000]  求天父用真理將他們成聖
[00:06:54.000 --> 00:06:56.000]  使他們成聖
[00:06:56.000 --> 00:06:59.000]  你的道就是真理
[00:06:59.000 --> 00:07:00.000]  然後耶穌就說
[00:07:00.000 --> 00:07:03.000]  你怎樣猜我去世上
[00:07:03.000 --> 00:07:08.000]  我也照樣猜他們到世上
[00:07:08.000 --> 00:07:10.000]  有學者就認為
[00:07:10.000 --> 00:07:14.000]  約翰福音二十章二十一節
[00:07:14.000 --> 00:07:20.000]  就是約翰福音所記載的大使命
[00:07:20.000 --> 00:07:21.000]  那裏怎麼說呢
[00:07:21.000 --> 00:07:23.000]  耶穌又對他們說
[00:07:23.000 --> 00:07:25.000]  願你們平安
[00:07:25.000 --> 00:07:26.000]  然後就說
