
[00:00:00.000 --> 00:00:04.000]  一個自高自大的人不但不受許多人的歡迎,
[00:00:04.000 --> 00:00:09.920]  有時候因爲自高自大也給自己帶來許多不必要的麻煩。
[00:00:09.920 --> 00:00:13.360]  所以彼得在彼得前書第五章告訴我們說,
[00:00:13.360 --> 00:00:19.360]  不要自高自大,因爲神阻擋驕傲的人,是恩給謙卑的人。
[00:00:19.360 --> 00:00:25.040]  有一天,陳小姐上了高鐵,看見她的座位上坐了一個男士,
[00:00:25.040 --> 00:00:29.640]  就很客氣地對她說,先生,您坐錯了位置吧。
[00:00:29.640 --> 00:00:33.200]  那位男士就拿出她的票,大聲對她說,
[00:00:33.200 --> 00:00:36.880]  看清楚點,這就是我的位置,你瞎了嗎?
[00:00:36.880 --> 00:00:40.280]  陳小姐就非常仔細地看了她的票,
[00:00:40.280 --> 00:00:43.600]  然後就默默地站在那個男士的旁邊。
[00:00:43.600 --> 00:00:49.840]  一會兒,這個高鐵啓程了,陳小姐就輕聲地對這位先生說,
[00:00:49.840 --> 00:00:56.840]  先生,您的座位是沒錯,您是坐錯車了。
[00:00:56.840 --> 00:01:03.280]  到時候旁邊的人說,不要自高自大,要謙卑一點。
[00:01:03.280 --> 00:01:05.120]  今天早上我們一起來看,
[00:01:05.120 --> 00:01:09.040]  耶穌基督如何使一位稍微有點自高自大的人,
[00:01:09.040 --> 00:01:13.480]  讓他能夠轉變成一個蠻有影響力的人。
[00:01:13.480 --> 00:01:16.920]  我們都知道耶穌基督當他受完試探以後,
[00:01:16.920 --> 00:01:21.760]  他就出來公開的步道,他到處就依病趕鬼,
[00:01:21.760 --> 00:01:24.440]  他的名聲就傳遍了四周。
[00:01:24.440 --> 00:01:30.600]  因此他就來到了加利利的海邊,要呼召他第一批的門徒。
[00:01:30.600 --> 00:01:34.120]  所以這個第一批的門徒的呼召記載在馬太福音第四章,
[00:01:34.120 --> 00:01:36.160]  也記載在馬可福音第一章。
[00:01:36.160 --> 00:01:39.360]  今天我們要看的是在路加福音第五章。
[00:01:39.360 --> 00:01:43.240]  路加福音第五章我們從第一節看到第一節,
[00:01:43.240 --> 00:01:46.800]  我們先來看第一節到第三、第四節。
[00:01:46.800 --> 00:01:52.640]  路加福音第五章第一節,這裏說耶穌站在哥尼沙勒湖邊,
[00:01:52.640 --> 00:01:56.320]  衆人擁擠他,要聽,省得道。
[00:01:56.320 --> 00:02:01.960]  非常有趣的,只有在路加福音裏面說是哥尼沙勒湖邊,
[00:02:01.960 --> 00:02:05.400]  其實哥尼沙勒湖邊就是加利利海。
[00:02:05.400 --> 00:02:11.440]  在馬太福音、馬可福音、約翰福音都說這是加利利海。
[00:02:11.440 --> 00:02:15.080]  這裏說衆人擁擠他,要聽,省得道。
[00:02:15.080 --> 00:02:19.000]  他們都知道耶穌的講道跟一般的文士跟法利薩人、
[00:02:19.000 --> 00:02:21.960]  宗教老師不一樣,帶有權柄和能力。
[00:02:21.960 --> 00:02:24.840]  因此他們要來聽耶穌講省得道。
[00:02:24.840 --> 00:02:29.760]  這裏說他見有兩隻船彎在湖邊,
[00:02:29.760 --> 00:02:33.520]  打魚的人卻離開船,洗碗去了。
[00:02:33.520 --> 00:02:38.240]  有一隻船是西門的,耶穌就上去,請他把船撐開,
[00:02:38.240 --> 00:02:44.400]  稍微離岸,就坐下,再從船上教訓衆人。
[00:02:44.400 --> 00:02:51.560]  講完了對西門說,把船開到水深之處,下往打魚。
[00:02:51.560 --> 00:02:58.760]  講完了對西門說,把船開到水深之處,下往打魚。
[00:02:58.760 --> 00:03:05.160]  耶穌這裏,我相信祂知道彼得跟他的這些同伴們在湖邊洗碗,
[00:03:05.160 --> 00:03:07.120]  在海邊洗這個魚網,
[00:03:07.120 --> 00:03:11.400]  表示說他們已經工作完畢,準備要休息了。
[00:03:11.400 --> 00:03:15.320]  耶穌在這裏,卻是偏偏對西門和他的同伴說,
[00:03:15.320 --> 00:03:20.720]  把船開到水深之處,下往打魚。
[00:03:20.720 --> 00:03:24.920]  請問如果你是當時非常有經驗的漁夫彼得,
[00:03:24.920 --> 00:03:27.760]  你會怎麼回答耶穌基督呢?
[00:03:27.760 --> 00:03:32.080]  他們已經是洗碗,準備要回家休息了,
[00:03:32.080 --> 00:03:35.880]  耶穌去叫他們做一件他們已經做了很多次的事情,
[00:03:35.880 --> 00:03:40.280]  把船開到水深之處,下往打魚。
[00:03:40.280 --> 00:03:45.600]  這其實是一個非常簡單,也是他們漁夫常常做的一件事情。
[00:03:45.600 --> 00:03:49.040]  但是爲什麼彼得卻覺得是個非常困難的事情呢?
[00:03:49.040 --> 00:03:53.640]  雖然這是一件非常簡單,而且越是一個正確的事情,漁夫都會做的,
[00:03:53.640 --> 00:03:56.840]  但是時候卻是錯了。
[00:03:56.840 --> 00:04:03.120]  你可以想象當時他們在那裏洗碗的時候,已經是清晨早上的時間。
[00:04:03.120 --> 00:04:07.600]  請問你一個捕魚的人,如果要洗碗的時候,大概是什麼時候?
[00:04:07.600 --> 00:04:10.440]  基本上已經是收工的時候。
[00:04:10.440 --> 00:04:14.440]  我小時候在一個漁島上住了六年的時間,
[00:04:14.440 --> 00:04:18.360]  所以我非常熟悉漁夫他們做洗的這個時間。
[00:04:18.360 --> 00:04:21.320]  通常他們在凌晨的時候又會出海打魚,
[00:04:21.320 --> 00:04:26.680]  到太陽出來之前就回他們的漁航,
