
[00:00:00.000 --> 00:00:05.960]  今天來到是第八次和大家一起去靈修思考
[00:00:05.960 --> 00:00:09.800]  今次的題目是「上帝的同在」
[00:00:09.800 --> 00:00:12.120]  是說「同在」
[00:00:12.120 --> 00:00:14.120]  我們都很熟悉的經文
[00:00:14.120 --> 00:00:19.160]  我們一起去研讀、去思考、去默想
[00:00:19.160 --> 00:00:21.200]  然後我們先祈禱
[00:00:21.200 --> 00:00:25.760]  讚美天父
[00:00:25.760 --> 00:00:28.240]  祢自己愛我們
[00:00:28.240 --> 00:00:30.240]  無微不至
[00:00:30.240 --> 00:00:33.760]  不只是口說而是行動
[00:00:33.760 --> 00:00:38.240]  讚美上主是一位行動的主
[00:00:38.240 --> 00:00:42.240]  祢的愛是付諸行動的
[00:00:42.240 --> 00:00:47.560]  祢的愛是甚至將命為人傾倒的
[00:00:47.560 --> 00:00:51.360]  祢的愛是甚至流血的
[00:00:51.360 --> 00:00:55.560]  所以不只是一個很普通的「講我愛你」
[00:00:55.560 --> 00:00:58.960]  而是真的付出代價
[00:00:58.960 --> 00:01:00.560]  讚美上主
[00:01:00.560 --> 00:01:01.560]  在萬世耳先
[00:01:01.560 --> 00:01:04.560]  祢就知道我們是那麼軟弱
[00:01:04.560 --> 00:01:07.160]  就為我們預備了「九因」
[00:01:07.160 --> 00:01:08.560]  聖經告訴我們
[00:01:08.560 --> 00:01:11.960]  祢早就預備了這個計劃
[00:01:11.960 --> 00:01:13.160]  在到的時候
[00:01:13.160 --> 00:01:17.760]  祢就道化人生
[00:01:17.760 --> 00:01:21.360]  讓祢的兒子來到我們當中
[00:01:21.360 --> 00:01:23.560]  為我們出生
[00:01:23.560 --> 00:01:26.560]  為我們經歷人生的苦楚
[00:01:26.560 --> 00:01:28.360]  為我們被凌辱
[00:01:28.360 --> 00:01:30.160]  為我們死
[00:01:30.160 --> 00:01:32.360]  死就是十字架上
[00:01:32.360 --> 00:01:34.360]  又為我們被埋葬、復活
[00:01:34.360 --> 00:01:35.960]  然後升天
[00:01:35.960 --> 00:01:38.960]  完成了整個救贖工作
[00:01:38.960 --> 00:01:40.160]  又拆敗聖靈
[00:01:40.160 --> 00:01:42.760]  繼續施行祢的「九因」
[00:01:42.760 --> 00:01:45.760]  讓我們更加懂得祢自己的話語
[00:01:45.760 --> 00:01:47.560]  更有信心跟隨祢
[00:01:47.560 --> 00:01:50.760]  在地上安慰、扶持、保護
[00:01:50.760 --> 00:01:53.160]  提醒、督導我們
[00:01:53.160 --> 00:01:54.560]  讚美上主
