
[00:00:00.000 --> 00:00:01.360]  麗英姊妹主內平安
[00:00:01.360 --> 00:00:04.920]  很高興再一次在港台跟大家見面
[00:00:04.920 --> 00:00:07.440]  中國人有一句話就是
[00:00:07.440 --> 00:00:11.680]  「不能留芳百世,亦當遺臭萬年」
[00:00:11.680 --> 00:00:13.960]  這句話都是有點諷刺的
[00:00:13.960 --> 00:00:17.760]  就是說你做好事做不了
[00:00:17.760 --> 00:00:19.320]  不是做一個偉人
[00:00:19.320 --> 00:00:20.800]  做一些壞事
[00:00:20.800 --> 00:00:22.360]  起碼人們都會記得你
[00:00:22.360 --> 00:00:25.680]  其實很多時候我們都是不想被人忘記的
[00:00:25.680 --> 00:00:27.280]  不想被人遺忘
[00:00:27.280 --> 00:00:29.480]  我們人生在世短短的幾十年
[00:00:29.480 --> 00:00:30.680]  過了就算了
[00:00:30.680 --> 00:00:32.040]  過了之後又怎樣呢
[00:00:32.040 --> 00:00:33.800]  有誰還會記得你
[00:00:33.800 --> 00:00:36.200]  可能你的子女都記得你
[00:00:36.200 --> 00:00:39.440]  可能你的孫子都會記得的
[00:00:39.440 --> 00:00:43.040]  那麼你的曾孫會不會記得你呢
[00:00:43.040 --> 00:00:45.240]  我想說不是那麼容易 是吧
[00:00:45.240 --> 00:00:47.400]  有一年我回香港
[00:00:47.400 --> 00:00:50.360]  我就和我爸爸去掃墓
[00:00:50.360 --> 00:00:51.640]  一說到很多年前
[00:00:51.640 --> 00:00:55.360]  當時我祖父母剛剛就過世不久
[00:00:55.360 --> 00:00:56.560]  我第一次回香港
[00:00:56.560 --> 00:00:58.720]  他帶我去基督教墳場那裡
[00:00:58.720 --> 00:01:00.000]  有一個山
[00:01:00.000 --> 00:01:04.120]  你知道香港真的是寸金尺土
[00:01:04.120 --> 00:01:05.720]  沒什麼地方
[00:01:05.720 --> 00:01:09.080]  其實也是一個骨灰的地方
[00:01:09.080 --> 00:01:10.840]  在山頂那裡
[00:01:10.840 --> 00:01:13.440]  因為早期那些已經下降了
[00:01:13.440 --> 00:01:17.760]  所以就像同人節登高一樣
[00:01:17.760 --> 00:01:21.040]  要上山上去
[00:01:21.040 --> 00:01:25.000]  當時我爸爸應該都比我大現在
[00:01:25.000 --> 00:01:26.320]  他也很辛苦
[00:01:26.320 --> 00:01:27.120]  喘氣了
[00:01:27.120 --> 00:01:28.360]  腳、膝蓋都不好
[00:01:28.360 --> 00:01:29.240]  他都跟我說
[00:01:29.240 --> 00:01:31.560]  兒子這個可能是我最後一次
[00:01:31.560 --> 00:01:34.400]  可以帶你上來的了
[00:01:34.400 --> 00:01:36.640]  他不知道是什麼意思
[00:01:36.640 --> 00:01:38.800]  就是說希望我以後多點來
[00:01:38.800 --> 00:01:40.040]  又或者可能以後
[00:01:40.040 --> 00:01:42.120]  我帶我的子女上來
[00:01:42.120 --> 00:01:43.720]  都可以記得爺爺、奶奶
[00:01:43.720 --> 00:01:45.880]  在山頂那裡有個位置
[00:01:45.880 --> 00:01:50.920]  但是之後我沒有再回去
