
[00:00:00.000 --> 00:00:04.620]  今天也想跟大家繼續看出埃及記
[00:00:04.620 --> 00:00:08.540]  上一回是說到哪裏呢?
[00:00:08.540 --> 00:00:11.500]  上一回已經是兩個月前了
[00:00:11.500 --> 00:00:15.360]  上一次我應該是在1月31日
[00:00:15.360 --> 00:00:18.800]  也說了一點點讓大家有些印象
[00:00:18.800 --> 00:00:23.540]  說到以色列人也在埃及記居了四百年
[00:00:23.540 --> 00:00:26.300]  說到他們的新樣更多
[00:00:26.300 --> 00:00:30.720]  如果我們看回前面的一章七節的描述
[00:00:30.720 --> 00:00:34.820]  這班埃及人繁衍昌盛
[00:00:34.820 --> 00:00:37.440]  極其強盛遍滿那個地方
[00:00:37.440 --> 00:00:41.280]  推算當時他們也有差不多二、三百人
[00:00:41.280 --> 00:00:45.200]  所以招來法老王的忌諱
[00:00:45.200 --> 00:00:47.960]  對他們進行迫害
[00:00:47.960 --> 00:00:50.600]  又虎待他們去做苦工
[00:00:50.600 --> 00:00:55.640]  所以以色列人在那時候進入了一個極黑暗的時代
[00:00:56.080 --> 00:00:59.140]  但是神是沒有放棄他們
[00:00:59.140 --> 00:01:03.980]  也正為他們預備了一位屬靈的領袖去拯救他們
[00:01:03.980 --> 00:01:06.940]  上次提到第一章
[00:01:06.940 --> 00:01:10.740]  神怎樣很奇妙地藉著幾位女性
[00:01:10.740 --> 00:01:13.580]  很順利地將這位未來的領袖
[00:01:13.580 --> 00:01:17.020]  即是摩西順利來到這個世界
[00:01:17.020 --> 00:01:22.460]  神亦將會使用她來帶領以色列人出埃及
[00:01:22.460 --> 00:01:25.760]  說起領袖
[00:01:26.100 --> 00:01:28.680]  你覺得自己是否一個領袖呢?
[00:01:28.680 --> 00:01:33.300]  其實可能不論你情不情願
[00:01:33.300 --> 00:01:36.380]  可能在一些不同的場景
[00:01:36.380 --> 00:01:37.900]  或者角色裏面
[00:01:37.900 --> 00:01:41.020]  你也曾經做過或者正在做領袖
[00:01:41.020 --> 00:01:43.540]  我不知道你小時候是否記得
[00:01:43.540 --> 00:01:46.420]  可能小時候你在課室裏面
[00:01:46.420 --> 00:01:48.580]  老師要選頒獎
[00:01:48.580 --> 00:01:50.140]  或者選風紀
[00:01:50.140 --> 00:01:51.900]  選什麼寒獎
[00:01:52.140 --> 00:01:57.340]  或者有什麼部門或學會要做會長
[00:01:57.340 --> 00:02:00.620]  或者一些委員等等
[00:02:00.620 --> 00:02:03.020]  我最近聽小朋友說
[00:02:03.020 --> 00:02:05.580]  原來好像全班都是有獎做的
[00:02:05.580 --> 00:02:06.980]  全民皆兵
[00:02:06.980 --> 00:02:08.860]  他們想到什麼都有
[00:02:08.860 --> 00:02:09.740]  很有趣的
[00:02:09.740 --> 00:02:11.220]  我現在一時間記不記得
[00:02:11.220 --> 00:02:13.740]  清潔那些也不是最有趣的
[00:02:13.740 --> 00:02:17.260]  不知道是環保獎、部獎還是什麼
[00:02:17.260 --> 00:02:18.780]  很多獎
[00:02:18.780 --> 00:02:21.580]  每個科也有科獎
