
[00:00:00.000 --> 00:00:02.000]  頂姊妹新年蒙福
[00:00:02.000 --> 00:00:09.000]  剛才唱榮耀歸於至高神
[00:00:09.000 --> 00:00:12.000]  我很感動
[00:00:12.000 --> 00:00:15.000]  原本沉睡的靈
[00:00:15.000 --> 00:00:19.000]  都因為這位至高的上帝
[00:00:19.000 --> 00:00:21.000]  得以甦醒
[00:00:21.000 --> 00:00:24.000]  地上有什麼什麼好聲音
[00:00:24.000 --> 00:00:26.000]  我相信
[00:00:26.000 --> 00:00:29.000]  我們可以在這裡能夠先體驗
[00:00:29.000 --> 00:00:32.000]  天堂的好聲音
[00:00:32.000 --> 00:00:34.000]  因為我們是一群蒙福
[00:00:34.000 --> 00:00:36.000]  基督神的愛的頂姊妹
[00:00:36.000 --> 00:00:38.000]  所以我們來崇拜你
[00:00:38.000 --> 00:00:40.000]  如果不是因為身體不舒服
[00:00:40.000 --> 00:00:42.000]  而你不能夠投入
[00:00:42.000 --> 00:00:43.000]  真的要好好檢查一下
[00:00:43.000 --> 00:00:45.000]  我們屬靈的生命
[00:00:45.000 --> 00:00:47.000]  為什麼來到這位至高的上帝的面前
[00:00:47.000 --> 00:00:49.000]  我沒有這份雀躍的心
[00:00:49.000 --> 00:00:52.000]  為什麼我不能夠將榮耀歸給他
[00:00:52.000 --> 00:00:54.000]  是不是我內心裡有些東西塞住了
[00:00:54.000 --> 00:00:56.000]  這口氣頂住了
[00:00:56.000 --> 00:00:57.000]  塞住了
[00:00:57.000 --> 00:00:59.000]  我講不了 唱不了
[00:00:59.000 --> 00:01:01.000]  整個團唱的詩歌
[00:01:01.000 --> 00:01:02.000]  獻唱的詩歌很好
[00:01:02.000 --> 00:01:04.000]  我們有份參與
[00:01:04.000 --> 00:01:08.000]  這條天路是要我們專心的信主
[00:01:08.000 --> 00:01:10.000]  但不要緊
[00:01:10.000 --> 00:01:12.000]  我們專心雖然有困難
[00:01:12.000 --> 00:01:15.000]  但這是一個海船的道路
[00:01:15.000 --> 00:01:17.000]  我們最終是得勝的
[00:01:17.000 --> 00:01:19.000]  但願今天的詩歌
[00:01:19.000 --> 00:01:21.000]  無論獻的 頌唱的
[00:01:21.000 --> 00:01:23.000]  我們歸榮耀給上帝
[00:01:23.000 --> 00:01:25.000]  2016年已經過去了
[00:01:25.000 --> 00:01:28.000]  不知道大家在你的家庭
[00:01:28.000 --> 00:01:30.000]  你的工作
[00:01:30.000 --> 00:01:31.000]  或者你的學業
[00:01:31.000 --> 00:01:33.000]  甚至教會的參與
[00:01:33.000 --> 00:01:35.000]  和各方面的生活
[00:01:35.000 --> 00:01:37.000]  你的感覺如何呢
[00:01:37.000 --> 00:01:39.000]  或者你的評價如何呢
[00:01:39.000 --> 00:01:44.000]  興奮多還是灰心多呢
[00:01:44.000 --> 00:01:47.000]  正面多還是負面多呢
[00:01:47.000 --> 00:01:50.000]  積極多還是消極多呢
[00:01:50.000 --> 00:01:54.000]  充滿力量但是毫無氣力呢
[00:01:54.000 --> 00:01:57.000]  充滿勇氣還是喪膽呢
[00:01:57.000 --> 00:02:01.000]  回來崇拜是很投入嗎
[00:02:01.000 --> 00:02:02.000]  很雀躍
[00:02:02.000 --> 00:02:04.000]  不要讓別人坐我的位置
[00:02:04.000 --> 00:02:06.000]  很想來見拜上帝
[00:02:06.000 --> 00:02:09.000]  還是牽強的附會呢
[00:02:09.000 --> 00:02:11.000]  最好坐樓下
[00:02:11.000 --> 00:02:13.000]  如果你坐樓下
[00:02:13.000 --> 00:02:15.000]  可能因為遲了
[00:02:15.000 --> 00:02:17.000]  但如果你真的很喜歡坐樓下
[00:02:17.000 --> 00:02:19.000]  我希望你珍惜
[00:02:19.000 --> 00:02:21.000]  來到大堂裡面
[00:02:21.000 --> 00:02:23.000]  去見拜上帝
[00:02:23.000 --> 00:02:25.000]  當你唱詩的時候
[00:02:25.000 --> 00:02:27.000]  你是很投入嗎
[00:02:27.000 --> 00:02:29.000]  還是拉牛上樹呢
[00:02:29.000 --> 00:02:31.000]  當你聽上帝的僕人
[00:02:31.000 --> 00:02:33.000]  宣講上帝的話語的時候
[00:02:33.000 --> 00:02:35.000]  你是專注地聽
[00:02:35.000 --> 00:02:37.000]  還是心不在焉呢
[00:02:37.000 --> 00:02:40.000]  信仰的生活
[00:02:40.000 --> 00:02:44.000]  對於你是一種自由雀躍
[00:02:44.000 --> 00:02:46.000]  還是諸多的約束呢
[00:02:46.000 --> 00:02:48.000]  以致你覺得
[00:02:48.000 --> 00:02:50.000]  信耶穌
[00:02:50.000 --> 00:02:51.000]  回教會
[00:02:51.000 --> 00:02:53.000]  不知道要唱到什麼時候呢
[00:02:53.000 --> 00:02:55.000]  主啊你快點回來吧
[00:02:55.000 --> 00:03:00.000]  羅馬書第六章至第八章
[00:03:00.000 --> 00:03:05.000]  是保羅帶出耶穌福音的果效
[00:03:05.000 --> 00:03:08.000]  根據保羅的宣講
[00:03:08.000 --> 00:03:12.000]  原來凡是經歷過福音大能的頂子妹
[00:03:12.000 --> 00:03:15.000]  是可以過一個聖潔
[00:03:15.000 --> 00:03:16.000]  得力
[00:03:16.000 --> 00:03:18.000]  甚至很有影響力的生活
[00:03:18.000 --> 00:03:20.000]  即是我們經歷過福音大能
[00:03:20.000 --> 00:03:22.000]  原來我們的生活
[00:03:22.000 --> 00:03:24.000]  是可以影響周圍的人的
[00:03:24.000 --> 00:03:26.000]  第六章
[00:03:26.000 --> 00:03:29.000]  保羅提到我們的罪如何得到釋放
[00:03:29.000 --> 00:03:31.000]  第七章提到律法
[00:03:31.000 --> 00:03:33.000]  律法的目的
[00:03:33.000 --> 00:03:35.000]  是要叫我們知罪
[00:03:35.000 --> 00:03:37.000]  某程度上是要定我們的罪
[00:03:37.000 --> 00:03:41.000]  所以罪是帶來我們有咒詛的
[00:03:41.000 --> 00:03:44.000]  律法是帶來我們有咒詛
[00:03:44.000 --> 00:03:46.000]  但保羅告訴我們
[00:03:46.000 --> 00:03:49.000]  在基督律法的咒詛是可以釋放的
[00:03:49.000 --> 00:03:52.000]  因為有基督給我們新的律
[00:03:52.000 --> 00:03:54.000]  但無論如何
[00:03:54.000 --> 00:03:55.000]  保羅說
[00:03:55.000 --> 00:03:57.000]  我仍然在肉身活著
[00:03:57.000 --> 00:03:59.000]  所以第七章二十四節
[00:03:59.000 --> 00:04:01.000]  他說我真是苦
[00:04:01.000 --> 00:04:04.000]  上帝救我脫離這個取死的身體
[00:04:04.000 --> 00:04:06.000]  我這個身體真是活該
[00:04:06.000 --> 00:04:08.000]  明明不應該說就說
[00:04:08.000 --> 00:04:10.000]  明明不應該做的我去做
[00:04:10.000 --> 00:04:12.000]  我這個取死的身體
[00:04:12.000 --> 00:04:14.000]  誰可以救我脫離呢
[00:04:14.000 --> 00:04:17.000]  第八章
[00:04:17.000 --> 00:04:20.000]  一個截然不同的一章
[00:04:20.000 --> 00:04:24.000]  可以說是一個展開新的一頁的一章
[00:04:24.000 --> 00:04:28.000]  保羅要帶出一個全然得勝的生活
[00:04:28.000 --> 00:04:30.000]  在第八章裡面展現
[00:04:30.000 --> 00:04:33.000]  第八章
[00:04:33.000 --> 00:04:36.000]  有一個字在原文裡面
[00:04:36.000 --> 00:04:39.000]  表示是「因」或「因為」
[00:04:39.000 --> 00:04:41.000]  十幾次出現
[00:04:41.000 --> 00:04:42.000]  很有意思
[00:04:42.000 --> 00:04:45.000]  這個「因為」或「因」字出現這麼多次
[00:04:45.000 --> 00:04:47.000]  他要告訴我
