
[00:00:00.000 --> 00:00:03.640]  在古希臘神話裡有一個偉大的英雄人物
[00:00:03.640 --> 00:00:06.520]  叫做阿奇爾斯(Achilles)
[00:00:06.520 --> 00:00:09.400]  他很強壯 很有力 很能打
[00:00:09.400 --> 00:00:11.680]  相傳是因為他媽媽當他出生後
[00:00:11.680 --> 00:00:15.440]  把他浸在了這條史達克斯河
[00:00:15.440 --> 00:00:17.280]  就是仇恨之河
[00:00:17.280 --> 00:00:19.080]  他全身有一個弱點
[00:00:19.080 --> 00:00:20.280]  就是他的腳筋
[00:00:20.280 --> 00:00:20.960]  為什麼呢?
[00:00:20.960 --> 00:00:23.160]  就是因為當時他沒有踢足球
[00:00:23.160 --> 00:00:24.760]  所以他沒有踢足球
[00:00:24.760 --> 00:00:26.400]  所以他沒有踢足球
[00:00:26.400 --> 00:00:30.000]  有一個弱點就是他的腳筋
[00:00:30.000 --> 00:00:30.680]  為什麼呢?
[00:00:30.680 --> 00:00:33.000]  就是因為當時他媽媽把他捉住
[00:00:33.000 --> 00:00:33.880]  捉住他的腳
[00:00:33.880 --> 00:00:37.120]  所以他的腳筋沒有浸在河裡
[00:00:37.120 --> 00:00:40.040]  這就成為他的死穴
[00:00:40.040 --> 00:00:42.480]  其實我們每一個人都有死穴
[00:00:42.480 --> 00:00:44.040]  可能在性格上
[00:00:44.040 --> 00:00:45.560]  可能在外貌上
[00:00:45.560 --> 00:00:47.080]  或者在能力上
[00:00:47.080 --> 00:00:49.400]  當我們的死穴被人碰到的時候
[00:00:49.400 --> 00:00:51.360]  我們就會有很大的反應
[00:00:51.360 --> 00:00:53.480]  又或者馬上被人擊倒
[00:00:53.480 --> 00:00:56.200]  所以我們每一個人都會盡力掩飾
[00:00:56.200 --> 00:00:57.600]  我們的死穴
[00:00:57.600 --> 00:01:00.800]  東正教最引人入性的其中一樣事物
[00:01:00.800 --> 00:01:03.520]  就是他們的聖畫Icon
[00:01:03.520 --> 00:01:05.000]  原來每一幅聖畫裡面
[00:01:05.000 --> 00:01:07.840]  都有一處特別畫錯了的地方
[00:01:07.840 --> 00:01:09.720]  可能是事物的比例
[00:01:09.720 --> 00:01:11.160]  光影的方向
[00:01:11.160 --> 00:01:14.080]  或者是透視的角度等等
[00:01:14.080 --> 00:01:16.200]  為什麼要刻意去畫錯呢?
[00:01:16.200 --> 00:01:18.680]  原來是因為想表達一個信息
[00:01:18.680 --> 00:01:20.680]  就是好像在我們的生命裡面
[00:01:20.680 --> 00:01:22.200]  都會有缺陷
[00:01:22.200 --> 00:01:23.240]  有不完美
[00:01:23.240 --> 00:01:25.040]  有錯誤的地方
[00:01:25.040 --> 00:01:27.040]  唯有這樣我們才有空位
[00:01:27.040 --> 00:01:28.560]  讓上帝去介入
[00:01:28.560 --> 00:01:30.600]  幫助我們
[00:01:30.600 --> 00:01:33.040]  以上兩個情況是很不同的
[00:01:33.040 --> 00:01:35.760]  一個是盡力去掩護自己的死穴
[00:01:35.760 --> 00:01:39.640]  另一個就是開放給上帝來作供
[00:01:39.640 --> 00:01:40.480]  弟兄姊妹
[00:01:40.480 --> 00:01:43.920]  以上兩者你會選擇哪一樣呢?
[00:01:43.920 --> 00:01:46.520]  詩篇三十四篇第四節說
[00:01:46.520 --> 00:01:48.800]  「我曾尋求耶和華
[00:01:48.800 --> 00:01:50.200]  祂就應運我
[00:01:50.200 --> 00:01:53.320]  救我脫離了一切的恐懼」
[00:01:55.040 --> 00:01:56.800]  「我曾尋求耶和華
[00:01:56.800 --> 00:01:58.040]  祂就應運我
[00:01:58.040 --> 00:01:59.960]  救我脫離了一切的恐懼」
