
[00:00:00.000 --> 00:00:03.780]  我們所相信的上帝是一個充滿了慈憐的上帝
[00:00:03.780 --> 00:00:06.900]  我們所相信的上帝是充滿慈憐的上帝
[00:00:06.900 --> 00:00:10.840]  神很樂意和我們分享
[00:00:10.840 --> 00:00:14.520]  分享到一個地步將祂獨生兒子賜給我們
[00:00:14.520 --> 00:00:17.320]  分享到一個地步把祂獨生兒子賜給我們
[00:00:17.320 --> 00:00:19.680]  其實嚴格來講
[00:00:19.680 --> 00:00:23.780]  祂是將祂自己賜給我們
[00:00:23.780 --> 00:00:28.480]  就是天父祂自己釘在十字架上
[00:00:28.480 --> 00:00:33.320]  表明天父祂愛我們愛到底
[00:00:33.320 --> 00:00:36.520]  所以我們應該學習
[00:00:36.520 --> 00:00:39.080]  有一個慈憐的心
[00:00:39.080 --> 00:00:41.560]  特別是在現在的時代
[00:00:41.560 --> 00:00:44.440]  很多天災人禍
[00:00:44.440 --> 00:00:47.880]  我們需要這個慈憐的心
[00:00:47.880 --> 00:00:52.280]  隨時去回應人間的需要
[00:00:52.280 --> 00:00:55.560]  蒼生是很無作
[00:00:55.560 --> 00:00:59.000]  我們常常都會問
[00:00:59.000 --> 00:01:02.600]  爲什麼那麼多天災人禍
[00:01:02.600 --> 00:01:05.200]  但是我們很少去問
[00:01:05.200 --> 00:01:08.640]  我可以爲這些天災人禍
[00:01:08.640 --> 00:01:11.000]  作一些什麼回應
[00:01:11.000 --> 00:01:12.880]  今天的分享
[00:01:12.880 --> 00:01:18.280]  就是希望我們有天父上帝的慈憐的心
[00:01:18.280 --> 00:01:24.120]  第一慷慨的思雨
[00:01:24.120 --> 00:01:28.920]  爲什麼我們要慷慨的思雨呢
[00:01:28.920 --> 00:01:33.680]  因爲我們要遵守上帝的吩咐
[00:01:33.680 --> 00:01:41.320]  剛纔主席讀那段經文尼加書六章八節
[00:01:41.320 --> 00:01:46.480]  耶和華已指示你何爲善
[00:01:46.480 --> 00:01:50.120]  祂向你所要的是什麼呢
[00:01:50.120 --> 00:01:52.240]  只要你行公義
[00:01:52.240 --> 00:01:55.560]  好憐民 存謙卑的心
[00:01:55.560 --> 00:01:58.280]  與你的天父同行
[00:01:58.280 --> 00:02:03.000]  原來好憐民是上帝的指示
[00:02:03.000 --> 00:02:05.360]  是上帝的吩咐
[00:02:05.360 --> 00:02:10.440]  我們應該學習去遵行 去遵守
[00:02:10.440 --> 00:02:13.280]  什麼是好憐民呢
[00:02:13.280 --> 00:02:17.000]  簡單來講 廣東話就是好心地
[00:02:17.000 --> 00:02:21.240]  簡單來說 廣東話來講就是心腸好
[00:02:21.240 --> 00:02:24.520]  做好事
[00:02:24.520 --> 00:02:29.680]  但是好心地做好事 嚴格來講 坦白講
[00:02:29.680 --> 00:02:34.200]  但是心腸好 做好事 嚴格來講 坦白的說
[00:02:34.200 --> 00:02:37.800]  是違反我們的人性的
[00:02:37.800 --> 00:02:43.040]  因爲我們的人性是想自己的
[00:02:43.040 --> 00:02:46.320]  是顧自己的
[00:02:46.320 --> 00:02:49.360]  人性是自私的
[00:02:49.360 --> 00:02:52.080]  我不知道你認不認同 不過人性是真的自私
[00:02:52.080 --> 00:02:54.920]  我不知道你認不認同 但是人性真是很自私
[00:02:54.920 --> 00:03:01.480]  我們會爲自己聚集一切
[00:03:01.480 --> 00:03:04.920]  我們不是很想去施與
[00:03:04.920 --> 00:03:07.760]  我們想獲得更多
[00:03:07.760 --> 00:03:10.960]  我們很少願意去分享
[00:03:10.960 --> 00:03:15.360]  但是信了耶穌的教徒就不同了
[00:03:15.360 --> 00:03:18.040]  我們就要學習這個功課 好憐民
[00:03:18.040 --> 00:03:20.560]  我們要學習這個功課 好憐民
[00:03:20.560 --> 00:03:23.200]  好心地
[00:03:23.200 --> 00:03:27.560]  其實是違反你和我的人性
