
[00:00:00.000 --> 00:00:04.780]  我想問問 弟兄姊妹 我們是不是也有用電腦?
[00:00:04.780 --> 00:00:06.660]  有啊
[00:00:06.660 --> 00:00:09.580]  沒有用電腦也有用電話 是不是?
[00:00:09.580 --> 00:00:10.860]  是
[00:00:10.860 --> 00:00:11.980]  那麼
[00:00:11.980 --> 00:00:15.560]  我們一起來看看這一張
[00:00:15.560 --> 00:00:17.560]  當我們
[00:00:17.560 --> 00:00:22.960]  當我們
[00:00:22.960 --> 00:00:26.480]  望見現在的世代
[00:00:27.480 --> 00:00:31.120]  這是我找來的社交媒體
[00:00:31.120 --> 00:00:32.920]  主要的社交媒體
[00:00:32.920 --> 00:00:37.700]  原來我們很容易會接觸到這些社交媒體
[00:00:37.700 --> 00:00:40.600]  我呢 是很不熟悉的
[00:00:40.600 --> 00:00:44.020]  但我這麼不熟悉 我發覺 咦 我也有幾個
[00:00:44.020 --> 00:00:48.620]  那麼這些社交媒體很容易就會叫我們
[00:00:48.620 --> 00:00:50.500]  做了它的追蹤者
[00:00:50.500 --> 00:00:53.660]  按個按鈕 我們就追蹤到它
[00:00:53.660 --> 00:00:55.800]  是不是不多不少也有一些?
[00:00:56.860 --> 00:00:59.380]  我們發現我們可以很隨便
[00:00:59.380 --> 00:01:02.460]  很容易地追蹤
[00:01:02.460 --> 00:01:05.340]  社交媒體 做了追蹤者
[00:01:05.340 --> 00:01:09.300]  但當我們想到要跟隨耶穌
[00:01:09.300 --> 00:01:11.800]  做耶穌的追蹤者的時候
[00:01:11.800 --> 00:01:14.520]  就不可以那麼隨隨便便的 好嗎?
[00:01:14.520 --> 00:01:16.440]  我們今天一起來看看聖經
[00:01:16.440 --> 00:01:20.240]  它怎麼提醒我們 怎麼做耶穌基督的追蹤者
[00:01:20.240 --> 00:01:21.940]  我們一起來讀
[00:01:21.940 --> 00:01:24.800]  《馬太福音》 好嗎? 四章 今天幾節經文
[00:01:24.800 --> 00:01:28.200]  《馬太福音》 四章 十八至二十一節
[00:01:28.200 --> 00:01:29.200]  一起來讀
[00:01:54.800 --> 00:02:17.800]  看見另外兩兄弟,就是西比泰的兒子雅各和他弟弟約翰和他們的父親西比泰在船上保望,耶穌就呼召他們,他們立刻舍了船,辭別父親,跟從了耶穌。
[00:02:17.800 --> 00:02:37.800]  我們一齊低頭祈禱,撐住我們,多謝祢,多謝祢的教導,赴下預備我們的心,領受祢的話語,祝福我們今天這個時間,我們一齊聽祢的教導,我們同心禱告奉主名求,Amen。
[00:02:37.800 --> 00:03:02.800]  馬太福音這裏四章,短短幾節經文我們見到出現了三次的跟從這個字,三次跟從,第一次是十九節講到耶穌說來跟從我,之後在哪裏,找不找得到,二十和二十二節是門徒回應耶穌的呼召,
[00:03:02.800 --> 00:03:22.800]  我們發現原來三個跟從,兩個人說出來,一個是耶穌的呼召,另外兩個是門徒的回應,我發現這兩個跟從在中文我們看起來是一樣,原來我們看原文的時候是兩個不同的希臘文,
[00:03:22.800 --> 00:03:42.800]  所以今天我們一齊來看看到底門徒回應耶穌的呼召,說跟從他的時候,其實意味著什麼呢?當耶穌呼召說來跟從我的時候,耶穌對門徒又有什麼預期呢?我們一齊來看看。
