
[00:00:00.000 --> 00:00:04.300]  今日第一講,我就想,不如我都試一試
[00:00:04.300 --> 00:00:05.480]  試什麼呢?
[00:00:05.480 --> 00:00:08.000]  我將我今次講到的題目
[00:00:08.000 --> 00:00:13.000]  第一講是,人是被神創造的,而不是被人製造出來的
[00:00:13.000 --> 00:00:17.340]  還有,我將這個主題,我想講什麼的重點
[00:00:17.340 --> 00:00:18.840]  交了給Fred
[00:00:18.840 --> 00:00:22.380]  我說,Fred你的手腳比較靈活,我不懂這些東西
[00:00:22.380 --> 00:00:26.080]  你幫我可不可以製造一個30秒的視頻
[00:00:26.080 --> 00:00:30.940]  就根據我這個題目,以及我的主題
[00:00:30.940 --> 00:00:33.940]  Fred真的很厲害,很快就幫我搞定了
[00:00:33.940 --> 00:00:35.040]  先看看怎麼樣
[00:00:56.080 --> 00:01:11.100]  30秒而已,是不是很厲害呢?
[00:01:11.100 --> 00:01:16.800]  不知道在座裡面,有沒有誰沒有用過AI的?
[00:01:16.800 --> 00:01:22.100]  沒有用過,感謝主,我們的長輩都用過AI
[00:01:22.100 --> 00:01:23.700]  看看有多厲害
[00:01:23.700 --> 00:01:27.700]  亦因為這個緣故,你可以看到現時AI人工智慧
[00:01:27.700 --> 00:01:31.300]  對我們社會造成的影響
[00:01:31.300 --> 00:01:36.100]  有時真的讓我們有感覺,現在AI發展的速度不單是快
[00:01:36.100 --> 00:01:38.300]  而且好像真的很厲害
[00:01:38.300 --> 00:01:43.800]  厲害到讓人的腦轉得更快,這是我們無可爭議的
[00:01:43.800 --> 00:01:49.200]  有很多事情,似乎人是比不上AI的
[00:01:49.200 --> 00:01:51.600]  其實看是什麼來的
[00:01:51.600 --> 00:01:55.700]  今天想跟大家看一節聖經
[00:01:55.700 --> 00:01:58.500]  創世紀第二章第七節,回到原本
[00:01:58.500 --> 00:02:01.100]  創世紀第二章七節,那裡說什麼呢?
[00:02:01.100 --> 00:02:06.200]  那裡說:耶和華上帝用地上的塵土做人
[00:02:06.200 --> 00:02:09.800]  將生命的氣吹進他的鼻孔
[00:02:09.800 --> 00:02:14.300]  這個人就成為有靈的活人
[00:02:14.300 --> 00:02:17.500]  當然,當我們看聖經的時候,我們都知道
[00:02:17.500 --> 00:02:20.200]  今天你見我,我見你,你忘我,我忘你
[00:02:20.200 --> 00:02:24.300]  大家都知道,神創造了一個人
[00:02:24.300 --> 00:02:25.900]  用泥土造成的
[00:02:25.900 --> 00:02:28.400]  當然,不是做了一個泥公仔
[00:02:28.400 --> 00:02:31.400]  這個泥公仔會說話,會走路
[00:02:31.400 --> 00:02:36.600]  好像我小時候看木偶奇遇記,Pinocchio
[00:02:36.600 --> 00:02:41.900]  那個木偶會說話的,會走路的
[00:02:41.900 --> 00:02:48.600]  不,神不單是將一個血肉之軀放在人的身上
[00:02:48.600 --> 00:02:50.300]  而最重要的是什麼呢?
[00:02:50.300 --> 00:02:54.200]  聖經說,神向人的鼻孔吹口氣
[00:02:54.200 --> 00:02:58.000]  他就成為一個有靈的活人
[00:02:58.000 --> 00:03:02.000]  人和人工智慧其中一個主要分別是什麼呢?
[00:03:02.000 --> 00:03:06.700]  人是有靈魂的,聖經說得很清楚
[00:03:06.700 --> 00:03:08.000]  AI有沒有?
[00:03:08.000 --> 00:03:09.400]  AI當然沒有
[00:03:09.400 --> 00:03:14.200]  所以,當我們說到人有靈魂的時候
[00:03:14.200 --> 00:03:16.400]  到底這個是什麼意思呢?
[00:03:16.400 --> 00:03:19.700]  簡單來說,英文叫做SOUL
[00:03:19.700 --> 00:03:22.200]  這個靈魂裡面包含的就是
[00:03:22.200 --> 00:03:26.100]  原來這個靈魂包括人有心智,有情感
[00:03:26.100 --> 00:03:31.100]  有像神一樣的創新和創造能力
[00:03:31.100 --> 00:03:36.500]  人還懂得愛人,還有被愛的需要
[00:03:36.500 --> 00:03:41.200]  這些都是靈魂裡面所包含的外行之一
[00:03:41.200 --> 00:03:44.600]  我剛才說到這大堆,AI裡面有沒有呢?
[00:03:44.600 --> 00:03:46.700]  AI是沒有這些東西的
[00:03:46.700 --> 00:03:51.400]  所以今天我們希望在這個講道系列開始的時候
[00:03:51.400 --> 00:03:54.400]  首先和大家去重溫一下
[00:03:54.400 --> 00:03:58.300]  聖經告訴我們人到底是什麼呢?
[00:03:58.300 --> 00:04:00.700]  你怎樣去看人呢?
[00:04:00.700 --> 00:04:03.500]  人對你來說到底是什麼一回事呢?
[00:04:03.500 --> 00:04:05.600]  人生存在這個世界上面
[00:04:05.600 --> 00:04:07.600]  我們在教會裡面經常說
[00:04:07.600 --> 00:04:08.900]  有什麼價值?
[00:04:08.900 --> 00:04:11.900]  做人有什麼意義?
[00:04:11.900 --> 00:04:14.300]  首先,我們看聖經的時候
[00:04:14.300 --> 00:04:15.700]  聖經告訴我們
[00:04:15.700 --> 00:04:21.000]  原來人是按照神的形象而被創造的
[00:04:21.000 --> 00:04:24.000]  所以因為這個緣故
[00:04:24.000 --> 00:04:25.800]  人是十分尊貴的
