
[00:00:00.000 --> 00:00:04.100]  其實很開心的 回顧我們用了半年的時間
[00:00:04.100 --> 00:00:07.100]  有二十多次就看完彼得前書了
[00:00:07.100 --> 00:00:10.320]  所以從現在開始 我們就開始查舊約
[00:00:10.320 --> 00:00:13.180]  因為很大型的節目 可能對舊約不太熟悉
[00:00:13.180 --> 00:00:17.180]  原本我就說和大家來看大衛的生平
[00:00:17.180 --> 00:00:20.240]  但是如果我們看星球大戰
[00:00:20.240 --> 00:00:22.240]  有時候要追回前傳
[00:00:22.240 --> 00:00:24.400]  為什麼大衛會作王呢?
[00:00:24.400 --> 00:00:27.740]  因為之前有一個王叫做掃羅
[00:00:27.740 --> 00:00:30.400]  為什麼掃羅不能作王呢?
[00:00:30.400 --> 00:00:33.740]  我想我們應該要先了解掃羅
[00:00:33.740 --> 00:00:36.940]  然後才去看大衛
[00:00:36.940 --> 00:00:38.740]  所以就改了
[00:00:38.740 --> 00:00:40.740]  我們會用幾次的時間
[00:00:40.740 --> 00:00:44.740]  去看掃羅為什麼由盛至衰
[00:00:44.740 --> 00:00:48.740]  被神建立 但是又被神放棄呢?
[00:00:48.740 --> 00:00:51.740]  我們經常說神是無所不知
[00:00:51.740 --> 00:00:53.740]  無所不在 無所不能
[00:00:53.740 --> 00:00:56.740]  我再說神是無所不知 無所不在
[00:00:56.740 --> 00:00:58.740]  但不是無所不能的
[00:00:58.740 --> 00:01:00.740]  因為神是信實的嘛
[00:01:00.740 --> 00:01:02.740]  所以在提摩太的書信裡說
[00:01:02.740 --> 00:01:05.740]  我們縱然失信 他仍是可信
[00:01:05.740 --> 00:01:07.740]  因為他不能背負自己
[00:01:07.740 --> 00:01:10.740]  某個程度神也有個地方不在
[00:01:10.740 --> 00:01:14.740]  就是在地獄 是沒有神的存在
[00:01:14.740 --> 00:01:16.740]  因為神不會在那個地方裡面
[00:01:16.740 --> 00:01:18.740]  所以地獄用黑暗來描繪
[00:01:18.740 --> 00:01:20.740]  但是神真的無所不知
[00:01:20.740 --> 00:01:22.740]  我們表面可能很好
[00:01:22.740 --> 00:01:24.740]  但是內心裡面有很多的苦毒
[00:01:24.740 --> 00:01:28.740]  或者我們表面和我們的內心不一致
[00:01:28.740 --> 00:01:31.740]  可能你的口在讚人 但是心在罵人
[00:01:31.740 --> 00:01:34.740]  可能人不知道 但是神一定會知道
[00:01:34.740 --> 00:01:37.740]  今天我們就看掃羅的失敗
[00:01:37.740 --> 00:01:39.740]  就是他虛情假意
[00:01:39.740 --> 00:01:44.740]  他建制 他認錯 完全都是虛假的
[00:01:44.740 --> 00:01:47.740]  其實每一件事有好
[00:01:47.740 --> 00:01:50.740]  也都有似乎不好的地方
[00:01:50.740 --> 00:01:52.740]  有利也有弊
[00:01:52.740 --> 00:01:54.740]  簡單舉一個例子 十字架
[00:01:54.740 --> 00:01:57.740]  十字架是一個救恩的記號 是不是
