
[00:00:00.000 --> 00:00:02.000]  姊妹平安,我們一起祈禱
[00:00:30.000 --> 00:00:33.000]  了解有關天國的實現
[00:00:33.000 --> 00:00:38.000]  我希望大家會記得聖經的主題就是天國
[00:00:38.000 --> 00:00:41.000]  並且天國其實已經開始了
[00:00:41.000 --> 00:00:44.000]  因為主耶穌復活之後就宣佈
[00:00:44.000 --> 00:00:46.000]  祂就宣告
[00:00:46.000 --> 00:00:51.000]  上帝已經把天上和人間所有的權柄都賜給我了
[00:00:51.000 --> 00:00:55.000]  我們留意主耶穌這裡強調的是
[00:00:55.000 --> 00:00:59.000]  天上和人間和所有的權柄
[00:00:59.000 --> 00:01:03.000]  耶穌所得的權柄不只是在天上
[00:01:03.000 --> 00:01:05.000]  也包括人間
[00:01:05.000 --> 00:01:07.000]  或者有人會問
[00:01:07.000 --> 00:01:09.000]  這裡好像沒有提到陰間
[00:01:09.000 --> 00:01:12.000]  陰間的權柄是不是屬魔鬼的呢?
[00:01:12.000 --> 00:01:14.000]  所以沒有賜給主耶穌呢?
[00:01:14.000 --> 00:01:19.000]  其實所謂陰間的權勢
[00:01:19.000 --> 00:01:22.000]  在聖經的意義來說就是指死亡
[00:01:22.000 --> 00:01:25.000]  主耶穌曾經說過
[00:01:25.000 --> 00:01:27.000]  我要建立我的教會
[00:01:27.000 --> 00:01:29.000]  甚至死亡
[00:01:29.000 --> 00:01:31.000]  也就是陰間的權勢
[00:01:31.000 --> 00:01:34.000]  不能勝過他
[00:01:34.000 --> 00:01:38.000]  主耶穌已經從死裡面復活了
[00:01:38.000 --> 00:01:42.000]  證明祂是那位已經勝過死亡的
[00:01:42.000 --> 00:01:44.000]  祂有勝過死亡的權柄
[00:01:44.000 --> 00:01:46.000]  死亡並沒有勝過主耶穌
[00:01:46.000 --> 00:01:50.000]  根據《啟示錄》在20章14節說
[00:01:50.000 --> 00:01:54.000]  死亡和陰間也被轟進火壺裡
[00:01:54.000 --> 00:01:57.000]  所以陰間或者死亡的權柄
[00:01:57.000 --> 00:02:01.000]  有一天會消失在地獄裡
[00:02:01.000 --> 00:02:05.000]  耶穌擁有的是所有的權柄
[00:02:05.000 --> 00:02:07.000]  不單止擁有屬靈的
[00:02:07.000 --> 00:02:10.000]  也包括人世間的權柄
[00:02:10.000 --> 00:02:14.000]  甚至政治和經濟上的權柄都有
[00:02:14.000 --> 00:02:17.000]  故此主耶穌現在已經作王
[00:02:17.000 --> 00:02:24.000]  他的角度就像他曾經說過一個芥菜種的比喻所說
[00:02:24.000 --> 00:02:27.000]  是會不斷擴張的
[00:02:27.000 --> 00:02:32.000]  耶穌復活之後的門徒大概有幾百至幾千人
[00:02:32.000 --> 00:02:36.000]  全部都是在今天的以色列附近一帶的地區
[00:02:36.000 --> 00:02:39.000]  但是兩千年後的今天
[00:02:39.000 --> 00:02:41.000]  連同天主教徒
[00:02:41.000 --> 00:02:45.000]  相信耶穌的人是佔了全世界人口的三分之一
[00:02:45.000 --> 00:02:49.000]  天日遍佈地球上每一個國家
[00:02:49.000 --> 00:02:53.000]  並且每天都仍然在不斷的增長中
[00:02:53.000 --> 00:02:55.000]  我們感謝主
[00:02:55.000 --> 00:03:00.000]  今天開始我想和大家思想信心
[00:03:00.000 --> 00:03:03.000]  信心不是一件物質的東西
[00:03:03.000 --> 00:03:05.000]  我不可以拿出信心來給大家看
[00:03:05.000 --> 00:03:08.000]  你的信心我也看不到
[00:03:08.000 --> 00:03:14.000]  故此我想和大家從聖經裡面的一些信心人物的事蹟
[00:03:14.000 --> 00:03:16.000]  來學習一下
[00:03:16.000 --> 00:03:19.000]  希望大家都一起得到鼓勵
[00:03:19.000 --> 00:03:23.000]  今天我們要思想的信心人物
[00:03:23.000 --> 00:03:26.000]  是《創世紀》裡面提到的阿伯
[00:03:26.000 --> 00:03:31.000]  在《希伯來書》11章4節是這樣介紹阿伯的
[00:03:31.000 --> 00:03:33.000]  由於信心
