
[00:00:00.000 --> 00:00:04.920]  我們從上個月開始就講約翰福音
[00:00:04.920 --> 00:00:08.280]  今天我們來到第六章
[00:00:08.280 --> 00:00:13.840]  第六章可以說是耶穌全道生涯的分水嶺
[00:00:13.840 --> 00:00:18.560]  在第六章之前,耶穌的聲望是越來越高
[00:00:18.560 --> 00:00:21.120]  而跟隨祂的人是越來越多
[00:00:21.120 --> 00:00:25.760]  但是第六章之後,跟隨祂的人是越來越少
[00:00:25.760 --> 00:00:33.520]  而祂面對法利塞人的攻擊也是越來越大
[00:00:33.520 --> 00:00:37.400]  第六章一開始就記載了一個神蹟
[00:00:37.400 --> 00:00:42.680]  這個神蹟是發生在耶穌全道的第三年
[00:00:42.680 --> 00:00:47.040]  就是耶穌用五餅二魚餵飽五千人
[00:00:47.040 --> 00:00:52.000]  這個神蹟是唯一一個神蹟四卷福音書都有記載
[00:00:52.000 --> 00:00:56.280]  所以有很重要的原因,一會兒我會講
[00:00:56.280 --> 00:01:03.320]  這裡所講的神蹟的背景就是一群人聽耶穌講道
[00:01:03.320 --> 00:01:06.120]  其實如果你看其他的福音書
[00:01:06.120 --> 00:01:10.440]  這五千人只計算男人,以前就不計算女人和孩子
[00:01:10.440 --> 00:01:16.440]  只計算男人,如果計算女人和孩子可能有多幾千
[00:01:16.440 --> 00:01:20.000]  天黑,太陽下山,人們都沒有東西吃
[00:01:20.000 --> 00:01:22.680]  其中一個門徒就是安德烈
[00:01:22.680 --> 00:01:25.920]  他帶了一個小小的小蚊子來找耶穌
[00:01:25.920 --> 00:01:29.560]  這個小小的小蚊子看到這麼多人沒有飯吃
[00:01:29.560 --> 00:01:31.000]  他自己有一個飯盒
[00:01:31.000 --> 00:01:33.840]  他說:耶穌,我將這個飯盒奉獻給你
[00:01:33.840 --> 00:01:39.320]  這個飯盒有五個大麥餅和兩條魚
[00:01:39.320 --> 00:01:42.920]  五個大麥餅就不是五個大的麥餅
[00:01:42.920 --> 00:01:45.600]  而是五個大麥做的餅仔
[00:01:45.600 --> 00:01:48.480]  如果你看英文就寫著Small
[00:01:48.480 --> 00:01:50.040]  大麥是什麼呢?
[00:01:50.040 --> 00:01:52.840]  大麥就是廣東人所說的薏米
[00:01:52.840 --> 00:01:57.400]  大家吃的腐竹薏米糖水的薏米
[00:01:57.400 --> 00:02:00.320]  是一種很便宜的食物
[00:02:00.320 --> 00:02:02.600]  比較起小麥和麵粉
[00:02:02.600 --> 00:02:07.800]  所以那些窮苦人家,如果他吃不起一餐麵粉
[00:02:07.800 --> 00:02:12.800]  他就會買一些大麥來參考
[00:02:12.800 --> 00:02:16.280]  這個小小的小餅有五個大麥
[00:02:16.280 --> 00:02:19.280]  英文是Barley做的小餅
[00:02:19.280 --> 00:02:20.480]  是兩條魚
[00:02:20.480 --> 00:02:23.280]  這兩條魚不是龍躉青斑
[00:02:23.280 --> 00:02:26.160]  而是像沙甸魚那麼小的魚
[00:02:26.160 --> 00:02:28.600]  曬乾了或者醃過
[00:02:28.600 --> 00:02:33.680]  是一個平常人家的小孩子的飯盒
[00:02:33.680 --> 00:02:36.520]  耶穌拿著這個飯盒
[00:02:36.520 --> 00:02:39.640]  祈禱,祝謝,叫他們坐開睡
[00:02:39.640 --> 00:02:43.360]  一萬人,個個吃飽
[00:02:43.360 --> 00:02:46.720]  我們看一段聖經怎麼說
[00:02:46.720 --> 00:02:52.200]  他們便將眾人吃的剩下來,收拾起來
[00:02:52.200 --> 00:02:54.680]  裝滿了十二個籃子
