
[00:00:00.000 --> 00:00:07.280]  各位弟兄姊妹平安 聖經向你說話
[00:00:07.280 --> 00:00:11.640]  今天我要介紹的是約書阿紀這本書
[00:00:11.640 --> 00:00:18.960]  約書阿紀很自然就以約書阿紀的人物作爲中心主角
[00:00:18.960 --> 00:00:23.680]  因爲他接替摩西成爲以色列人的領袖
[00:00:23.680 --> 00:00:26.280]  他有一個很重要的使命
[00:00:26.280 --> 00:00:32.320]  就是帶領以色列人進入迦南這個神興許的地方
[00:00:32.320 --> 00:00:34.840]  他要征服迦南
[00:00:34.840 --> 00:00:38.560]  他要將迦南全地征服
[00:00:38.560 --> 00:00:43.600]  然後將迦南地分派給12個支派
[00:00:43.600 --> 00:00:47.760]  約書阿這個人是很特別的
[00:00:47.760 --> 00:00:52.360]  在《摩西五經》裏面已經開始介紹
[00:00:52.360 --> 00:00:56.920]  他是一個少年人 是摩西的幫手
[00:00:56.920 --> 00:01:01.200]  他當時是用一個配角的身份出現
[00:01:01.200 --> 00:01:05.800]  但來到約書阿紀他就成爲主角
[00:01:05.800 --> 00:01:09.560]  約書阿這個名字是什麼意思呢?
[00:01:09.560 --> 00:01:13.440]  就是神是拯救的意思
[00:01:13.440 --> 00:01:16.960]  所以約書阿這個名字的意思
[00:01:16.960 --> 00:01:21.480]  和耶穌這個名字的意思是一模一樣的
[00:01:21.480 --> 00:01:25.680]  因爲耶穌也是拯救的意思
[00:01:25.680 --> 00:01:27.360]  而且很特別
[00:01:27.360 --> 00:01:32.760]  如果用希臘文來讀約書阿這個名字
[00:01:32.760 --> 00:01:36.400]  就是Yahshua 就是耶穌這個名字
[00:01:36.400 --> 00:01:37.960]  所以很多人都說
[00:01:37.960 --> 00:01:43.360]  其實約書阿是預表着主耶穌的
[00:01:43.360 --> 00:01:46.400]  他有很多東西都可以說是
[00:01:46.400 --> 00:01:50.920]  在舊約裏面先將耶穌要做的東西
[00:01:50.920 --> 00:01:55.040]  來讓我們稍爲知道一下
[00:01:55.040 --> 00:01:59.400]  在約書阿一開始的地方
[00:01:59.400 --> 00:02:06.920]  就是神鼓勵約書阿給他信心
[00:02:06.920 --> 00:02:08.880]  給他膽量
[00:02:08.880 --> 00:02:15.480]  讓他要起來帶領這幫百姓去進入應許地
[00:02:15.480 --> 00:02:18.320]  所以聖經裏面出現了幾次
[00:02:18.320 --> 00:02:22.520]  你要光強壯膽
[00:02:22.520 --> 00:02:25.480]  我當日如何應許摩西
[00:02:25.480 --> 00:02:28.000]  今天我必與你同在
[00:02:28.000 --> 00:02:30.040]  必定與你同在
[00:02:30.040 --> 00:02:35.600]  而且我要帶你進入應許之地
[00:02:35.600 --> 00:02:37.000]  原來今天很多時候
[00:02:37.000 --> 00:02:40.240]  我們基督徒都會有喪志
[00:02:40.240 --> 00:02:42.120]  都會有膽怯
[00:02:42.120 --> 00:02:44.680]  都會有沒有信心的時刻
[00:02:44.680 --> 00:02:47.880]  但當你看回約書阿第一章
[00:02:47.880 --> 00:02:49.600]  你就很得鼓勵
[00:02:49.600 --> 00:02:53.520]  神當日如何鼓舞約書阿
[00:02:53.520 --> 00:02:55.440]  讓他勇敢前行
[00:02:55.440 --> 00:02:59.040]  今天當我們面對各樣不同的環境的時候
[00:02:59.040 --> 00:03:03.960]  我們同樣需要神用這番話向我們講
[00:03:03.960 --> 00:03:05.800]  以至我們有力量
[00:03:05.800 --> 00:03:08.840]  有膽量來前行
[00:03:08.840 --> 00:03:13.320]  這本書的分段很簡單
[00:03:13.320 --> 00:03:19.520]  第一到第五章是講他們進入應許之地
[00:03:19.520 --> 00:03:25.400]  從剛纔提到神鼓勵約書阿前行
[00:03:25.400 --> 00:03:30.000]  然後派探子進去窺探
[00:03:30.000 --> 00:03:33.000]  這次只派了兩個探子
[00:03:33.000 --> 00:03:34.280]  但很感恩
[00:03:34.280 --> 00:03:38.600]  他們遇到一個妓女叫做拉合
[00:03:38.600 --> 00:03:41.120]  拉合保護他們
[00:03:41.120 --> 00:03:42.960]  於是這兩個探子
[00:03:42.960 --> 00:03:47.440]  就完成任務回來向約書阿布告
[00:03:47.440 --> 00:03:51.360]  接着他們就預備過約旦河
[00:03:51.360 --> 00:03:54.520]  又是一個很特別的旅程
[00:03:54.520 --> 00:03:57.480]  當祭司抬着約跪
[00:03:57.480 --> 00:04:01.400]  當他們的腳一踏入約旦河的水
[00:04:01.400 --> 00:04:04.680]  約旦河的水就分開了
[00:04:04.680 --> 00:04:09.800]  於是以色列人就走乾地過約旦河
[00:04:09.800 --> 00:04:15.480]  過約旦河的經歷可以和出埃及記過紅海的經歷
[00:04:15.480 --> 00:04:18.200]  可以說是互相呼應
[00:04:18.200 --> 00:04:20.360]  之前有過紅海
[00:04:20.360 --> 00:04:26.280]  現在過約旦河就進入迦南美地
[00:04:26.280 --> 00:04:31.240]  所以第一到第五章是講進入應許之地
[00:04:31.240 --> 00:04:36.840]  第六到第十二章是講征服應許之地
[00:04:36.840 --> 00:04:40.240]  原來他們這次進入迦南
[00:04:40.240 --> 00:04:44.760]  一共有三場最重要的戰役
[00:04:44.760 --> 00:04:49.320]  第一個戰役就是攻打一個很驚高的城
[00:04:49.320 --> 00:04:50.920]  就是耶利哥城
[00:04:50.920 --> 00:04:54.240]  攻打耶利哥的事蹟
[00:04:54.240 --> 00:04:56.160]  真的叫我們很驚訝
[00:04:56.160 --> 00:04:58.760]  原來你是擾城七次
[00:04:58.760 --> 00:05:01.920]  每天擾一次到第七天擾七次
[00:05:01.920 --> 00:05:04.680]  耶利哥城就倒塌了
[00:05:04.680 --> 00:05:08.360]  根本他們不用打 耶利哥城已經倒塌
[00:05:08.360 --> 00:05:13.600]  第二個戰役就是擾城的戰役
[00:05:13.600 --> 00:05:14.880]  但很可惜
[00:05:14.880 --> 00:05:18.160]  因爲在以色列人當中有一個人
[00:05:18.160 --> 00:05:21.240]  他叫做阿肝
[00:05:21.240 --> 00:05:25.000]  他偷取了當滅之物
[00:05:25.000 --> 00:05:28.080]  結果因爲一個人犯罪
[00:05:28.080 --> 00:05:31.320]  全部以色列人就被連累
[00:05:31.320 --> 00:05:33.200]  結果他們在擾城
[00:05:33.200 --> 00:05:37.160]  一個很小的城竟然輸了
[00:05:37.160 --> 00:05:39.520]  所以後來當他們悔改
[00:05:39.520 --> 00:05:42.080]  將阿肝打死了之後
[00:05:42.080 --> 00:05:44.760]  於是他們就可以得城
[00:05:44.760 --> 00:05:46.920]  第三場的戰役
[00:05:46.920 --> 00:05:50.080]  就是有幾個皇聯合力
[00:05:50.080 --> 00:05:52.320]  要和以色列人作戰
[00:05:52.320 --> 00:05:56.120]  但以色列人靠着有神與他們同在
[00:05:56.120 --> 00:05:57.640]  他們就得城
[00:05:57.640 --> 00:06:00.200]  所以由第六到十二章是講
[00:06:00.200 --> 00:06:02.120]  征服應許之地
[00:06:02.120 --> 00:06:04.920]  由第十三章到二十一章
[00:06:04.920 --> 00:06:08.720]  就講分配應許之地
[00:06:08.720 --> 00:06:11.920]  約書這位的領袖
[00:06:11.920 --> 00:06:14.360]  就怎樣將全個地
[00:06:14.360 --> 00:06:16.040]  由南到北
[00:06:16.040 --> 00:06:20.120]  由北到南分給十二個支派
[00:06:20.120 --> 00:06:23.600]  每一個支派都有他的地
[00:06:23.600 --> 00:06:25.680]  其中有一個插曲
[00:06:25.680 --> 00:06:27.880]  是很能夠激勵我們的
[00:06:27.880 --> 00:06:30.480]  就是這位加勒
[00:06:30.480 --> 00:06:34.240]  和約書十二個探子中
[00:06:34.240 --> 00:06:37.800]  唯有兩個是講順利
