
[00:00:00.000 --> 00:00:04.760]  我們繼續去探討耶穌登山變象
[00:00:04.760 --> 00:00:09.280]  今天是變臉前傳的最後一課
[00:00:09.280 --> 00:00:10.680]  就是「義不容情」
[00:00:10.680 --> 00:00:14.440]  這個名字是不是很像電視劇呢?
[00:00:14.440 --> 00:00:17.160]  當初耶穌去宣佈
[00:00:17.160 --> 00:00:20.160]  祂會上耶路撒冷受苦、受死
[00:00:20.160 --> 00:00:22.520]  但是很強調祂會復活
[00:00:22.520 --> 00:00:25.360]  但是那些蒙徒經常都忘記了後面那一段
[00:00:25.360 --> 00:00:27.680]  給的不是立刻破壞了嗎?
[00:00:27.680 --> 00:00:29.080]  上次我們就看到了
[00:00:29.080 --> 00:00:30.680]  誤導受責
[00:00:30.680 --> 00:00:32.280]  彼得拉住耶穌說
[00:00:32.280 --> 00:00:34.040]  你不可以死的
[00:00:34.040 --> 00:00:36.240]  耶穌就立刻說去
[00:00:36.240 --> 00:00:38.080]  撒旦退我後邊吧
[00:00:38.080 --> 00:00:39.680]  我們在上次已經說過了
[00:00:39.680 --> 00:00:41.760]  耶穌不是兇死能登去說祂
[00:00:41.760 --> 00:00:45.000]  因為其實撒旦是利用彼得的愛
[00:00:45.000 --> 00:00:46.760]  想要攔阻耶穌
[00:00:46.760 --> 00:00:49.600]  接著主耶穌就說了
[00:00:49.600 --> 00:00:51.600]  一個跟隨祂的人
[00:00:51.600 --> 00:00:55.400]  同樣是要面對這樣的挑戰
[00:00:55.400 --> 00:00:56.720]  要毀身
[00:00:56.720 --> 00:00:58.280]  彼得是跟隨祂的
[00:00:58.280 --> 00:01:02.640]  就是馬帝福音第16章24到28節
[00:01:02.640 --> 00:01:04.800]  這個毀身的信息
[00:01:04.800 --> 00:01:07.560]  其實我們基督徒聽了很多很多了
[00:01:07.560 --> 00:01:09.640]  我今天跟大家分享這段經文
[00:01:09.640 --> 00:01:11.080]  大家都很熟悉了
[00:01:11.080 --> 00:01:12.520]  但是如果我們留意一下
[00:01:12.520 --> 00:01:14.480]  在筆記裡面我們會看到
[00:01:14.480 --> 00:01:16.400]  馬帝福音第10章
[00:01:16.400 --> 00:01:18.000]  37到39
[00:01:18.000 --> 00:01:19.520]  馬口福音第8章
[00:01:19.520 --> 00:01:21.040]  34到37
[00:01:21.040 --> 00:01:24.120]  路加福音23到第9章
[00:01:24.120 --> 00:01:25.240]  23到27
[00:01:25.240 --> 00:01:26.280]  14章
[00:01:26.280 --> 00:01:27.400]  25到27
[00:01:27.400 --> 00:01:28.800]  17章33
[00:01:28.800 --> 00:01:30.960]  還有路加福音12章25節
[00:01:30.960 --> 00:01:33.040]  剛剛我講了連串的數目
[00:01:33.040 --> 00:01:34.400]  大家都會記不住了
[00:01:34.400 --> 00:01:36.000]  看筆記就會看到
[00:01:36.000 --> 00:01:38.840]  都是有相同的教導
[00:01:38.840 --> 00:01:40.600]  就是要毀身彼臣
[00:01:40.600 --> 00:01:43.720]  所以這個信息是非常非常重要的
[00:01:43.720 --> 00:01:46.600]  但是雖然我們很熟悉的東西
[00:01:46.600 --> 00:01:49.160]  但是我們會有沒有細心去分析
[00:01:49.160 --> 00:01:50.760]  去了解呢?
[00:01:50.760 --> 00:01:53.000]  今天毀身彼臣
[00:01:53.000 --> 00:01:55.000]  是我們信仰的核心
[00:01:55.000 --> 00:01:57.440]  絕對不能夠輕忽的
[00:01:57.440 --> 00:01:59.800]  所以我是不厭其煩地
[00:01:59.800 --> 00:02:02.640]  今天跟大家詳細去分享這段經文
[00:02:02.640 --> 00:02:05.280]  這一段經文一開始的時候就說
[00:02:05.280 --> 00:02:08.200]  要我們彼得日去捨棄自己
[00:02:08.200 --> 00:02:09.600]  糟糕了
[00:02:09.600 --> 00:02:13.920]  原來我剛剛一路翻溫的時候
[00:02:13.920 --> 00:02:16.080]  就放在最尾
[00:02:16.080 --> 00:02:17.920]  我們要回到頭上
[00:02:17.920 --> 00:02:18.640]  OK
[00:02:18.640 --> 00:02:19.440]  好
[00:02:19.440 --> 00:02:21.280]  我們一起彼得日去先看
[00:02:21.280 --> 00:02:22.800]  馬帝福音第16章
[00:02:22.800 --> 00:02:24.280]  24到28節
[00:02:24.280 --> 00:02:26.720]  我們一起來聽我們主母讀出
[00:02:55.280 --> 00:02:57.080]  我們看了這段經文
[00:02:57.080 --> 00:02:58.520]  一開始的時候
[00:02:58.520 --> 00:02:59.960]  主耶穌就要說
[00:02:59.960 --> 00:03:02.600]  人是要捨棄自己的
[00:03:02.600 --> 00:03:06.120]  我們再看第16章的24節
[00:03:24.280 --> 00:03:25.880]  耶穌對門徒說
[00:03:25.880 --> 00:03:27.520]  若有人要跟從我
[00:03:27.520 --> 00:03:29.080]  就當捨棄
[00:03:29.080 --> 00:03:31.880]  背起叉戟十字架來跟從
[00:03:31.880 --> 00:03:33.680]  這裡是很短的
[00:03:33.680 --> 00:03:35.000]  大家很熟悉的經文
[00:03:35.000 --> 00:03:38.240]  但我們會逐句逐句來帶去研究
[00:03:38.240 --> 00:03:40.040]  就當捨棄
[00:03:40.040 --> 00:03:41.240]  於是
[00:03:41.240 --> 00:03:42.720]  耶穌對門徒說
[00:03:42.720 --> 00:03:45.720]  這個「於是」就是之前發生的事
[00:03:45.720 --> 00:03:46.920]  之前就說到
[00:03:46.920 --> 00:03:48.920]  耶穌會宣告祂會受苦
[00:03:48.920 --> 00:03:50.120]  受死
[00:03:50.120 --> 00:03:51.400]  隨即
[00:03:51.400 --> 00:03:54.120]  祂就要求跟隨祂的門徒
