
[00:00:00.000 --> 00:00:03.000]  我們新的季度又開始了
[00:00:03.000 --> 00:00:07.640]  新的季度我們都會按照尋求營所得的訊息
[00:00:07.640 --> 00:00:10.600]  安排我們講到的主題
[00:00:10.600 --> 00:00:16.060]  我們第一個主題就是講脫去捆綁
[00:00:16.060 --> 00:00:18.800]  大家知道吧
[00:00:18.800 --> 00:00:22.640]  其實在尋求營裏面其中一個圖畫
[00:00:22.640 --> 00:00:23.940]  就是這樣
[00:00:23.940 --> 00:00:27.640]  叫我們整個次郭群體的弟兄姊妹做勇士
[00:00:27.640 --> 00:00:28.660]  做勇士
[00:00:28.660 --> 00:00:30.440]  不過這個勇士呢
[00:00:30.440 --> 00:00:32.440]  這個勇士發生甚麼事呢
[00:00:32.440 --> 00:00:36.100]  他想去打仗的時候
[00:00:36.100 --> 00:00:40.040]  對手原來有些鎖鏈鎖住他的
[00:00:40.040 --> 00:00:43.000]  不過主又給我們一個應許
[00:00:43.000 --> 00:00:47.300]  就是原來我們可以靠著他很容易甩掉
[00:00:47.300 --> 00:00:48.800]  甩掉這些鎖鏈
[00:00:48.800 --> 00:00:53.160]  以致我們能夠自由釋放的去為神爭戰
[00:00:53.160 --> 00:00:54.840]  各位勇士
[00:00:54.840 --> 00:00:55.600]  各位勇士
[00:00:55.600 --> 00:00:57.360]  各位慈光的勇士
[00:00:57.360 --> 00:01:02.440]  你其實想不想自由釋放去為主打仗
[00:01:02.440 --> 00:01:05.240]  今天就跟大家分享一下
[00:01:05.240 --> 00:01:06.740]  我們究竟是怎樣的呢
[00:01:06.740 --> 00:01:11.540]  怎樣可以得著這個爭脫捆綁的能力呢
[00:01:11.540 --> 00:01:14.100]  不過講這件事的意思呢
[00:01:14.100 --> 00:01:15.740]  我想問一下大家
[00:01:15.740 --> 00:01:19.100]  大家知不知道你屬靈生命裏面
[00:01:19.100 --> 00:01:23.600]  有沒有一些東西是經常纏繞你們的
[00:01:23.600 --> 00:01:29.000]  有沒有空做一下身體檢查
[00:01:29.000 --> 00:01:33.200]  我們肉身可能會做一下身體檢查
[00:01:33.200 --> 00:01:34.900]  不過我發現一件事
[00:01:34.900 --> 00:01:39.600]  人越大就越不想做身體檢查
[00:01:39.600 --> 00:01:41.800]  你發覺是不是
[00:01:41.800 --> 00:01:43.600]  因為你發覺
[00:01:43.600 --> 00:01:48.200]  你可能有機會知道自己有三高的問題
[00:01:48.200 --> 00:01:50.300]  但是你又不想去檢查
[00:01:50.300 --> 00:01:54.500]  因為你知道你檢查之後就要怎樣
[00:01:54.500 --> 00:01:55.700]  有幾樣東西要做
[00:01:55.700 --> 00:01:58.300]  一 戒口
[00:01:58.300 --> 00:02:00.400]  二 可能要吃藥
[00:02:00.400 --> 00:02:03.400]  第三 可能要做運動
[00:02:03.400 --> 00:02:06.700]  可能對某些人來說這三樣東西都是不中醫的
[00:02:06.700 --> 00:02:09.400]  所以與其這樣不如我隨它吧
[00:02:09.400 --> 00:02:11.500]  但是如果你隨它的話
[00:02:11.500 --> 00:02:13.400]  我想告訴你
[00:02:13.400 --> 00:02:18.800]  總有一天是會出很大件事的
[00:02:18.800 --> 00:02:22.200]  如果你看最近一單新聞
[00:02:22.200 --> 00:02:25.600]  有個某集團的高層
[00:02:25.600 --> 00:02:27.300]  他去參加比賽
[00:02:27.300 --> 00:02:29.100]  他應該不是不喜歡做運動的人
[00:02:29.100 --> 00:02:31.000]  他應該是很喜歡做運動的人
[00:02:31.000 --> 00:02:33.800]  而且還很喜歡做一些很激烈的運動的人
[00:02:33.800 --> 00:02:35.500]  所以他就去參加這個
[00:02:35.500 --> 00:02:40.200]  他66歲去參加這個三項鐵人耐力賽
[00:02:40.200 --> 00:02:49.700]  嘩 誰知在第一項的時候就已經死了
[00:02:49.700 --> 00:02:54.400]  原來他之前一年做了通波仔手術
[00:02:54.400 --> 00:02:58.700]  有機會是因為過程中心臟受不了
[00:02:58.700 --> 00:03:00.500]  太激烈了
[00:03:00.500 --> 00:03:03.500]  所以如果我們身體都是這樣
[00:03:03.500 --> 00:03:12.100]  我們屬靈裡面是否也需要常常做一些檢視或者檢查呢
[00:03:12.100 --> 00:03:14.400]  我記得幾年前
[00:03:14.400 --> 00:03:16.300]  我家裏裝修
[00:03:16.300 --> 00:03:17.900]  不是全部裝修
[00:03:17.900 --> 00:03:19.400]  廚房沒有裝修
[00:03:19.400 --> 00:03:21.100]  裝修完之後
[00:03:21.100 --> 00:03:22.700]  整間房子很舒服了
[00:03:22.700 --> 00:03:23.800]  很適合用了
[00:03:23.800 --> 00:03:27.100]  過了一段日子之後
[00:03:27.100 --> 00:03:29.900]  家裏的廚房就出事了
[00:03:29.900 --> 00:03:31.400]  出什麼事呢
[00:03:31.400 --> 00:03:38.300]  原來喉管的污水渠有一個位置塞住了
[00:03:38.300 --> 00:03:41.300]  所以洗衣機的水漸漸回流
[00:03:41.300 --> 00:03:44.600]  洗衣機的水漸漸回流
[00:03:44.600 --> 00:03:46.100]  搞了很久
[00:03:46.100 --> 00:03:49.400]  浸了整個星盤下面的位置
[00:03:49.400 --> 00:03:50.700]  抹了幾次
[00:03:50.700 --> 00:03:52.600]  最後終於知道是塞住了
[00:03:52.600 --> 00:03:55.300]  那我就唯有做一件事了
[00:03:55.300 --> 00:03:58.200]  就化身做通渠佬了
[00:03:58.200 --> 00:04:03.500]  扭開了那個螺絲的位置
[00:04:03.500 --> 00:04:11.900]  然後就問管理處借了一條很長的膠藤
[00:04:11.900 --> 00:04:15.200]  就通啊 通啊 通啊
[00:04:15.200 --> 00:04:17.600]  其實一直通
[00:04:17.600 --> 00:04:20.900]  那種味道是非常之
[00:04:20.900 --> 00:04:22.400]  非常之好滋味的
[00:04:22.400 --> 00:04:23.100]  如果你們沒試過
[00:04:23.100 --> 00:04:24.800]  你們自己回去試試通就知道了
[00:04:24.800 --> 00:04:32.600]  哇 一直通 臭味就一直湧回來
[00:04:32.600 --> 00:04:37.500]  我好怕自己暈倒在星盤底下
[00:04:37.500 --> 00:04:39.200]  千辛萬苦搞定了
[00:04:39.200 --> 00:04:41.100]  搞定之後就很開心了
[00:04:41.100 --> 00:04:45.000]  因為水流得很順
[00:04:45.000 --> 00:04:46.600]  又沒有臭味了
[00:04:46.600 --> 00:04:47.700]  又沒有髒東西了
[00:04:47.700 --> 00:04:51.600]  就很安心 快快樂樂地生活了
[00:04:51.600 --> 00:04:54.900]  鄧小姐 其實我們的屬靈生命
[00:04:54.900 --> 00:04:56.700]  會不會有時也是這樣呢
[00:04:56.700 --> 00:05:00.000]  如果我們說我們好想得釋放
[00:05:00.000 --> 00:05:03.100]  得自由去成為神國的勇士
[00:05:03.100 --> 00:05:05.700]  甚至你不是想做神國的勇士也好
[00:05:05.700 --> 00:05:07.100]  其實你的屬靈生命
[00:05:07.100 --> 00:05:09.900]  在主裡面是否應該很自由很釋放
[00:05:09.900 --> 00:05:14.100]  很無拘無束地去親近神
[00:05:14.100 --> 00:05:15.600]  去榮耀祂呢
[00:05:15.600 --> 00:05:17.400]  我們應該是這樣的
[00:05:17.400 --> 00:05:22.900]  但如果我們不去做屬靈生命中的檢視的話
[00:05:22.900 --> 00:05:26.100]  其實有時我們有什麼問題都不知道
[00:05:26.100 --> 00:05:27.300]  你總是會覺得
[00:05:27.300 --> 00:05:29.400]  有些事情不知道為什麼
[00:05:29.400 --> 00:05:31.600]  在我生命裡很多年了
[00:05:31.600 --> 00:05:33.700]  或者有一段時間了
[00:05:33.700 --> 00:05:36.500]  是令我一個人很不暢順的
[00:05:36.500 --> 00:05:37.800]  很不舒服的
[00:05:37.800 --> 00:05:39.500]  甚至跟別人互動的時候
[00:05:39.500 --> 00:05:41.600]  你都覺得很奇怪
[00:05:41.600 --> 00:05:43.700]  每次完結之後那種感覺
[00:05:43.700 --> 00:05:46.100]  都不是很妥當
[00:05:46.100 --> 00:05:47.500]  你有沒有發覺有時
[00:05:47.500 --> 00:05:51.700]  你好像經常跌入一種情緒的狀況裡面
[00:05:51.700 --> 00:05:53.700]  你有時你會發覺
[00:05:53.700 --> 00:05:55.900]  為什麼你跟別人互動的裡面
[00:05:55.900 --> 00:05:59.100]  會有這麼多不良的反應呢
[00:05:59.100 --> 00:06:00.200]  又或者
[00:06:00.200 --> 00:06:02.700]  你面對一些情況的時候
[00:06:02.700 --> 00:06:05.900]  譬如好像你要站上台說話的時候
[00:06:05.900 --> 00:06:08.300]  為什麼你的心這麼害怕
[00:06:08.300 --> 00:06:11.300]  或者這麼退縮呢
[00:06:11.300 --> 00:06:12.900]  你裡面究竟
[00:06:12.900 --> 00:06:14.800]  其實有沒有一些位置
[00:06:14.800 --> 00:06:16.200]  有沒有一些東西
[00:06:16.200 --> 00:06:18.600]  其實是被綑綁
[00:06:18.600 --> 00:06:20.100]  被綑鎖住
[00:06:20.100 --> 00:06:24.300]  令你覺得很不自由很不釋放呢
[00:06:24.300 --> 00:06:25.600]  鄧小姐
[00:06:25.600 --> 00:06:29.100]  我想說如果我們要能夠進入
[00:06:29.100 --> 00:06:30.500]  自由釋放的裡面
[00:06:30.500 --> 00:06:32.500]  我們要經歷著幫我們
[00:06:32.500 --> 00:06:34.300]  爭奪這個綑綁
[00:06:34.300 --> 00:06:35.900]  我們首先要明白
[00:06:35.900 --> 00:06:37.300]  我們首先要知道
[00:06:37.300 --> 00:06:38.900]  究竟我們內在生命
[00:06:38.900 --> 00:06:40.600]  這個屬靈的狀況裡面
[00:06:40.600 --> 00:06:42.000]  有沒有一些東西
[00:06:42.000 --> 00:06:47.200]  是被仇敵偷竊殺害和毀壞了
[00:06:47.200 --> 00:06:49.800]  以致我們可以呼求主
[00:06:49.800 --> 00:06:52.700]  來幫我們爭奪這個綑綁
[00:06:52.700 --> 00:06:53.700]  所以呢
[00:06:53.700 --> 00:06:55.000]  我第一樣想跟大家說
[00:06:55.000 --> 00:06:56.100]  鼓勵大家的話
[00:06:56.100 --> 00:06:57.400]  是什麼呢
[00:06:57.400 --> 00:07:00.000]  就是請我們每一個
[00:07:00.000 --> 00:07:01.800]  無論是哪一個
[00:07:01.800 --> 00:07:03.900]  你是什麼背景的人
[00:07:03.900 --> 00:07:08.900]  我們應該經常做一下屬靈的檢視
[00:07:08.900 --> 00:07:09.800]  檢視一下
[00:07:09.800 --> 00:07:13.100]  究竟今天我們和主有多親近
[00:07:13.100 --> 00:07:15.800]  究竟我們在和主的親近
[00:07:15.800 --> 00:07:17.300]  甚至讀聖經
[00:07:17.300 --> 00:07:19.800]  各方面的生命的狀況裡面
[00:07:19.800 --> 00:07:21.300]  我們有沒有一些東西
[00:07:21.300 --> 00:07:23.000]  不是很棒
[00:07:23.000 --> 00:07:24.300]  是卡住我們的
[00:07:24.300 --> 00:07:27.600]  舉個很簡單的例子
[00:07:27.600 --> 00:07:29.100]  剛才敬拜裡面
[00:07:29.100 --> 00:07:31.500]  我猜有很多人都覺得
[00:07:31.500 --> 00:07:34.900]  主很親近
[00:07:34.900 --> 00:07:37.000]  但會不會我們當中有些鄧小姐
[00:07:37.000 --> 00:07:42.000]  你是完全投入不了的
[00:07:42.000 --> 00:07:45.000]  有可能你會覺得
[00:07:45.000 --> 00:07:47.900]  你會解釋可能是音樂的問題
[00:07:47.900 --> 00:07:57.800]  你可能會解釋是敬拜風格的問題
[00:07:57.800 --> 00:08:01.000]  但是如果你再試一下
[00:08:01.000 --> 00:08:02.100]  再想深一點
[00:08:02.100 --> 00:08:06.600]  在你靈裡面的狀況是怎樣的
[00:08:06.600 --> 00:08:08.200]  當你禱告的時候
[00:08:08.200 --> 00:08:11.400]  你的集中究竟在哪裡
[00:08:11.400 --> 00:08:14.700]  當你聽到的時候
[00:08:14.700 --> 00:08:16.800]  你的反應是如何的
[00:08:16.800 --> 00:08:19.600]  除了你看著台上
[00:08:19.600 --> 00:08:21.800]  講道的講員
[00:08:21.800 --> 00:08:24.000]  或者他的風格
[00:08:24.000 --> 00:08:25.500]  他的狀況
[00:08:25.500 --> 00:08:28.000]  你欣不欣賞之外
[00:08:28.000 --> 00:08:30.900]  其實在台上講神的話
[00:08:30.900 --> 00:08:32.500]  總是應該有一些東西
[00:08:32.500 --> 00:08:35.000]  能夠打進你的心靈裡面
[00:08:35.000 --> 00:08:37.600]  去給你生命的一些刺激
[00:08:37.600 --> 00:08:38.600]  但如果不是
[00:08:38.600 --> 00:08:40.600]  你聽到的時候
[00:08:40.600 --> 00:08:43.600]  十次有八次你都睡了
[00:08:43.600 --> 00:08:45.600]  那你可能要查一查
[00:08:45.600 --> 00:08:48.400]  究竟你是不是之前那晚很晚睡
[00:08:48.400 --> 00:08:50.400]  還是你長期睡不夠
[00:08:50.400 --> 00:08:52.100]  還是你身體出問題
[00:08:52.100 --> 00:08:54.900]  還是你靈裡面出問題
[00:08:54.900 --> 00:08:56.300]  頂姐妹
[00:08:56.300 --> 00:08:58.800]  我們應該要久不久
[00:08:58.800 --> 00:09:00.300]  甚至是常常
[00:09:00.300 --> 00:09:01.900]  做一做這個
[00:09:01.900 --> 00:09:03.800]  屬靈生命的檢視
[00:09:03.800 --> 00:09:06.100]  讓我們知道我們的狀況
[00:09:06.100 --> 00:09:08.100]  是好還是不好
[00:09:08.100 --> 00:09:10.600]  有時候你自己都未必看到的
[00:09:10.600 --> 00:09:12.200]  你有時候未必自己看到的
[00:09:12.200 --> 00:09:14.100]  但你呼求神
[00:09:14.100 --> 00:09:16.500]  聖靈去啟示你
[00:09:16.500 --> 00:09:18.200]  你可能有機會
[00:09:18.200 --> 00:09:20.500]  你會聽到神對你說的話
[00:09:20.500 --> 00:09:21.900]  你去問一下你的目者
[00:09:21.900 --> 00:09:23.000]  你的組長
[00:09:23.000 --> 00:09:24.000]  你的弟兄姊妹
[00:09:24.000 --> 00:09:25.900]  可能他都會觀察到一些東西
[00:09:25.900 --> 00:09:27.500]  他會告訴你
[00:09:27.500 --> 00:09:28.500]  所以弟兄姊妹
[00:09:28.500 --> 00:09:30.300]  第一件事我想鼓勵你的
[00:09:30.300 --> 00:09:31.500]  很重要
[00:09:31.500 --> 00:09:33.500]  對我們的屬靈生命很重要
[00:09:33.500 --> 00:09:35.800]  就是你經常應該做一個
[00:09:35.800 --> 00:09:39.800]  屬靈的身體檢查
[00:09:39.800 --> 00:09:41.700]  是定期的檢查
[00:09:41.700 --> 00:09:43.600]  讓你知道你的狀況如何
[00:09:43.600 --> 00:09:46.100]  如果我們做了這些
[00:09:46.100 --> 00:09:47.300]  屬靈的檢查
[00:09:47.300 --> 00:09:49.100]  我們發現我們生命裡面有些東西
[00:09:49.100 --> 00:09:50.500]  是被仇敵
[00:09:50.500 --> 00:09:54.100]  被一些仇敵的作為
[00:09:54.100 --> 00:09:55.900]  去核制住
[00:09:55.900 --> 00:09:56.800]  去捆鎖住
[00:09:56.800 --> 00:09:58.300]  究竟我們的出路在哪裡
[00:09:58.300 --> 00:09:59.900]  今天我想透過一段經文
[00:09:59.900 --> 00:10:00.700]  跟大家看看
[00:10:00.700 --> 00:10:05.000]  其實我們可以怎樣掙脫這些捆綁
[00:10:05.000 --> 00:10:07.700]  我們一起看《路教福音》
[00:10:07.700 --> 00:10:10.700]  第十三章
[00:10:10.700 --> 00:10:19.500]  十至到十七節
[00:10:19.500 --> 00:10:24.200]  我專門請AV team這樣擺的
[00:10:24.200 --> 00:10:25.200]  擺兩邊的
[00:10:25.200 --> 00:10:28.500]  我這個人站著就不會遮住大家
[00:10:28.500 --> 00:10:32.600]  這樣好一點
[00:10:32.600 --> 00:10:34.500]  我們既然沒有遮住大家
[00:10:34.500 --> 00:10:36.400]  我們就一起讀這段經文
[00:10:36.400 --> 00:10:37.900]  八節的經文一起讀完
[00:10:37.900 --> 00:10:39.100]  預備一二起
[00:10:39.100 --> 00:11:09.000]  (八節經文)
[00:11:09.000 --> 00:11:36.200]  (八節經文)
[00:11:36.200 --> 00:11:45.300]  (八節經文)
[00:11:45.300 --> 00:11:46.800]  好 謝謝
[00:11:46.800 --> 00:11:49.200]  如果你看這段經文
[00:11:49.200 --> 00:11:52.400]  你會看到這個女人發生什麼事
[00:11:52.400 --> 00:11:54.100]  這個女人
[00:11:54.100 --> 00:12:00.100]  聖經形容她是患病
[00:12:00.100 --> 00:12:02.900]  病到一個什麼地步呢
[00:12:02.900 --> 00:12:03.900]  很嚴重
[00:12:03.900 --> 00:12:09.600]  她的腰是一點都不能夠直起來
[00:12:09.600 --> 00:12:11.900]  為了加深大家的了解
[00:12:11.900 --> 00:12:14.300]  我現在想邀請大家做一個動作
[00:12:14.300 --> 00:12:16.500]  請你現在嘗試
[00:12:16.500 --> 00:12:25.100]  把你的額頭貼在你的大腿上
[00:12:25.100 --> 00:12:26.400]  如果你做不到
[00:12:26.400 --> 00:12:35.500]  基本上可能你的腰也有些問題
[00:12:35.500 --> 00:12:36.300]  如果你做不到
