
[00:00:00.000 --> 00:00:04.580]  今日有個題目,快樂上歌唱是普及的題目
[00:00:04.580 --> 00:00:06.940]  如果詩意一點的題目就是
[00:00:06.940 --> 00:00:09.720]  詩樂天穩,心歡欣
[00:00:09.720 --> 00:00:13.960]  你看這幅圖,右下角耶穌是跳舞的
[00:00:13.960 --> 00:00:16.840]  我相信加拿大婚宴他也會跳舞
[00:00:16.840 --> 00:00:20.400]  左邊的耶穌是很開心地在笑
[00:00:20.400 --> 00:00:22.400]  因為通常我們藝術的表達
[00:00:22.400 --> 00:00:23.900]  特別是西方的藝術
[00:00:23.900 --> 00:00:26.400]  耶穌都是很悲慘,很悲痛
[00:00:26.400 --> 00:00:28.160]  為人類的苦難
[00:00:28.160 --> 00:00:31.160]  但其實耶穌也很開心
[00:00:31.160 --> 00:00:35.440]  我以前看過一齣中國電影叫《邊走邊唱》
[00:00:35.440 --> 00:00:40.360]  是講述人可以拿著琴到處流浪唱歌
[00:00:40.360 --> 00:00:42.840]  我總覺得很浪漫
[00:00:42.840 --> 00:00:45.640]  結果有一次真實的遇到
[00:00:45.640 --> 00:00:47.800]  就是在希臘的小島
[00:00:47.800 --> 00:00:51.000]  那裡藍天碧海,非常美麗
[00:00:51.000 --> 00:00:54.560]  我們去到約翰的拔摩島
[00:00:54.560 --> 00:00:57.160]  拔摩島是一個很美麗的小島
[00:00:57.160 --> 00:00:59.960]  山上有一個叫約翰的洞穴
[00:00:59.960 --> 00:01:03.760]  現在建了修道院,就是我們右邊的那幅圖
[00:01:03.760 --> 00:01:06.560]  而在裡面的洞穴
[00:01:06.560 --> 00:01:08.560]  你看見有一個小教堂
[00:01:08.560 --> 00:01:12.360]  中間有一個位置是約翰在那裡祈禱的
[00:01:12.360 --> 00:01:14.760]  而當他在那裡祈禱的時候
[00:01:14.760 --> 00:01:16.960]  他聽到後面的聲音呼召
[00:01:16.960 --> 00:01:21.960]  他回頭看到他很渴望再見的耶穌基督
[00:01:21.960 --> 00:01:24.760]  當年他親眼看著他釘十字架死
[00:01:24.760 --> 00:01:27.560]  又看著他復活之後升天
[00:01:27.560 --> 00:01:32.960]  經過很多他們門徒去傳福音發展的艱難
[00:01:32.960 --> 00:01:35.960]  很多他的好朋友都死了
[00:01:35.960 --> 00:01:37.960]  耶穌你何時回來?
[00:01:37.960 --> 00:01:39.960]  他轉眼間看到耶穌
[00:01:39.960 --> 00:01:43.160]  於是得到啟示寫下啟示錄
[00:01:43.160 --> 00:01:45.960]  拔摩島是一個很清風徐來
[00:01:45.960 --> 00:01:47.560]  很美麗的小島
[00:01:47.560 --> 00:01:50.960]  我們知道山頂有一個修道院
[00:01:50.960 --> 00:01:52.960]  我們想找一個修道院主教
[00:01:52.960 --> 00:01:56.960]  當時他和創世電視影音使團
[00:01:56.960 --> 00:01:59.560]  拍攝一套啟示錄的特輯
[00:01:59.560 --> 00:02:03.160]  希望拍攝到修道院裏面的珍藏古物
[00:02:03.160 --> 00:02:06.160]  一些古老的東西
[00:02:06.160 --> 00:02:09.360]  而我們想想主教究竟是怎樣
[00:02:09.360 --> 00:02:14.160]  通常都是有素的東正教修士
[00:02:14.160 --> 00:02:17.560]  但發現很多有素的人都不知道誰是主教
[00:02:17.560 --> 00:02:21.360]  其實都有很多隱世修道的高人
[00:02:21.360 --> 00:02:23.960]  去到東歐都會看到
