
[00:00:00.000 --> 00:00:05.000]  上次跟大家講了《新命記》一至三章
[00:00:05.000 --> 00:00:09.000]  講了很多猶太人、以色列人的歷史
[00:00:09.000 --> 00:00:13.000]  我們說從以色列人的歷史或過去
[00:00:13.000 --> 00:00:18.000]  可以幫助我們檢討過去、展望將來
[00:00:18.000 --> 00:00:23.000]  今天是講《新命記》的四章和五章
[00:00:23.000 --> 00:00:25.000]  從神的話語當中
[00:00:25.000 --> 00:00:29.000]  我們能夠認識我們所敬拜的這位真神
[00:00:29.000 --> 00:00:33.000]  今天的大綱其實很簡單
[00:00:33.000 --> 00:00:36.000]  有五點我們一起來看
[00:00:36.000 --> 00:00:39.000]  第一點就是我們敬拜這位神
[00:00:39.000 --> 00:00:41.000]  祂是絕對有主權的神
[00:00:41.000 --> 00:00:44.000]  我們是需要聽祂的話
[00:00:44.000 --> 00:00:47.000]  第二點祂是獨一的神
[00:00:47.000 --> 00:00:50.000]  我們單要敬拜祂
[00:00:50.000 --> 00:00:53.000]  第三點祂是智慧的神
[00:00:53.000 --> 00:00:56.000]  我們需要學習祂的智慧
[00:00:56.000 --> 00:01:00.000]  第四點祂是守約的神
[00:01:00.000 --> 00:01:03.000]  我們需要敬愛祂
[00:01:03.000 --> 00:01:06.000]  第五點祂是公義的神
[00:01:06.000 --> 00:01:09.000]  所以我們要服從祂
[00:01:09.000 --> 00:01:11.000]  我們一起來看看第一點
[00:01:11.000 --> 00:01:15.000]  祂是主權的神
[00:01:15.000 --> 00:01:18.000]  在約翰福音四章四十二節
[00:01:18.000 --> 00:01:20.000]  經文告訴我們
[00:01:20.000 --> 00:01:21.000]  神是靈
[00:01:21.000 --> 00:01:25.000]  所以我們需要以心靈誠實來敬拜祂
[00:01:25.000 --> 00:01:27.000]  很多時候我們都會說
[00:01:27.000 --> 00:01:31.000]  我們敬拜神要用心靈誠實
[00:01:31.000 --> 00:01:34.000]  Abraham Joshua Heschel
[00:01:34.000 --> 00:01:36.000]  他是一個猶太人的學者
[00:01:36.000 --> 00:01:38.000]  他說要信神
[00:01:38.000 --> 00:01:42.000]  我們需要認識這位是靈的神
[00:01:42.000 --> 00:01:45.000]  和認識祂的話語
[00:01:45.000 --> 00:01:47.000]  因為我們相信神是靈
[00:01:47.000 --> 00:01:48.000]  我們看不到
[00:01:48.000 --> 00:01:51.000]  見不到祂 摸不到祂
[00:01:51.000 --> 00:01:53.000]  我們唯一能夠認識祂的
[00:01:53.000 --> 00:01:54.000]  就是透過祂的話語
[00:01:54.000 --> 00:01:56.000]  我們能夠認識
[00:01:56.000 --> 00:01:58.000]  這也是為什麼
[00:01:58.000 --> 00:02:01.000]  保羅在羅馬書十章十四節
[00:02:01.000 --> 00:02:04.000]  未曾聽見他怎能信他呢
[00:02:04.000 --> 00:02:07.000]  沒有傳道的怎能聽見呢
[00:02:07.000 --> 00:02:11.000]  我們要有人將神的話語傳開去
[00:02:11.000 --> 00:02:13.000]  讓我們知道
