
[00:00:00.000 --> 00:00:01.140]  多謝大家的邀請
[00:00:01.140 --> 00:00:01.800]  多謝
[00:00:01.800 --> 00:00:05.280]  其實是 Donald 安排
[00:00:05.280 --> 00:00:06.880]  我去年禮過一字
[00:00:06.880 --> 00:00:08.420]  可能當初有些人在
[00:00:08.420 --> 00:00:09.820]  可能大家記得
[00:00:09.820 --> 00:00:13.680]  我去年也是講過一個女人的故事
[00:00:13.680 --> 00:00:14.720]  當時講這個
[00:00:14.720 --> 00:00:19.800]  翠里菲林基族的婦女的故事
[00:00:19.800 --> 00:00:22.260]  今天我也講一個婦女的故事
[00:00:22.260 --> 00:00:24.160]  就是 Hannah
[00:00:24.160 --> 00:00:26.200]  我們聽到之前
[00:00:26.200 --> 00:00:27.400]  我們有一個禱告
[00:00:30.140 --> 00:00:31.160]  天父上帝
[00:00:31.160 --> 00:00:36.200]  多謝你呼召我們進來你的聖殿
[00:00:36.200 --> 00:00:37.240]  求主
[00:00:37.240 --> 00:00:40.000]  當我們聆聽上帝的話語
[00:00:40.000 --> 00:00:42.080]  求主你給我們一個安靜的心
[00:00:42.080 --> 00:00:44.320]  願你的話語住在我們的心裡面
[00:00:44.320 --> 00:00:46.080]  塑造我們的生命
[00:00:46.080 --> 00:00:51.980]  塑造我們的思想
[00:00:51.980 --> 00:00:54.020]  塑造我們的心
[00:00:54.020 --> 00:00:56.120]  也求主使用你的僕人
[00:00:56.120 --> 00:00:57.920]  講出從你而來的信息
[00:00:57.920 --> 00:00:59.020]  多謝上主
[00:00:59.020 --> 00:01:01.160]  聽我們的禱告奉耶穌基督的名
[00:01:01.160 --> 00:01:03.200]  阿們
[00:01:03.200 --> 00:01:04.300]  我想問大家
[00:01:04.300 --> 00:01:07.160]  有沒有試過被攻擊
[00:01:07.160 --> 00:01:09.000]  我相信大家都試過
[00:01:09.000 --> 00:01:10.600]  可能是大攻擊
[00:01:10.600 --> 00:01:12.300]  或者是簡單的
[00:01:12.300 --> 00:01:14.540]  小小的攻擊
[00:01:14.540 --> 00:01:17.440]  不知道有沒有試過在聖殿
[00:01:17.440 --> 00:01:18.520]  在教會裡面
[00:01:18.520 --> 00:01:19.980]  在教堂裡面
[00:01:19.980 --> 00:01:23.020]  這樣被攻擊
[00:01:23.020 --> 00:01:25.460]  就可能你禱告
[00:01:25.460 --> 00:01:28.620]  或者你可能開聲禱告
[00:01:28.620 --> 00:01:30.620]  或者心裡面禱告
[00:01:30.620 --> 00:01:34.620]  或者你的嘴唇有一點點的動
[00:01:34.620 --> 00:01:36.100]  有沒有試過
[00:01:36.100 --> 00:01:38.000]  我相信反而未必是
[00:01:38.000 --> 00:01:40.100]  但是多數都會很尊重
[00:01:40.100 --> 00:01:41.400]  但是可能是你也試過
[00:01:41.400 --> 00:01:45.600]  因為你的信仰的緣故被攻擊
[00:01:45.600 --> 00:01:48.680]  無論經歷到什麼樣的攻擊
[00:01:48.680 --> 00:01:50.580]  我想大家都試過
[00:01:50.580 --> 00:01:52.540]  在今天的故事裡面
[00:01:52.540 --> 00:01:57.820]  被攻擊也是一個很痛苦的經驗
[00:01:57.820 --> 00:02:04.020]  哈娜這個主角就是會經歷到的
[00:02:04.020 --> 00:02:07.660]  在有些可能比較保守的教會裡面
[00:02:07.660 --> 00:02:08.960]  都因為你的行為
[00:02:08.960 --> 00:02:12.060]  或者你因為你的靈性的行為
[00:02:12.060 --> 00:02:14.660]  都有機會會受到攻擊
[00:02:14.660 --> 00:02:16.440]  今天的故事其實
[00:02:16.440 --> 00:02:17.840]  如果你們留心聽
[00:02:17.840 --> 00:02:19.040]  你們可能會發覺到
[00:02:19.040 --> 00:02:21.380]  其實這個故事可以是
[00:02:21.380 --> 00:02:22.440]  沒多久的
[00:02:22.440 --> 00:02:25.540]  是我們自己的處境裡面發生的
[00:02:25.540 --> 00:02:28.020]  可能早一代兩代
[00:02:28.020 --> 00:02:30.780]  可能你們的祖先
[00:02:30.780 --> 00:02:33.020]  無論在香港或者在內地
[00:02:33.020 --> 00:02:37.460]  都會有機會有多過一個妻子
[00:02:37.460 --> 00:02:42.200]  可能你們的媽媽或者阿嬤
[00:02:42.200 --> 00:02:45.500]  或者在此前的婦女
[00:02:45.500 --> 00:02:47.740]  你們家族裡面的婦女
[00:02:47.740 --> 00:02:50.840]  會有經歷到相同的情況
[00:02:50.840 --> 00:02:56.440]  就要接受老公有多過一個妻子
[00:02:56.440 --> 00:03:01.840]  也都要跟另一個婦女一起生活
[00:03:01.840 --> 00:03:04.020]  經歷到之間的張力
[00:03:04.020 --> 00:03:07.260]  經歷到之間的競爭
[00:03:07.260 --> 00:03:10.720]  經歷到一切的痛苦
[00:03:10.720 --> 00:03:12.760]  對方有 自己也有
[00:03:12.760 --> 00:03:19.300]  這個故事其實不是一個很離遠的故事
[00:03:19.300 --> 00:03:21.300]  但是這個故事不只是講痛苦
[00:03:21.300 --> 00:03:23.640]  也都會講一個新的開始
[00:03:23.640 --> 00:03:28.840]  講一個 講伊治的一個故事
[00:03:28.840 --> 00:03:33.940]  我就欣賞聖經裡面講的故事是
[00:03:33.940 --> 00:03:36.440]  不只是講一些很離遠的東西
[00:03:36.440 --> 00:03:38.280]  也都不是講一些
[00:03:38.280 --> 00:03:41.580]  很有社會地位的人的故事
[00:03:41.580 --> 00:03:45.420]  而是真是講一些好像街坊的故事
[00:03:45.420 --> 00:03:47.660]  是街坊的經驗
[00:03:47.660 --> 00:03:53.000]  所以聖經裡面在一些古典的作品當中
[00:03:53.000 --> 00:03:55.340]  在一個很寶貴的地方就是
[00:03:55.340 --> 00:03:57.500]  我們透過聖經可以認識到
[00:03:57.500 --> 00:04:00.740]  普通的人的生活的情況
[00:04:00.740 --> 00:04:02.740]  他們的感受 他們的掙扎
[00:04:02.740 --> 00:04:06.080]  他們的痛苦 他們的盼望
[00:04:06.080 --> 00:04:07.920]  無論是新約的聖經
[00:04:07.920 --> 00:04:10.920]  或者更加是舊約聖經
[00:04:10.920 --> 00:04:13.520]  我就想當中這個故事裡面
[00:04:13.520 --> 00:04:14.920]  有寫一個主要的人物
[00:04:14.920 --> 00:04:17.160]  我想介紹四個
[00:04:17.160 --> 00:04:18.660]  我想跟男人開始
[00:04:18.660 --> 00:04:21.200]  因為男人平時比較簡單
[00:04:21.200 --> 00:04:22.900]  不知道是不是
[00:04:22.900 --> 00:04:25.300]  第一個就是伊利加納
[00:04:25.300 --> 00:04:26.960]  我們在這裡看得到
[00:04:26.960 --> 00:04:31.800]  伊利加納可以說是整個故事的根本
[00:04:31.800 --> 00:04:32.800]  是由他開始
[00:04:32.800 --> 00:04:34.940]  因為他有兩個妻子
[00:04:34.940 --> 00:04:37.740]  在一個富權的社會裡面
[00:04:37.740 --> 00:04:41.680]  我們其實經常會遇見這樣的情況
[00:04:41.680 --> 00:04:44.280]  不是一個道德的問題
[00:04:44.280 --> 00:04:48.280]  而是如果你可以負擔
[00:04:48.280 --> 00:04:51.420]  如果你可以有兩個妻子
