
[00:00:00.000 --> 00:00:02.000]  第一次會平安
[00:00:02.000 --> 00:00:04.000]  一齊低頭祈禱
[00:00:04.000 --> 00:00:06.000]  我們感謝祢的恩典
[00:00:06.000 --> 00:00:08.000]  以便我們有主日的清晨
[00:00:08.000 --> 00:00:10.000]  可以一齊敬拜祢
[00:00:10.000 --> 00:00:12.000]  雖然我們不能有實體崇拜
[00:00:12.000 --> 00:00:14.000]  但藉著現代的科技
[00:00:14.000 --> 00:00:16.000]  我們都可以在網上
[00:00:16.000 --> 00:00:18.000]  一齊來敬拜
[00:00:18.000 --> 00:00:20.000]  一齊思想了華
[00:00:20.000 --> 00:00:22.000]  我們求聖靈繼續保守我們
[00:00:22.000 --> 00:00:24.000]  以便我們有出人意外的平安
[00:00:24.000 --> 00:00:26.000]  以便我們有從聖靈而來的思想
[00:00:26.000 --> 00:00:28.000]  以便我們有從聖靈而來的思想
[00:00:28.000 --> 00:00:30.000]  智慧
[00:00:30.000 --> 00:00:32.000]  明白祢的說話
[00:00:32.000 --> 00:00:34.000]  並且願意緊守
[00:00:34.000 --> 00:00:36.000]  遵行祢的話
[00:00:36.000 --> 00:00:38.000]  奉主耶穌基督的名祈禱
[00:00:38.000 --> 00:00:40.000]  阿門
[00:00:40.000 --> 00:00:42.000]  我們今天
[00:00:42.000 --> 00:00:44.000]  繼續看若拿書
[00:00:44.000 --> 00:00:46.000]  來到第三章
[00:00:46.000 --> 00:00:48.000]  讓我簡單講講
[00:00:48.000 --> 00:00:50.000]  前面兩章的記載
[00:00:50.000 --> 00:00:52.000]  第一章
[00:00:52.000 --> 00:00:54.000]  我們看到若拿
[00:00:54.000 --> 00:00:56.000]  先知收到上帝的吩咐
[00:00:56.000 --> 00:00:58.000]  要他去
[00:00:58.000 --> 00:01:00.000]  尼尼眉那裡傳道
[00:01:00.000 --> 00:01:02.000]  但他不願意去
[00:01:02.000 --> 00:01:04.000]  並且他更加想
[00:01:04.000 --> 00:01:06.000]  要躲避耶和華
[00:01:06.000 --> 00:01:08.000]  上帝要他
[00:01:08.000 --> 00:01:10.000]  去東邊
[00:01:10.000 --> 00:01:12.000]  他跑去西邊
[00:01:12.000 --> 00:01:14.000]  去東邊
[00:01:14.000 --> 00:01:16.000]  是要走陸路的
[00:01:16.000 --> 00:01:18.000]  他就選擇要坐船
[00:01:18.000 --> 00:01:20.000]  走海路
[00:01:20.000 --> 00:01:22.000]  去躲避上帝
[00:01:22.000 --> 00:01:24.000]  於是他的人生
