
[00:00:00.000 --> 00:00:03.740]  今年是2018年
[00:00:03.740 --> 00:00:06.760]  亦是新的一年的開始
[00:00:06.760 --> 00:00:09.160]  我不知道大家有沒有想過
[00:00:09.160 --> 00:00:10.760]  在新一年
[00:00:10.760 --> 00:00:13.360]  你想做些甚麼呢?
[00:00:13.360 --> 00:00:16.560]  你最想做些甚麼呢?
[00:00:16.560 --> 00:00:20.360]  可能對於不同的人有不同的答案
[00:00:20.360 --> 00:00:21.560]  問十個
[00:00:21.560 --> 00:00:25.760]  可能都有很多不同的回覆
[00:00:25.760 --> 00:00:27.260]  如果你問我
[00:00:27.260 --> 00:00:29.760]  我會怎樣答覆你呢?
[00:00:29.760 --> 00:00:31.260]  如果你問我的話
[00:00:31.260 --> 00:00:33.760]  我就會講到在新的一年
[00:00:33.760 --> 00:00:36.760]  我很想做新的事
[00:00:36.760 --> 00:00:38.760]  新的事
[00:00:38.760 --> 00:00:41.760]  為甚麼要做新的事呢?
[00:00:41.760 --> 00:00:43.760]  因為對我來說
[00:00:43.760 --> 00:00:45.760]  新是美好的
[00:00:45.760 --> 00:00:47.760]  我不知道你們是否同意
[00:00:47.760 --> 00:00:50.760]  新是代表了有盼望
[00:00:50.760 --> 00:00:52.760]  新是代表了有前景
[00:00:52.760 --> 00:00:56.760]  新是代表了有發展
[00:00:56.760 --> 00:01:00.760]  新是代表了向高處行等等
[00:01:00.760 --> 00:01:04.760]  所以我很喜歡新這個表達
[00:01:04.760 --> 00:01:06.760]  所以你問我的話
[00:01:06.760 --> 00:01:09.760]  在新的一年想做甚麼事
[00:01:09.760 --> 00:01:11.760]  我會回答的是
[00:01:11.760 --> 00:01:13.760]  新的事
[00:01:13.760 --> 00:01:15.760]  弟兄姊妹你知不知道
[00:01:15.760 --> 00:01:17.760]  其實我們今天來到所敬拜
[00:01:17.760 --> 00:01:21.760]  所尊崇的神都很喜歡新的
[00:01:21.760 --> 00:01:25.760]  起初神創造天地
[00:01:25.760 --> 00:01:26.760]  Creation
[00:01:26.760 --> 00:01:29.760]  Create這個字就是新
[00:01:29.760 --> 00:01:32.760]  創天造地從無到有
[00:01:32.760 --> 00:01:34.760]  是新的事
[00:01:34.760 --> 00:01:37.760]  當歷史的終局要結束
[00:01:37.760 --> 00:01:39.760]  人類歷史要走到末期
[00:01:39.760 --> 00:01:42.760]  聖經告訴我們是甚麼呢?
[00:01:42.760 --> 00:01:45.760]  將來是新天新地
[00:01:45.760 --> 00:01:47.760]  是新的
[00:01:47.760 --> 00:01:50.760]  而神亦都差遣耶穌基督來到世上
[00:01:50.760 --> 00:01:52.760]  為我們擔當罪孽
[00:01:52.760 --> 00:01:54.760]  寫在十字架上
[00:01:54.760 --> 00:01:59.760]  耶穌就有新的生命
