
[00:00:00.000 --> 00:00:02.500]  非常難得,聖誕節的時候
[00:00:02.500 --> 00:00:05.000]  有機會跟大家恭祝聖誕
[00:00:05.000 --> 00:00:07.700]  一起享受聖誕的歡樂
[00:00:07.700 --> 00:00:11.700]  並且一起在聖誕的崇拜當中
[00:00:11.700 --> 00:00:13.700]  大家思想
[00:00:13.700 --> 00:00:16.800]  聖經裡面提到
[00:00:16.800 --> 00:00:18.800]  在聖誕節
[00:00:18.800 --> 00:00:21.700]  是有三首頌歌的
[00:00:21.700 --> 00:00:23.400]  不知道你知不知道
[00:00:23.400 --> 00:00:25.700]  如果你有時候
[00:00:25.700 --> 00:00:28.900]  你不妨打開盧伽夫音看一看
[00:00:28.900 --> 00:00:33.300]  你會發現這三首頌歌都非常美麗
[00:00:33.300 --> 00:00:36.300]  第一首頌歌就是今天我要講的
[00:00:36.300 --> 00:00:37.300]  尊主頌
[00:00:37.300 --> 00:00:40.300]  就是瑪利亞
[00:00:40.300 --> 00:00:44.300]  當她得到神的呼召
[00:00:44.300 --> 00:00:47.300]  天使對她報信
[00:00:47.300 --> 00:00:50.300]  然後她講出一番話
[00:00:50.300 --> 00:00:53.300]  這番話是非常奇妙的
[00:00:53.300 --> 00:00:56.300]  一個平凡的女子
[00:00:56.300 --> 00:00:58.300]  竟然講出一番這樣的說話
[00:00:58.300 --> 00:01:00.300]  真的不是那麼簡單
[00:01:00.300 --> 00:01:03.300]  第二首的頌歌
[00:01:03.300 --> 00:01:04.300]  你再看下去
[00:01:04.300 --> 00:01:07.300]  盧伽夫音第一章後面那裡
[00:01:07.300 --> 00:01:09.300]  就是撒加利亞頌
[00:01:09.300 --> 00:01:11.300]  撒加利亞頌
[00:01:11.300 --> 00:01:14.300]  大家知道撒加利亞是一個祭司
[00:01:14.300 --> 00:01:16.300]  他年老才有兒子
[00:01:16.300 --> 00:01:17.300]  有新婚兒子
[00:01:17.300 --> 00:01:19.300]  年老得子
[00:01:19.300 --> 00:01:22.300]  他的太太叫伊麗莎白
[00:01:22.300 --> 00:01:25.300]  他的兒子是誰?知道嗎?
[00:01:25.300 --> 00:01:26.300]  知道嗎?
[00:01:26.300 --> 00:01:28.300]  施洗若按
[00:01:28.300 --> 00:01:33.300]  可以說是一個很難得的機會
[00:01:33.300 --> 00:01:36.300]  但是他講出一番說話
[00:01:36.300 --> 00:01:38.300]  又是非常感人
[00:01:38.300 --> 00:01:41.300]  將聖誕節的重點
[00:01:41.300 --> 00:01:43.300]  一句說話就講出來了
[00:01:43.300 --> 00:01:45.300]  非常精彩
[00:01:45.300 --> 00:01:47.300]  當然第三首頌歌
[00:01:47.300 --> 00:01:49.300]  大家都很熟悉的
[00:01:49.300 --> 00:01:52.300]  就是在百里行的曠野
[00:01:52.300 --> 00:01:54.300]  天使的報喜
[00:01:54.300 --> 00:01:56.300]  在至高之處榮耀上帝
[00:01:56.300 --> 00:01:58.300]  在地上的平安
[00:01:58.300 --> 00:02:00.300]  歸他所喜悅的人
[00:02:00.300 --> 00:02:02.300]  這三首頌歌
[00:02:02.300 --> 00:02:05.300]  都在我們的教會當中
[00:02:05.300 --> 00:02:07.300]  是非常重視的
[00:02:07.300 --> 00:02:10.300]  但是很多時候我們忽略了
[00:02:10.300 --> 00:02:15.300]  我們只顧著讀盧伽夫音第二章
[00:02:15.300 --> 00:02:17.300]  百里行的曠野
[00:02:17.300 --> 00:02:19.300]  在野地裡有牧羊的人
[00:02:19.300 --> 00:02:21.300]  看守羊群
[00:02:21.300 --> 00:02:23.300]  但是忘記了這兩首頌歌
[00:02:23.300 --> 00:02:26.300]  今天我只跟大家講一首
[00:02:26.300 --> 00:02:28.300]  因為沒時間講兩首
[00:02:28.300 --> 00:02:31.300]  這首頌歌叫專主頌
[00:02:31.300 --> 00:02:33.300]  在我講之前
[00:02:33.300 --> 00:02:36.300]  我要給大家知道一下背景
[00:02:36.300 --> 00:02:39.300]  大家都知道耶穌出生之前
[00:02:39.300 --> 00:02:43.300]  有一個義人
[00:02:43.300 --> 00:02:46.300]  這個義人叫做撒加尼亞
[00:02:46.300 --> 00:02:49.300]  他的太太也是蒙神的喜悅
[00:02:49.300 --> 00:02:54.300]  但是他們兩個年老都沒有子女
[00:02:54.300 --> 00:02:59.300]  可以說覺得很空虛
[00:02:59.300 --> 00:03:03.300]  以前的人沒有子女
[00:03:03.300 --> 00:03:05.300]  很容易被人歧視
[00:03:05.300 --> 00:03:07.300]  而且各個社會當中
[00:03:07.300 --> 00:03:11.300]  越多子女越得人家尊敬
[00:03:11.300 --> 00:03:14.300]  一個祭司和他的太太
[00:03:14.300 --> 00:03:17.300]  竟然沒有子女
[00:03:17.300 --> 00:03:21.300]  但是聖靈揀選了他
[00:03:21.300 --> 00:03:22.300]  天使揀選了他
[00:03:22.300 --> 00:03:24.300]  上帝揀選了他
[00:03:24.300 --> 00:03:28.300]  跟他說撒加尼亞
[00:03:28.300 --> 00:03:32.300]  我要你的太太懷孕生子
[00:03:32.300 --> 00:03:33.300]  什麼?
[00:03:33.300 --> 00:03:36.300]  我這麼老了還有?
[00:03:36.300 --> 00:03:42.300]  但是結果他用一個很否定的態度
[00:03:42.300 --> 00:03:47.300]  用一個不太信任的回應
[00:03:47.300 --> 00:03:49.300]  結果他的口啞了
[00:03:49.300 --> 00:03:51.300]  變為啞巴
[00:03:51.300 --> 00:03:53.300]  大家都知道這件事
[00:03:53.300 --> 00:03:54.300]  你讀聖經的時候
[00:03:54.300 --> 00:03:56.300]  這個故事很有趣
[00:03:56.300 --> 00:03:59.300]  但是另外一個女子
[00:03:59.300 --> 00:04:01.300]  有一個平凡的女子
[00:04:01.300 --> 00:04:02.300]  伊麗莎白
[00:04:02.300 --> 00:04:05.300]  另外一個女子就是瑪利亞
[00:04:05.300 --> 00:04:07.300]  他們兩個都很熟悉
[00:04:07.300 --> 00:04:11.300]  瑪利亞竟然又接到天使的報信
[00:04:11.300 --> 00:04:14.300]  你要懷孕生子
[00:04:14.300 --> 00:04:17.300]  起名叫爾瑪萊尼
[00:04:17.300 --> 00:04:19.300]  在這個時候
[00:04:19.300 --> 00:04:22.300]  老實說一個未婚的女子
[00:04:22.300 --> 00:04:23.300]  竟然間接到這些信
[00:04:23.300 --> 00:04:25.300]  真的不是容易的
