
[00:00:00.000 --> 00:00:07.600]  好 今天我們會繼續看一個很重要的戰爭的轉捩點
[00:00:07.600 --> 00:00:09.600]  如果我們一直有參加《茶驚》的時候
[00:00:09.600 --> 00:00:12.600]  上兩次我們看到「逆戰」
[00:00:12.600 --> 00:00:15.200]  就是大衛走投無路 沒求問神
[00:00:15.200 --> 00:00:18.400]  然後投靠菲律師王阿吉
[00:00:18.400 --> 00:00:26.100]  他就殺了很多菲律師很有邦交的人
[00:00:26.100 --> 00:00:29.900]  但是他是逆轉了他自己的本性
[00:00:29.900 --> 00:00:33.100]  就是將男女老幼全部殺死
[00:00:33.100 --> 00:00:34.700]  不留一個活口
[00:00:34.700 --> 00:00:37.000]  免得這些人走去報告
[00:00:37.000 --> 00:00:40.900]  告訴阿吉王大衛來搶劫他們
[00:00:40.900 --> 00:00:44.500]  他就說大話 說一些好像無靈兩可的事情
[00:00:44.500 --> 00:00:46.900]  就說殺了猶大那些人
[00:00:46.900 --> 00:00:49.000]  所以阿吉就很信任他了
[00:00:49.000 --> 00:00:50.900]  這個就是「逆戰」
[00:00:50.900 --> 00:00:56.600]  後來就要帶他繼續去打猶大的子民
[00:00:56.600 --> 00:00:59.300]  如果大衛參與這場戰爭的話
[00:00:59.300 --> 00:01:02.600]  肯定就一定不能夠作王的了
[00:01:02.600 --> 00:01:03.600]  那怎麼辦呢?
[00:01:03.600 --> 00:01:05.400]  他真是無路可逃了
[00:01:05.400 --> 00:01:08.700]  但是神就很奇妙地救了他
[00:01:08.700 --> 00:01:12.600]  原來其他四個城邦裡面的領袖
[00:01:12.600 --> 00:01:16.100]  就不肯讓大衛跟隊打仗
[00:01:16.100 --> 00:01:20.600]  是怕他陣前變卦來殺他們
[00:01:20.600 --> 00:01:23.400]  所以很無奈的阿吉要他走
[00:01:23.400 --> 00:01:25.800]  這個就是前兩次的「逆戰」
[00:01:25.800 --> 00:01:29.000]  他們三天路程之後回到自己的地方
[00:01:29.000 --> 00:01:30.200]  洗隔離
[00:01:30.200 --> 00:01:32.000]  但是原來他們沒有留人在那裡
[00:01:32.000 --> 00:01:36.900]  就是看守著那些婦女、孩子和老弱的人
[00:01:36.900 --> 00:01:40.600]  原來被阿瑪利人去洗劫入空
[00:01:40.600 --> 00:01:43.300]  拿走了所有的人和財物
[00:01:43.300 --> 00:01:46.300]  接著他們也都已經非常累之下
[00:01:46.300 --> 00:01:51.400]  再繼續去追尋返失落的人
[00:01:51.400 --> 00:01:53.900]  還打了兩天的戰
[00:01:53.900 --> 00:01:56.100]  所以這場叫「逆戰」
[00:01:56.100 --> 00:01:58.100]  當中有很多很熟練的教導
[00:01:58.100 --> 00:02:00.100]  我們今天詳細不說這些了
[00:02:00.100 --> 00:02:02.800]  如果大家有興趣的話
[00:02:02.800 --> 00:02:04.200]  如果沒有上傳的話
[00:02:04.200 --> 00:02:06.300]  可以上YouTube聽聽
[00:02:06.300 --> 00:02:08.600]  不過如果我們看到
[00:02:08.600 --> 00:02:12.400]  接著我們今天看一場很重要的戰爭
[00:02:12.400 --> 00:02:15.800]  這場的戰爭可以說是歷史的轉捩點
[00:02:15.800 --> 00:02:21.200]  就是大衛因為這場戰爭而可以成王了
[00:02:21.200 --> 00:02:22.200]  為什麼呢?
[00:02:22.200 --> 00:02:27.000]  因為蘇羅在這場戰爭上是戰死沙場
[00:02:27.000 --> 00:02:29.300]  但是如果你留意到
[00:02:29.300 --> 00:02:36.100]  上次是大衛大人去搶回自己的妻子
[00:02:36.100 --> 00:02:40.100]  和下屬的妻子和財物
[00:02:40.100 --> 00:02:42.400]  一場其實是很小的戰爭
[00:02:42.400 --> 00:02:47.000]  但是用了31節的經文去描繪
[00:02:47.000 --> 00:02:49.700]  但是這一場很重要的歷史戰爭
[00:02:49.700 --> 00:02:52.600]  聖經只用了13節去描繪
[00:02:52.600 --> 00:02:55.900]  所以看到聖經的焦點其實放在哪裡
[00:02:55.900 --> 00:02:58.700]  這次焦點是放在大衛的身上
[00:02:58.700 --> 00:02:59.600]  雖然是這樣
[00:02:59.600 --> 00:03:03.800]  但是我們絕對不能夠不看這一場很重要的戰爭
