
[00:00:00.000 --> 00:00:02.000]  各位頂英姊妹
[00:00:02.000 --> 00:00:06.960]  包括沙田之堂、葵福之堂的頂英姊妹平安
[00:00:06.960 --> 00:00:11.800]  本來今天我們應該聚集在尖沙咀總堂
[00:00:11.800 --> 00:00:13.800]  一起參加崇拜
[00:00:13.800 --> 00:00:17.240]  之後我們一起參與會有大會
[00:00:17.240 --> 00:00:19.240]  但由於限聚令
[00:00:19.240 --> 00:00:22.600]  我們沒有辦法實現這個機會
[00:00:22.600 --> 00:00:25.480]  可能我們都會有些失望
[00:00:25.480 --> 00:00:29.320]  我們更加會為都未知幾時完結的疫情
[00:00:29.320 --> 00:00:31.320]  我們心裏都很擔心
[00:00:31.320 --> 00:00:34.720]  很多日常生活、很多計劃
[00:00:34.720 --> 00:00:36.720]  我們都沒有辦法實現
[00:00:36.720 --> 00:00:39.760]  甚至要作出一些改變
[00:00:39.760 --> 00:00:41.760]  頂英姊妹
[00:00:41.760 --> 00:00:43.760]  在這個被迫改變
[00:00:43.760 --> 00:00:46.720]  在一個被迫安靜的時刻
[00:00:46.720 --> 00:00:49.400]  但願我們更多的
[00:00:49.400 --> 00:00:52.160]  去聆聽神給我們的說話
[00:00:52.160 --> 00:00:54.640]  讓我們一起去思想
[00:00:54.640 --> 00:00:59.720]  神今天有什麼託付給我們作為祂的兒女
[00:00:59.720 --> 00:01:01.720]  我們有沒有履行呢?
[00:01:01.720 --> 00:01:06.600]  有什麼是上帝要在這段時間裏面要我們學習呢?
[00:01:06.600 --> 00:01:10.320]  我們先來讀出今天講到的經文
[00:01:10.320 --> 00:01:14.520]  哥倫多前書四章一至五節
[00:01:14.520 --> 00:01:15.840]  我們一起重讀
[00:01:15.840 --> 00:01:20.240]  人應該把我們看為基督的執事
[00:01:20.240 --> 00:01:23.040]  為神奧庇的管家
[00:01:23.040 --> 00:01:27.160]  所求於管家的是要祂忠心
[00:01:27.160 --> 00:01:29.160]  我被你們評斷
[00:01:29.160 --> 00:01:31.160]  或被別人評斷
[00:01:31.160 --> 00:01:33.920]  我都以為是極小的事
[00:01:33.920 --> 00:01:37.240]  連我自己也不評斷自己
[00:01:37.240 --> 00:01:40.160]  雖然我們不覺得自己有錯
[00:01:40.160 --> 00:01:43.760]  卻也不能因此判為無罪
[00:01:43.760 --> 00:01:46.320]  審判我的是主
[00:01:46.320 --> 00:01:48.320]  所以時候未到
[00:01:48.320 --> 00:01:50.320]  在主來以前
[00:01:50.320 --> 00:01:52.320]  什麼都不要評斷
[00:01:52.320 --> 00:01:55.520]  祂要照出暗中的隱情
[00:01:55.520 --> 00:01:58.080]  揭發人的動機
[00:01:58.080 --> 00:02:02.600]  那時各人要從哪裡得著稱讚
[00:02:02.600 --> 00:02:07.080]  我讀出新月本四章一節
[00:02:07.080 --> 00:02:13.640]  這樣人應該把我們看作基督的僕人
[00:02:13.640 --> 00:02:17.400]  神奧庇的是的管家
[00:02:17.400 --> 00:02:21.240]  如果大家留意新月本四章一節開始的時候
[00:02:21.240 --> 00:02:23.240]  多了一個「這」字
[00:02:23.240 --> 00:02:26.520]  也有日本譯做「所以」
[00:02:26.520 --> 00:02:31.640]  換言之四章一節所說的
[00:02:31.640 --> 00:02:35.120]  是和前面有一個連繫的關
[00:02:35.120 --> 00:02:37.120]  有連繫的
[00:02:37.120 --> 00:02:40.640]  實際上哥倫多前書一章十節至三章
[00:02:40.640 --> 00:02:45.560]  保羅是處理當時哥倫多教會
[00:02:45.560 --> 00:02:47.560]  紛爭結黨
[00:02:47.560 --> 00:02:49.920]  分門別類的問題
[00:02:49.920 --> 00:02:53.480]  可以說有些派系的分別
[00:02:53.480 --> 00:02:55.480]  有些說我屬保羅
[00:02:55.480 --> 00:02:57.480]  有些說我屬阿波羅
[00:02:57.480 --> 00:02:59.480]  我屬基法
[00:02:59.480 --> 00:03:01.480]  我屬基督
[00:03:01.480 --> 00:03:03.480]  在一章十二節大家可以看到
[00:03:03.480 --> 00:03:05.480]  讓我想到
[00:03:05.480 --> 00:03:07.480]  在我們中國或者香港
[00:03:07.480 --> 00:03:11.480]  二十世紀初的時候
[00:03:11.480 --> 00:03:14.600]  有幾位我們中國很出名
[00:03:14.600 --> 00:03:17.600]  我們被視為很偉大的傳達人
[00:03:17.600 --> 00:03:22.600]  包括和明道、宋朔哲、倪拓升
[00:03:22.600 --> 00:03:24.600]  這三位很熟悉
[00:03:24.600 --> 00:03:26.600]  可能大家會想
[00:03:26.600 --> 00:03:28.600]  誰最偉大呢?
[00:03:28.600 --> 00:03:31.600]  我是屬於誰的門生呢?
[00:03:31.600 --> 00:03:33.600]  或者我跟過誰呢?
[00:03:33.600 --> 00:03:35.600]  我們可能會無形中有一種對比
[00:03:35.600 --> 00:03:37.600]  分門別類
[00:03:37.600 --> 00:03:41.600]  事實上當時哥倫多這個問題
[00:03:41.600 --> 00:03:43.600]  分黨的情況
[00:03:43.600 --> 00:03:45.600]  分裂的情況是很嚴重
[00:03:45.600 --> 00:03:49.600]  甚至有些人是惡意針對保羅
[00:03:49.600 --> 00:03:51.600]  因為在保羅同期裡面
[00:03:51.600 --> 00:03:54.600]  有一位人叫阿波羅
[00:03:54.600 --> 00:03:56.600]  他也是一個很好的弟兄
[00:03:56.600 --> 00:03:59.600]  神給他有口才
[00:03:59.600 --> 00:04:01.600]  能言善辯
[00:04:01.600 --> 00:04:03.600]  亦都享負盛名
[00:04:03.600 --> 00:04:05.600]  可以說他很有魅力
[00:04:05.600 --> 00:04:06.600]  很吸引的
