
[00:00:00.000 --> 00:00:03.000]  今日的講題是傳波
[00:00:03.000 --> 00:00:07.000]  我相信大部份的頂梓妹都知道甚麼是傳波
[00:00:07.000 --> 00:00:09.000]  你稍為打過一下波
[00:00:09.000 --> 00:00:10.000]  碰過一下波
[00:00:10.000 --> 00:00:13.000]  你都知道甚麼是傳波
[00:00:13.000 --> 00:00:14.000]  踢足球
[00:00:14.000 --> 00:00:16.000]  有沒有人踢過足球
[00:00:16.000 --> 00:00:17.000]  踢足球
[00:00:17.000 --> 00:00:20.000]  你除了就這樣小腳交波之外
[00:00:20.000 --> 00:00:22.000]  你可以大腳傳中
[00:00:22.000 --> 00:00:24.000]  一球就去到中場那裡
[00:00:24.000 --> 00:00:26.000]  打籃球
[00:00:26.000 --> 00:00:28.000]  有快攻傳球
[00:00:28.000 --> 00:00:30.000]  藍二當入樽大家見得多了
[00:00:30.000 --> 00:00:32.000]  最近流行甚麼呢
[00:00:32.000 --> 00:00:36.000]  全民會之後又流行手球
[00:00:36.000 --> 00:00:39.000]  手球有交叉傳球
[00:00:39.000 --> 00:00:42.000]  傳球包括兩個動作
[00:00:42.000 --> 00:00:43.000]  一個是交波
[00:00:43.000 --> 00:00:45.000]  一個是接波
[00:00:45.000 --> 00:00:47.000]  交波是怎樣交波呢
[00:00:47.000 --> 00:00:53.000]  真的交波
[00:00:53.000 --> 00:00:54.000]  不是隨口說的
[00:00:54.000 --> 00:00:55.000]  有沒有人想接波
[00:00:57.000 --> 00:00:59.000]  這麼遠你怎樣扔
[00:00:59.000 --> 00:01:03.000]  近一點我免得獻醜
[00:01:03.000 --> 00:01:07.000]  交波和接波是很重要的
[00:01:07.000 --> 00:01:09.000]  交波要交準
[00:01:09.000 --> 00:01:12.000]  如果交不準應該接不到
[00:01:12.000 --> 00:01:14.000]  萬一落入敵方手
[00:01:14.000 --> 00:01:16.000]  一個快攻就輸了
[00:01:16.000 --> 00:01:17.000]  誰想接
[00:01:17.000 --> 00:01:23.000]  這裡小朋友多
