
[00:00:00.000 --> 00:00:03.180]  主給我的感動是今年的40日
[00:00:03.180 --> 00:00:07.280]  預俘其靈脩是講「我主我神」這個題目
[00:00:07.280 --> 00:00:09.160]  更多認識主耶穌
[00:00:09.160 --> 00:00:12.020]  在40個角度來看祂
[00:00:12.020 --> 00:00:15.960]  今年第19次
[00:00:15.960 --> 00:00:19.160]  就是聖周裏面的第三件事
[00:00:19.160 --> 00:00:20.840]  主耶穌做了一件事
[00:00:20.840 --> 00:00:22.780]  我們可以看到
[00:00:22.780 --> 00:00:24.940]  主很歡喜地做
[00:00:24.940 --> 00:00:27.640]  在聖殿裏面醫病
[00:00:27.640 --> 00:00:30.400]  你知道聖周就是我特別提及的
[00:00:30.400 --> 00:00:31.460]  就是Holy Week
[00:00:31.460 --> 00:00:35.380]  主耶穌在世上最後的一個星期
[00:00:35.380 --> 00:00:37.560]  當然第一件事就是
[00:00:37.560 --> 00:00:40.620]  騎着奴驅子入城
[00:00:40.620 --> 00:00:43.760]  然後他去了聖殿
[00:00:43.760 --> 00:00:46.180]  他並沒有轉頭回家
[00:00:46.180 --> 00:00:51.540]  也沒有轉頭馬上去攻佔希律王宮
[00:00:51.540 --> 00:00:53.940]  我在這裏起義革命
[00:00:53.940 --> 00:00:56.380]  其實他不是這樣的救主
[00:00:56.380 --> 00:00:59.040]  他是救贖主
[00:00:59.040 --> 00:01:03.300]  在贖靈上是給人們違行生命的
[00:01:03.300 --> 00:01:06.260]  他去了潔淨聖殿
[00:01:06.260 --> 00:01:07.900]  回到自己辦公室
[00:01:07.900 --> 00:01:09.640]  就是聖殿了
[00:01:09.640 --> 00:01:12.260]  以父的事爲念
[00:01:12.260 --> 00:01:15.860]  去父親給他的辦公室聖殿
[00:01:15.860 --> 00:01:16.740]  就上班了
[00:01:16.740 --> 00:01:18.540]  哇!烏煙瘴氣
[00:01:18.540 --> 00:01:22.860]  所以他在聖周的第二件事就是潔淨聖殿
[00:01:22.860 --> 00:01:28.120]  或者應該正式說是趕出聖殿裏面做買賣的人
[00:01:28.120 --> 00:01:30.040]  潔淨以爲他在拖地
[00:01:30.040 --> 00:01:30.540]  不是
[00:01:30.540 --> 00:01:32.160]  是趕出做買賣的人
[00:01:32.160 --> 00:01:33.920]  不要在那裏做買賣
[00:01:33.920 --> 00:01:35.660]  然後聖殿變成賊窩
[00:01:35.660 --> 00:01:36.940]  不行
[00:01:36.940 --> 00:01:38.480]  而第三件事
[00:01:38.480 --> 00:01:41.800]  他就在聖殿做診所
[00:01:41.800 --> 00:01:45.400]  將聖殿在聖殿裏面醫病
[00:01:45.400 --> 00:01:47.240]  我們今天來看看這篇聖經
[00:01:47.240 --> 00:01:51.420]  然後我們一起先討告
[00:01:51.420 --> 00:01:53.900]  讚美主耶穌
[00:01:53.900 --> 00:01:55.980]  禰滿有能力
[00:01:55.980 --> 00:01:56.860]  禰醫病
[00:01:56.860 --> 00:01:58.340]  禰趕鬼
[00:01:58.340 --> 00:02:02.520]  禰講天國的信息
[00:02:02.520 --> 00:02:05.420]  講永生的信息
[00:02:05.420 --> 00:02:07.560]  禰是道路真理生命
[00:02:07.560 --> 00:02:08.980]  如果不是靠着禰
[00:02:08.980 --> 00:02:12.720]  沒有一個人能夠輔納禰去
[00:02:12.720 --> 00:02:13.620]  復活在禰
[00:02:13.620 --> 00:02:15.040]  生命也在禰
[00:02:15.040 --> 00:02:16.640]  信禰的人雖然死了
[00:02:16.640 --> 00:02:18.860]  也必復活
[00:02:18.860 --> 00:02:22.200]  禰就是這位屬靈的救主
[00:02:22.200 --> 00:02:26.540]  不單止將永生賞賜給我們
[00:02:26.540 --> 00:02:27.820]  在世界上的時候
[00:02:27.820 --> 00:02:32.940]  見到禰很多次醫好人的病
[00:02:32.940 --> 00:02:35.500]  當有病的時間
[00:02:35.500 --> 00:02:37.300]  很痛苦
[00:02:37.300 --> 00:02:40.100]  日子很漫長
[00:02:40.100 --> 00:02:42.680]  身心都疲乏
[00:02:42.680 --> 00:02:43.700]  何時纔好呢?
[00:02:43.700 --> 00:02:47.540]  特別是一些患疾很長很痛的時候
[00:02:47.540 --> 00:02:50.100]  真是度日如年
[00:02:50.100 --> 00:02:54.960]  但是生命還在
[00:02:54.960 --> 00:02:57.520]  不過比死更難受
[00:02:57.520 --> 00:02:59.300]  主很多時候就是這樣的經歷
[00:02:59.300 --> 00:03:02.380]  不過見到主會將人醫治
[00:03:02.380 --> 00:03:06.480]  禰自己大人的手醫了無數的人
[00:03:06.480 --> 00:03:08.280]  讚美禰
[00:03:08.280 --> 00:03:09.540]  處理在聖殿裏面
[00:03:09.540 --> 00:03:11.220]  在父的殿
[00:03:11.220 --> 00:03:12.260]  在禰的家裏面
[00:03:12.260 --> 00:03:15.960]  禰做的就是將他變成寢所
[00:03:15.960 --> 00:03:20.320]  醫治了當中來求禰醫治的人
[00:03:20.320 --> 00:03:22.360]  讚美主耶穌沒有能力
[00:03:22.360 --> 00:03:26.960]  讚美耶穌沒有一次醫病失敗的經驗
[00:03:26.960 --> 00:03:30.040]  全部禰都是能夠醫治的
[00:03:30.040 --> 00:03:32.080]  讓禰得着永久聖責
[00:03:32.080 --> 00:03:33.120]  我跟隨禰
[00:03:33.120 --> 00:03:33.880]  我敬拜禰
[00:03:33.880 --> 00:03:35.160]  我高舉禰
[00:03:35.160 --> 00:03:37.460]  我尊崇禰
[00:03:37.460 --> 00:03:38.760]  各道權並榮耀
[00:03:38.760 --> 00:03:41.040]  全是禰的直到永遠
[00:03:41.040 --> 00:03:42.320]  阿們
[00:03:42.320 --> 00:03:43.860]  讚美耶穌
[00:03:43.860 --> 00:03:47.700]  我們看看《聖經》
[00:03:47.700 --> 00:03:51.800]  在《馬太夫音》第21章14節
[00:03:51.800 --> 00:03:54.620]  你見到是接着說馬太夫音
[00:03:54.620 --> 00:03:56.920]  就是他在聖殿裏面
[00:03:56.920 --> 00:04:00.760]  聖州里面的妻子大部分時間都在聖殿裏面
[00:04:00.760 --> 00:04:02.800]  晚上就回去
[00:04:02.800 --> 00:04:04.600]  附近的城市
[00:04:04.600 --> 00:04:08.700]  附近的小鎮或者叫伯大利那裏住
[00:04:08.700 --> 00:04:12.780]  白天半小時左右回到聖殿
[00:04:12.780 --> 00:04:17.140]  他們就在那裏講道
[00:04:17.140 --> 00:04:19.180]  21章14節
[00:04:19.180 --> 00:04:23.780]  「在殿裏有殼子
[00:04:23.780 --> 00:04:26.340]  到耶穌跟前
[00:04:26.340 --> 00:04:29.680]  他就治好了他們」
[00:04:29.680 --> 00:04:30.960]  大家留意
[00:04:30.960 --> 00:04:33.780]  這裏說是
[00:04:33.780 --> 00:04:36.840]  「到耶穌跟前」
