
[00:00:00.000 --> 00:00:05.380]  今天是2026年的第一個主日,是吧?
[00:00:05.380 --> 00:00:09.000]  所以可能你今天第一次跟弟兄姊妹們見面,
[00:00:09.000 --> 00:00:18.500]  跟你旁邊說新年快樂。
[00:00:18.500 --> 00:00:21.820]  你是一年快樂嗎?
[00:00:21.820 --> 00:00:23.300]  希望嗎?
[00:00:23.300 --> 00:00:26.700]  不是只有今天快樂,希望什麼呀?
[00:00:26.700 --> 00:00:29.660]  整年都快樂。
[00:00:29.660 --> 00:00:33.020]  那你就需要做一個有意向的人。
[00:00:33.020 --> 00:00:37.840]  跟你旁邊說,你要做一個有意向的人。
[00:00:37.840 --> 00:00:43.220]  還沒開始就已經有音樂伴奏。
[00:00:43.220 --> 00:00:48.540]  《使徒行傳》,剛才我們所讀的26章,
[00:00:48.540 --> 00:00:52.580]  這是保羅,這是《使徒行傳》裡面當中,
[00:00:52.580 --> 00:00:57.820]  保羅講的他自己怎麼樣子信主蒙昭的經驗。
[00:00:57.820 --> 00:01:02.460]  因為我們今天的話來講就是,
[00:01:02.460 --> 00:01:07.980]  這個是他的個人的見證。
[00:01:07.980 --> 00:01:13.980]  整個可以說是《使徒行傳》裡面一共出現了三次,
[00:01:13.980 --> 00:01:17.100]  那麼26章是最後一次。
[00:01:17.100 --> 00:01:19.940]  所以你個人的見證,你怎麼信主的,
[00:01:19.940 --> 00:01:24.500]  你怎麼樣子蒙昭的這些見證,
[00:01:24.500 --> 00:01:26.740]  就像我信主的見證,我蒙昭的見證,
[00:01:26.740 --> 00:01:30.180]  我一生當中不知道講了多少次了。
[00:01:30.180 --> 00:01:34.180]  所以《使徒行傳》三次都在講他的見證。
[00:01:34.180 --> 00:01:35.700]  重不重要?
[00:01:35.700 --> 00:01:38.020]  我們說重要的事要講幾遍?
[00:01:38.020 --> 00:01:40.500]  三遍,所以重不重要?
[00:01:40.500 --> 00:01:41.380]  重要。
[00:01:41.380 --> 00:01:43.260]  聽什麼?
[00:01:43.260 --> 00:01:49.180]  保羅嚴格講起來,他不是一個沒有目標的人。
[00:01:49.180 --> 00:01:52.740]  但是保羅在大馬社的路上面,
[00:01:52.740 --> 00:01:55.380]  遇到一個大光照著他。
[00:01:55.380 --> 00:01:59.380]  請問當時候保羅是要去做什麼事情?
[00:01:59.380 --> 00:02:05.620]  去敘利亞,去旅遊?
[00:02:05.620 --> 00:02:09.220]  沒有,他去做什麼?
[00:02:09.220 --> 00:02:13.620]  他是有目的性的要去抓基督徒,
[00:02:13.620 --> 00:02:16.260]  看到沒有?
[00:02:16.260 --> 00:02:20.380]  可是就在這個時候,一個大光照著他,
[00:02:20.380 --> 00:02:24.020]  怎麼樣?
[00:02:24.020 --> 00:02:27.300]  他聽見有一個聲音告訴他說,
[00:02:27.300 --> 00:02:30.260]  "掃羅,掃羅",他原來的名字叫掃羅,
[00:02:30.260 --> 00:02:34.020]  "你為什麼逼迫我?"
[00:02:34.020 --> 00:02:36.020]  然後他怎麼回答?
[00:02:36.020 --> 00:02:39.780]  他說,"主啊,你是誰?"
[00:02:39.780 --> 00:02:44.020]  那一次在這個大馬社的路上面,
[00:02:44.020 --> 00:02:47.620]  他遇見了一個大光,
[00:02:47.620 --> 00:02:49.620]  他聽見了這個聲音,
[00:02:49.620 --> 00:02:52.100]  從天上來的聲音,這是誰?
[00:02:52.100 --> 00:02:54.820]  請告訴我。
[00:02:54.820 --> 00:02:58.660]  他說,"我就是你所逼迫的耶穌。"
[00:02:58.660 --> 00:03:00.660]  接著我們來看,
[00:03:00.660 --> 00:03:04.660]  接著他就問說,"主啊,我當做什麼呢?"
[00:03:04.660 --> 00:03:09.140]  然後神就拆敗他要到大馬社去,
[00:03:09.140 --> 00:03:15.700]  然後他就亞拿里亞,
[00:03:15.700 --> 00:03:18.100]  當時候他被拆敗去了之後,
[00:03:18.100 --> 00:03:21.860]  然後神說,"我要將一切所告訴你的事情都告訴你。"
[00:03:21.860 --> 00:03:23.860]  接著最後,
[00:03:23.860 --> 00:03:27.620]  他這個地方跟著前面在《使徒行傳》所講的,
[00:03:27.620 --> 00:03:31.380]  後面有一段,這一段只有26章講,
[00:03:31.380 --> 00:03:34.020]  他在雅基帕王的面前,
[00:03:34.020 --> 00:03:36.820]  他就說了這句話,我們一起來讀,好不好?
[00:03:36.820 --> 00:03:46.500]  "雅基帕王啊,我固此沒有違背那從天上來的意象。"
[00:03:46.500 --> 00:03:48.020]  所以保羅在這邊講到說,
[00:03:48.020 --> 00:03:50.740]  他沒有違背那從天上來的什麼東西?
[00:03:50.740 --> 00:03:53.380]  意象。
[00:03:53.380 --> 00:03:57.380]  請問丁子妹,什麼是意象?
[00:03:57.380 --> 00:04:00.340]  今天福音派的教會,
[00:04:00.340 --> 00:04:02.580]  所謂的正統教會,
[00:04:02.580 --> 00:04:04.980]  所謂的基要派的教會,
[00:04:04.980 --> 00:04:06.980]  一聽到意象,
[00:04:06.980 --> 00:04:13.540]  就說你是靈恩派,有沒有?
[00:04:13.540 --> 00:04:17.140]  請問丁子妹,什麼叫意象?
[00:04:17.140 --> 00:04:19.380]  剛才我們唱了首歌,
[00:04:19.380 --> 00:04:22.020]  等一下我要再稍微解釋一下,
[00:04:22.020 --> 00:04:26.740]  他說新的什麼?
[00:04:26.740 --> 00:04:29.700]  新的意象,新的方向。
[00:04:29.700 --> 00:04:35.540]  請丁子妹,什麼叫新的意象?
[00:04:35.540 --> 00:04:38.900]  今天有新的意象,明天再來一個新意象,
[00:04:38.900 --> 00:04:41.300]  後天又新意象,是不是?
[00:04:41.300 --> 00:04:42.900]  這到底是什麼意象?
[00:04:42.900 --> 00:04:47.380]  現在在教會裡面講意象,已經講得有點……
[00:04:47.380 --> 00:04:49.940]  啊?意象?
[00:04:49.940 --> 00:04:52.500]  問你旁邊什麼叫意象?
[00:04:52.500 --> 00:04:55.300]  看看我們得出來的答案,
[00:04:55.300 --> 00:04:56.340]  大家的了解。
[00:04:56.340 --> 00:05:01.460]  問一下你旁邊,解釋一下什麼叫意象?
[00:05:01.460 --> 00:05:04.660]  我希望我們靈陽堂丁子妹們,
[00:05:04.660 --> 00:05:07.860]  我們講出來的東西,
[00:05:07.860 --> 00:05:10.420]  都是有根有據,
[00:05:10.420 --> 00:05:14.020]  都是按照神的話,
[00:05:14.020 --> 00:05:18.580]  照著神的話,清清楚楚地分辨真道,
[00:05:18.580 --> 00:05:20.820]  懂我意思嗎?
[00:05:20.820 --> 00:05:24.020]  所以什麼叫意象?
[00:05:24.020 --> 00:05:29.780]  來,第一排的這個是首先要得到恩典,
[00:05:29.780 --> 00:05:35.140]  來,未來發展的方向,
[00:05:35.140 --> 00:05:37.780]  那為什麼要意呢?
[00:05:37.780 --> 00:05:40.180]  好,丁子妹,好吧,
[00:05:40.180 --> 00:05:44.820]  什麼叫意象?
[00:05:44.820 --> 00:05:48.820]  意象,我們今天讀了兩個經文,
[00:05:48.820 --> 00:05:51.860]  一個是新約,一個是舊約,對不對?
