
[00:00:00.000 --> 00:00:03.700]  剛才兒童師班帶給我們一個很重要的訊息
[00:00:03.700 --> 00:00:08.500]  The message that children has brought us today is a very important one
[00:00:08.500 --> 00:00:11.200]  他問我們一個很重要的問題
[00:00:11.200 --> 00:00:13.900]  They ask us a very important question
[00:00:13.900 --> 00:00:16.700]  誰會猜派嬰孩
[00:00:16.700 --> 00:00:19.200]  Who would send a baby
[00:00:19.200 --> 00:00:21.000]  當你看到兒童的時候
[00:00:21.000 --> 00:00:22.200]  When you look at the children
[00:00:22.200 --> 00:00:23.200]  他們很可愛
[00:00:23.200 --> 00:00:24.200]  They are very cute
[00:00:24.200 --> 00:00:26.400]  你很不捨得他們,分開一陣子
[00:00:26.400 --> 00:00:29.500]  If you want, you need to part with them, you don't want to
[00:00:29.500 --> 00:00:31.800]  你不想放他們在任何有危險的機會
[00:00:31.800 --> 00:00:34.900]  Because you don't want to put them in any dangerous situations
[00:00:34.900 --> 00:00:37.100]  誰會猜派自己的嬰孩
[00:00:37.100 --> 00:00:40.100]  So who would actually send his baby
[00:00:40.100 --> 00:00:43.100]  剛才師哥裡面說動盪的世界
[00:00:43.100 --> 00:00:48.200]  So the song said this is a very
[00:00:48.200 --> 00:00:50.800]  difficulties and danger
[00:00:50.800 --> 00:00:53.300]  同時這個世界需要一個拯救者
[00:00:53.300 --> 00:00:55.100]  And this world needs a savior
[00:00:55.100 --> 00:00:57.700]  你會不會就將你自己的嬰孩就去猜去
[00:00:57.700 --> 00:01:01.200]  Would you actually send your own baby to this world
[00:01:01.200 --> 00:01:04.000]  但我們的神
[00:01:04.000 --> 00:01:08.200]  卻是告訴我們回應這個問題
[00:01:08.200 --> 00:01:10.800]  But our God actually responded to this question
[00:01:10.800 --> 00:01:13.000]  剛才我們一開始的時候
[00:01:13.000 --> 00:01:15.500]  施班為我們讀出了
[00:01:15.500 --> 00:01:17.000]  我們這段經文
[00:01:17.000 --> 00:01:21.100]  So in the beginning it was read
[00:01:21.100 --> 00:01:23.800]  因有一嬰孩為我們而生
[00:01:23.800 --> 00:01:26.400]  有一子賜給我們
[00:01:26.400 --> 00:01:28.400]  For to us a child is born
[00:01:28.400 --> 00:01:30.600]  To us a son is given
[00:01:30.600 --> 00:01:33.300]  政權必擔在他的肩頭上
[00:01:33.300 --> 00:01:35.900]  他名稱為奇妙策士
[00:01:35.900 --> 00:01:37.100]  全能的神
[00:01:37.100 --> 00:01:38.100]  永在的父
[00:01:38.100 --> 00:01:39.100]  和平的君
[00:01:39.100 --> 00:01:40.600]  And his name shall be called
[00:01:40.600 --> 00:01:41.800]  Wonderful Counselor
[00:01:41.800 --> 00:01:42.900]  Mighty God
[00:01:42.900 --> 00:01:44.400]  Everlasting Father
[00:01:44.400 --> 00:01:45.900]  Prince of Peace
[00:01:45.900 --> 00:01:49.600]  在耶穌出世之前的八百年
[00:01:49.600 --> 00:01:51.700]  就有一個先知預言
