
[00:00:00.000 --> 00:00:05.880]  大家好 今天我們學習一個題目
[00:00:05.880 --> 00:00:10.760]  我們如何在困苦中得到神的幫助
[00:00:10.760 --> 00:00:12.300]  我們要依靠神
[00:00:12.300 --> 00:00:14.520]  我們首先有一個禱告
[00:00:14.520 --> 00:00:17.680]  天父 多謝你給我們今天同齡聖餐
[00:00:17.680 --> 00:00:21.400]  我們特別看到你這位豐盛的主
[00:00:21.400 --> 00:00:22.460]  愛我們的主
[00:00:22.460 --> 00:00:24.600]  今天我們一起學習這個課題
[00:00:24.600 --> 00:00:26.120]  在困苦當中
[00:00:26.120 --> 00:00:29.600]  我們如何找到你給我們的幫助
[00:00:29.600 --> 00:00:30.920]  你成為我們的依靠
[00:00:30.920 --> 00:00:32.620]  求主幫助我們
[00:00:32.620 --> 00:00:34.640]  祈禱奉主 訴基督的名
[00:00:34.640 --> 00:00:36.360]  阿們
[00:00:36.360 --> 00:00:40.400]  在過去我們在教會的崇拜中
[00:00:40.400 --> 00:00:43.300]  在晚堂我們是用老家福音
[00:00:43.300 --> 00:00:46.520]  做一切的研讀
[00:00:46.520 --> 00:00:49.280]  在星期日的時間
[00:00:49.280 --> 00:00:51.760]  我們有約翰的書信
[00:00:51.760 --> 00:00:53.160]  我們已經完結了
[00:00:53.160 --> 00:00:56.760]  我們將會講一個題目
[00:00:56.760 --> 00:01:00.360]  會有四次 講到苦難
[00:01:00.360 --> 00:01:03.040]  我們信徒很多時候會經歷
[00:01:03.040 --> 00:01:05.560]  我們一同學習這個課題
[00:01:05.560 --> 00:01:07.800]  會有四次
[00:01:07.800 --> 00:01:12.480]  我想在其他的一些講完安排當中
[00:01:12.480 --> 00:01:16.120]  我們有四次這些講論
[00:01:16.120 --> 00:01:19.080]  希望大家得到幫助
[00:01:19.080 --> 00:01:22.120]  今天我們看這段經文
[00:01:22.120 --> 00:01:26.040]  講到詩篇一百四十二篇
[00:01:26.040 --> 00:01:31.160]  或者我一開始講到一件事
[00:01:31.160 --> 00:01:39.360]  美國一位資深的精神心理學家
[00:01:39.360 --> 00:01:40.800]  叫Nerry Crabbe
[00:01:40.800 --> 00:01:43.400]  他寫了很多本書
[00:01:43.400 --> 00:01:45.480]  有一本書叫做
[00:01:45.480 --> 00:01:47.560]  《尋找神》(Finding God)
[00:01:47.560 --> 00:01:50.120]  裡面一開始講述一個
[00:01:50.120 --> 00:01:54.120]  很慘痛的經歷
[00:01:54.120 --> 00:01:58.000]  就是有一次他在參加崇拜的時候
[00:01:58.000 --> 00:01:59.320]  在聚會當中
[00:01:59.320 --> 00:02:01.800]  突然收到爸爸的一個電話
[00:02:01.800 --> 00:02:05.640]  講到是他Nerry Crabbe的
