
[00:00:00.000 --> 00:00:05.200]  今天的課題會和大家來一段時間去分享
[00:00:05.200 --> 00:00:07.000]  這個分享是什麼呢?
[00:00:07.000 --> 00:00:09.400]  我們今天會探討的題目就是
[00:00:09.400 --> 00:00:12.900]  「從歲首到年終,蒙福之源」
[00:00:12.900 --> 00:00:15.700]  等一下會和大家看兩個的「源」字
[00:00:15.700 --> 00:00:17.000]  一個是「原因」的「源」
[00:00:17.000 --> 00:00:18.700]  一個是「源頭」的「源」
[00:00:18.700 --> 00:00:22.400]  我們今天會看生命記第十一章的第三十二節
[00:00:22.400 --> 00:00:26.400]  今天也很特別,是6月28日
[00:00:26.400 --> 00:00:28.400]  但是下個星期
[00:00:28.400 --> 00:00:30.700]  我們就會休息一次
[00:00:30.700 --> 00:00:33.000]  為什麼呢?休息兩次
[00:00:33.000 --> 00:00:38.200]  我會和弟兄姐妹去了歐洲的旅行
[00:00:38.200 --> 00:00:40.700]  我要講解,為我祈禱
[00:00:40.700 --> 00:00:42.700]  但是下一次回來
[00:00:42.700 --> 00:00:45.200]  剛剛一年已經過了一半了
[00:00:45.200 --> 00:00:46.700]  就是7月了
[00:00:46.700 --> 00:00:48.900]  我們在新年的時候
[00:00:48.900 --> 00:00:51.800]  每一個人都有些新春願望,對不對?
[00:00:51.800 --> 00:00:55.600]  好了,現在去到一年多一半了
[00:00:55.600 --> 00:00:59.300]  我們也會回顧過去這半年我們做了些什麼
[00:00:59.300 --> 00:01:02.100]  新的半年我們有什麼期望呢?
[00:01:02.100 --> 00:01:05.400]  最大的期望是每個人都很想得到祝福,對不對?
[00:01:05.400 --> 00:01:06.900]  如果你留意到
[00:01:06.900 --> 00:01:11.300]  怎樣可以全年或者一生得到神的福氣呢?
[00:01:11.300 --> 00:01:14.200]  在生命記裡面有教導這件事的
[00:01:14.200 --> 00:01:19.200]  在聖經裡面只有一次講到神從歲首到年終眷顧我們
[00:01:19.200 --> 00:01:21.200]  我們看看,大家很熟悉的
[00:01:21.200 --> 00:01:24.200]  生命記第十一章的第十二節
[00:01:24.200 --> 00:01:28.800]  節也會說,你神所眷顧的從歲首到年終
[00:01:28.800 --> 00:01:32.800]  也會說你神的眼目時常看顧那地
[00:01:32.800 --> 00:01:37.000]  這裡是唯一一次講到從歲首到年終
[00:01:37.000 --> 00:01:39.800]  由年頭到年尾神眷顧我們
[00:01:39.800 --> 00:01:41.800]  這個也是在新年
[00:01:41.800 --> 00:01:43.600]  或者農曆新年的時候
[00:01:43.600 --> 00:01:48.100]  我們時常在這些日子裡面就會收到這些金句的
[00:01:48.100 --> 00:01:51.400]  你想想,以上這些的海報
[00:01:51.400 --> 00:01:55.600]  是在WhatsApp裡面的,在新年的時候就會收到很多這些
[00:01:55.600 --> 00:01:58.200]  但是告訴大家,我每一次無論什麼節日
[00:01:58.200 --> 00:02:00.200]  收到的時候,我都會
[00:02:00.200 --> 00:02:04.000]  至少逐個逐個回覆他們,會多謝他們
[00:02:04.000 --> 00:02:07.600]  你留意到幾段經文都是同樣出現
[00:02:07.600 --> 00:02:10.800]  生命記第十一章的第十二節
[00:02:10.800 --> 00:02:15.800]  但是我們不能夠單單抽一節經文去解釋
[00:02:15.800 --> 00:02:18.300]  我們在新的一年開始的時候
[00:02:18.300 --> 00:02:20.300]  就研讀生命記第十一章
[00:02:20.300 --> 00:02:24.000]  特別是大半年的元寄的時候
[00:02:24.000 --> 00:02:27.000]  就看一下怎樣才能得到神的祝福
[00:02:27.000 --> 00:02:29.000]  我要再講解
[00:02:29.000 --> 00:02:31.000]  我們不可以只看一節的經文
[00:02:31.000 --> 00:02:34.600]  我們解經的時候一定要知道上文下理的
[00:02:34.600 --> 00:02:38.600]  但是在應用上面就可以抽一節經文出來
[00:02:38.600 --> 00:02:42.100]  記不記得上次我們講六四的時候,六月四號
[00:02:42.100 --> 00:02:45.600]  我和大家去查經,無語望蒼天
