
[00:00:00.000 --> 00:00:02.000]  好,大家早晨,Hello
[00:00:02.000 --> 00:00:05.980]  今天我們會繼續講《摩西五經》
[00:00:05.980 --> 00:00:07.980]  就要去到《文素記》
[00:00:07.980 --> 00:00:10.580]  因為都很多資料
[00:00:10.580 --> 00:00:12.400]  所以我都會講得快的
[00:00:12.400 --> 00:00:17.200]  如果你需要都可以上網站可以翻聽的
[00:00:17.200 --> 00:00:22.020]  那麼,我們的總題是
[00:00:22.020 --> 00:00:24.700]  《摩西五經》撩撼新時夜
[00:00:24.700 --> 00:00:29.380]  我特別強調那個新就不是代表我們有什麼新意的東西
[00:00:29.380 --> 00:00:31.200]  而是新約聖經
[00:00:31.200 --> 00:00:37.140]  我們想從一個新約的聖經來最終去明白一本舊約的書信
[00:00:37.140 --> 00:00:38.900]  《約翰福音》第五章
[00:00:38.900 --> 00:00:40.280]  耶穌基督自己這樣講
[00:00:40.280 --> 00:00:41.200]  第四和第六節
[00:00:41.200 --> 00:00:44.820]  如果你們信摩西也會信我
[00:00:44.820 --> 00:00:47.700]  因為他寫過關於我的事
[00:00:47.700 --> 00:00:52.320]  你們若不信他的書怎能信我的話呢
[00:00:52.320 --> 00:00:56.320]  原來耶穌基督和摩西是有一個很直接的關係
[00:00:56.320 --> 00:00:59.720]  所以我們正在看的是舊約的聖經
[00:00:59.720 --> 00:01:01.720]  但最終是指向新約
[00:01:01.720 --> 00:01:03.160]  舊約是一個影子
[00:01:03.160 --> 00:01:05.160]  新約是一個實體
[00:01:05.160 --> 00:01:07.440]  過去六個禮拜了
[00:01:07.440 --> 00:01:12.580]  我們一直在讀支持那幾本書
[00:01:12.580 --> 00:01:16.280]  《創世記》、《墮落》、《救贖》三部曲
[00:01:16.280 --> 00:01:17.620]  《塞埃及記》
[00:01:17.620 --> 00:01:24.100]  我們有三堂一起去講這個很精彩的《偶像之家》、《逃生記》
[00:01:24.100 --> 00:01:30.260]  上個禮拜我們講了利美記的《聖潔君王保衛者》
[00:01:30.260 --> 00:01:31.780]  這個禮拜你會發現
[00:01:31.780 --> 00:01:35.940]  其實《文素記》和利美記是很有關係的
[00:01:35.940 --> 00:01:39.980]  《文素記》的主題是「曠野中的大叛逆」
[00:01:39.980 --> 00:01:42.660]  下個禮拜就會是最終
[00:01:42.660 --> 00:01:46.100]  最終也都是最重要的可能一部
[00:01:46.100 --> 00:01:50.260]  叫做《深受割禮心外主生命記》
[00:01:50.260 --> 00:01:51.560]  我不知道你記不記得
[00:01:51.560 --> 00:01:56.180]  上個禮拜我們講的利美記裏面是關於些甚麼
[00:01:56.180 --> 00:01:57.660]  如果你甚麼都不記得
[00:01:57.660 --> 00:02:00.900]  起碼你記得兩件事
[00:02:00.900 --> 00:02:01.780]  第一就是
[00:02:01.780 --> 00:02:06.420]  利美記是一個很關於祭司潔淨禮儀的書
[00:02:06.420 --> 00:02:09.540]  基本上我想九成都是在講那些東西
[00:02:09.540 --> 00:02:11.620]  所以對於我們現代人來說
[00:02:11.620 --> 00:02:14.300]  是覺得超悶很難明白
[00:02:14.300 --> 00:02:16.980]  但是我說最終你要知道
[00:02:16.980 --> 00:02:19.420]  為甚麼要講潔淨、為甚麼要講禮儀
[00:02:19.420 --> 00:02:22.140]  是因為上帝想要告訴你們
[00:02:22.140 --> 00:02:24.460]  祂是一個聖潔的上帝
[00:02:24.460 --> 00:02:26.060]  如果你記得我們說
[00:02:26.060 --> 00:02:29.360]  利美記是他們出埃及之後那一年
[00:02:29.360 --> 00:02:34.100]  他們在西奈山山腳那裏留了一年
[00:02:34.100 --> 00:02:36.820]  在那裏上帝是在教他們
[00:02:36.820 --> 00:02:38.820]  祂是一個怎樣的上帝
[00:02:38.820 --> 00:02:40.380]  因為他們出埃及的時候
[00:02:40.380 --> 00:02:43.580]  可能他們完全都不知道耶和華是誰
[00:02:43.580 --> 00:02:45.740]  和祂們的祖先有甚麼關係
[00:02:45.740 --> 00:02:47.940]  於是在那段日子裏面
[00:02:47.940 --> 00:02:50.740]  摩西要帶他們去認識耶和華
[00:02:50.740 --> 00:02:57.100]  這樣他們才可以慢慢一步一步走向他們認祂之地
[00:02:57.100 --> 00:02:57.900]  OK
[00:02:57.900 --> 00:03:00.300]  如果你記得我上個星期說
[00:03:00.300 --> 00:03:04.140]  除了一大堆禮儀可能九成之外
[00:03:04.140 --> 00:03:06.740]  這本書基本上是拍不到片的
[00:03:06.740 --> 00:03:08.420]  除了有兩個故事
[00:03:08.420 --> 00:03:12.060]  在兩個審判的故事當中
[00:03:12.060 --> 00:03:17.100]  是彰顯了耶和華究竟是一個多麼忌邪
[00:03:17.100 --> 00:03:19.380]  或者是多麼聖潔的上帝
[00:03:19.380 --> 00:03:22.660]  一個故事是阿倫的兩個兒子
[00:03:22.660 --> 00:03:25.900]  大兒子拿達和阿比胡
[00:03:25.900 --> 00:03:29.660]  他們不應該獻祭的
[00:03:29.660 --> 00:03:32.020]  耶和華沒有吩咐他們獻祭
[00:03:32.020 --> 00:03:33.420]  當然其中一個理論就是
[00:03:33.420 --> 00:03:36.020]  他們可能當值的時候喝醉了酒
[00:03:36.020 --> 00:03:38.460]  然後走著走著走進了致勝所
[00:03:38.460 --> 00:03:41.780]  被上帝殺了
[00:03:41.780 --> 00:03:46.220]  這個故事很代表了耶和華的本性
[00:03:46.220 --> 00:03:50.460]  令我們應該知道祂是一個怎樣的上帝
