
[00:00:00.000 --> 00:00:03.020]  (主席)各位鼎姊妹平安
[00:00:03.020 --> 00:00:07.840]  家和萬事興,家衰後不停
[00:00:07.840 --> 00:00:13.340]  這句說話,我們相信在座很多人都是從小聽到大
[00:00:13.340 --> 00:00:17.740]  對中國人來說,一家人能夠和諧共處
[00:00:17.740 --> 00:00:20.540]  是一件非常重要的事情
[00:00:20.540 --> 00:00:24.860]  正所謂,修身齊家治國,平天下
[00:00:24.860 --> 00:00:29.500]  要管好家族,才能夠治理國家
[00:00:29.500 --> 00:00:34.100]  治好國家,才能夠民道於天下
[00:00:34.100 --> 00:00:37.280]  因此,能夠維持家和
[00:00:37.280 --> 00:00:40.980]  一直都是華人社會核心的價值
[00:00:40.980 --> 00:00:43.660]  不過,在今天的經文裡面
[00:00:43.660 --> 00:00:47.500]  我們相信的主耶穌基督,竟然親口說
[00:00:47.500 --> 00:00:52.180]  我來是要叫父親和兒子相爭
[00:00:52.180 --> 00:00:54.940]  母親與女兒相爭
[00:00:54.940 --> 00:00:58.300]  婆婆與媳婦相爭
[00:00:58.300 --> 00:01:00.660]  馬太福音記載,甚至說
[00:01:00.660 --> 00:01:04.660]  人的仇敵就是自己家裡的人
[00:01:04.660 --> 00:01:08.380]  難道耶穌唯恐天下大亂嗎?
[00:01:08.380 --> 00:01:10.460]  以上亞書五章七節
[00:01:10.460 --> 00:01:12.880]  不是預言那個尼塞亞的名字
[00:01:12.880 --> 00:01:15.620]  是要稱為奇妙的賊士
[00:01:15.620 --> 00:01:20.500]  全能的神,永在的父,和平的君嗎?
[00:01:20.500 --> 00:01:22.540]  身為和平的君耶穌
[00:01:22.540 --> 00:01:27.180]  卻是告訴人,祂來不是帶來和平
[00:01:27.180 --> 00:01:30.300]  卻是帶來分裂
[00:01:30.300 --> 00:01:32.740]  究竟是一回什麼事呢?
[00:01:32.740 --> 00:01:34.980]  盼望我們今天對於這段經文
[00:01:34.980 --> 00:01:38.060]  有更加深切的了解和反省
[00:01:38.060 --> 00:01:42.620]  並且有勇氣去實踐我們的信仰
[00:01:42.620 --> 00:01:47.780]  請我們一起祈禱
[00:01:47.780 --> 00:01:49.980]  天父上帝很感謝你
[00:01:49.980 --> 00:01:52.660]  讓我們能夠有生命氣息
[00:01:52.660 --> 00:01:56.100]  來到你的殿當中一同讚美
[00:01:56.100 --> 00:01:57.500]  最後你知道
[00:01:57.500 --> 00:02:00.820]  能夠平安回到你的殿裡
[00:02:00.820 --> 00:02:04.900]  絕對不是一個必然的事
[00:02:04.900 --> 00:02:08.580]  求主讓我們每個人都能夠珍惜
[00:02:08.580 --> 00:02:11.220]  仍然有機會來敬拜主
[00:02:11.220 --> 00:02:13.100]  侍奉主
[00:02:13.100 --> 00:02:17.420]  也求聖靈親自教導我們每一位
[00:02:17.420 --> 00:02:19.780]  讓我們無論聽的說的
[00:02:19.780 --> 00:02:21.740]  透過主耶穌的話語
[00:02:21.740 --> 00:02:23.420]  能夠得著益處
[00:02:23.420 --> 00:02:26.100]  得蒙賜福保守
[00:02:26.100 --> 00:02:27.180]  祈禱感恩
[00:02:27.180 --> 00:02:29.740]  奉主耶穌基督聖名祈求
[00:02:29.740 --> 00:02:31.740]  阿們
[00:02:31.740 --> 00:02:40.340]  讓我們一起再看看經文第49至50節
[00:02:40.340 --> 00:02:42.140]  第49節說
[00:02:42.140 --> 00:02:43.180]  耶穌說
[00:02:43.180 --> 00:02:46.820]  我們是要把火雕在地上
[00:02:46.820 --> 00:02:48.860]  假如已經燒起來
