
[00:00:00.000 --> 00:00:03.600]  今早和大家講到另一個人物
[00:00:03.600 --> 00:00:05.600]  就是約書亞
[00:00:05.600 --> 00:00:07.600]  如果講預表來講
[00:00:07.600 --> 00:00:09.600]  約書亞這個名字
[00:00:09.600 --> 00:00:11.600]  叫做耶和華是救贖者
[00:00:11.600 --> 00:00:13.600]  或者叫做耶和華拯救
[00:00:13.600 --> 00:00:15.600]  其實到了新約
[00:00:15.600 --> 00:00:17.600]  當天使告訴約瑟
[00:00:17.600 --> 00:00:21.200]  即是耶穌肉身的父親
[00:00:21.200 --> 00:00:25.600]  叫他改張耀馬尼亞誕生的嬰孩
[00:00:25.600 --> 00:00:27.600]  做耶穌
[00:00:27.600 --> 00:00:29.600]  因為他要叫他的子民
[00:00:29.600 --> 00:00:31.600]  在罪惡當中被拯救出來
[00:00:31.600 --> 00:00:33.600]  這個耶穌這個字在新約時代
[00:00:33.600 --> 00:00:35.600]  是很普遍的猶太人當中
[00:00:35.600 --> 00:00:37.600]  因為約書亞
[00:00:37.600 --> 00:00:39.600]  希伯來文
[00:00:39.600 --> 00:00:41.600]  其實意思是一樣的
[00:00:41.600 --> 00:00:43.600]  即是耶穌
[00:00:43.600 --> 00:00:45.600]  Jesus在舊約的意思
[00:00:45.600 --> 00:00:47.600]  就是約書亞Joshua
[00:00:47.600 --> 00:00:49.600]  即是說耶和華是拯救
[00:00:49.600 --> 00:00:51.600]  或者他是救贖者
[00:00:51.600 --> 00:00:55.600]  約書亞在這麼多本書裏
[00:00:55.600 --> 00:00:57.600]  能夠用他的名字
[00:00:57.600 --> 00:00:59.600]  整本書都是用他的名字
[00:00:59.600 --> 00:01:01.600]  不是很多
[00:01:01.600 --> 00:01:03.600]  在聖經裏面用作者的名字
[00:01:03.600 --> 00:01:05.600]  或者記錄他的事蹟
[00:01:05.600 --> 00:01:07.600]  以他的事蹟為整本書
[00:01:07.600 --> 00:01:09.600]  是不多的
[00:01:09.600 --> 00:01:11.600]  就算有
[00:01:11.600 --> 00:01:13.600]  篇章都沒有那麼多
[00:01:13.600 --> 00:01:15.600]  約書亞記有二十四章
[00:01:15.600 --> 00:01:17.600]  所以有二十四章經文
[00:01:17.600 --> 00:01:19.600]  記載用一個人的名字
[00:01:19.600 --> 00:01:21.600]  整本書
[00:01:21.600 --> 00:01:23.600]  是很少有
[00:01:23.600 --> 00:01:25.600]  甚至罕有
[00:01:25.600 --> 00:01:27.600]  但約書亞
[00:01:27.600 --> 00:01:29.600]  其實他不只是在約書亞記出現
[00:01:29.600 --> 00:01:31.600]  約書亞
[00:01:31.600 --> 00:01:33.600]  其實今天我們看的經文
[00:01:33.600 --> 00:01:35.600]  在出埃及記
[00:01:35.600 --> 00:01:37.600]  稍後我們會看到一些經文
[00:01:37.600 --> 00:01:39.600]  在民數記或者新聞記都有記載他
