
[00:00:00.000 --> 00:00:10.000]  不知道大家有沒有嘗試過去了解一個人的真情是怎樣
[00:00:10.000 --> 00:00:14.000]  我發覺如果你要認識一個人
[00:00:14.000 --> 00:00:19.000]  要去知道他的本質、本性是怎樣
[00:00:19.000 --> 00:00:25.000]  最好的就是透過這個人在一些事情上的反射回應
[00:00:25.000 --> 00:00:29.000]  你就能夠看見那個人的真人是怎樣的
[00:00:29.000 --> 00:00:31.000]  所以簡單的來說
[00:00:31.000 --> 00:00:35.000]  你要真人露相最好就是細心觀察一下
[00:00:35.000 --> 00:00:39.000]  那個人在一些事情上的即刻反射回應
[00:00:39.000 --> 00:00:46.000]  所以當我們特別是在工作的場地
[00:00:46.000 --> 00:00:50.000]  我們天天會見到很多不同的同事等等
[00:00:50.000 --> 00:00:57.000]  究竟那個人的本性是否值得我去信得過、依賴得過呢
[00:00:57.000 --> 00:01:05.000]  或者他給你一些教導、指示你是願意跟隨的呢
[00:01:05.000 --> 00:01:12.000]  其實很多時候你去看看那個人對一些事情的反應就最明顯了
[00:01:12.000 --> 00:01:14.000]  我就有一個這樣的經驗
[00:01:14.000 --> 00:01:19.000]  曾經我在大學的時候工作
[00:01:19.000 --> 00:01:25.000]  因為我以前在大學做電腦網絡的管理
[00:01:25.000 --> 00:01:35.000]  主要的工作就會是支援一些研究生的研究
[00:01:35.000 --> 00:01:41.000]  其實研究生除了大部分都不用交學費
[00:01:41.000 --> 00:01:44.000]  因為都是有獎學金給他們的
[00:01:44.000 --> 00:01:51.000]  所以怎樣去看到那個人究竟你是否值得幫他的呢
[00:01:51.000 --> 00:01:54.000]  其實就很容易
[00:01:54.000 --> 00:01:56.000]  因為他們不用交學費
[00:01:56.000 --> 00:02:06.000]  所以其餘的時間他們就很著重於究竟學校有多少資源給他們做研究
[00:02:06.000 --> 00:02:11.000]  我就發覺當時有幾個研究生
[00:02:11.000 --> 00:02:14.000]  每個都說很熟悉的了
[00:02:14.000 --> 00:02:16.000]  每個都認識我的
[00:02:16.000 --> 00:02:18.000]  因為我是做城市規劃的
[00:02:18.000 --> 00:02:20.000]  我本身都是讀城市規劃的
[00:02:20.000 --> 00:02:25.000]  所以那個部門全部都是做城市規劃的研究
