
[00:00:00.000 --> 00:00:18.800]  [祈禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱禱]
[00:00:18.800 --> 00:00:21.300]  弟兄姊妹平安
[00:00:21.300 --> 00:00:23.300]  今天我們一起來思想
[00:00:23.300 --> 00:00:27.760]  我答應過弟兄姊妹過去幾次
[00:00:27.760 --> 00:00:32.440]  今天是第三次講到悅蘇亞
[00:00:32.440 --> 00:00:36.080]  那麼我說悅蘇亞三記
[00:00:36.080 --> 00:00:40.000]  因爲後來我發覺本來我講一次
[00:00:40.000 --> 00:00:41.600]  悅蘇亞記第一章
[00:00:41.600 --> 00:00:44.840]  大家如果離節而來的話你還記得
[00:00:44.840 --> 00:00:48.880]  第一章講到悅蘇亞站在神的應許
[00:00:48.880 --> 00:00:54.000]  然後接替摩西作爲以色列的統帥
[00:00:54.000 --> 00:00:55.440]  他那個壓力好大
[00:00:55.440 --> 00:00:59.760]  面對前路怎樣有勇氣跟信心
[00:00:59.760 --> 00:01:04.080]  那麼那一次我相信弟兄姊妹還是記得的
[00:01:04.080 --> 00:01:07.760]  那麼後來我回去的時候有個禱告說
[00:01:07.760 --> 00:01:10.160]  這樣的悅蘇亞
[00:01:10.160 --> 00:01:14.840]  好像從曠野一個奴隸的身份
[00:01:14.840 --> 00:01:18.280]  突然間脫胎換骨
[00:01:18.280 --> 00:01:21.440]  轉到這樣偉大的領袖的話
[00:01:21.440 --> 00:01:26.400]  肯定不是那種的偶然的事情
[00:01:26.400 --> 00:01:34.040]  所以我就翻到我上次說的悅蘇亞前轉
[00:01:34.040 --> 00:01:38.160]  那麼就是在悅蘇亞還沒有當統帥以前
[00:01:38.160 --> 00:01:40.840]  悅蘇亞記以前的那個悅蘇亞
[00:01:40.840 --> 00:01:47.600]  在曠野神跟摩西是怎樣訓練他成爲一個大能的勇士
[00:01:47.600 --> 00:01:52.520]  這樣的屬靈的一種訓練跟操練我覺得很有意思
[00:01:52.520 --> 00:01:56.000]  後來我就講了這個悅蘇亞前轉
[00:01:56.000 --> 00:01:59.560]  神怎樣去訓練一個人
[00:01:59.560 --> 00:02:02.800]  從一個奴隸本來什麼都沒有的人
[00:02:02.800 --> 00:02:09.120]  成爲一個在神的計劃裏面大用的一個人
[00:02:09.120 --> 00:02:13.080]  那麼講了兩次以後心裏面又感動
[00:02:13.080 --> 00:02:16.120]  所以我說講了那個悅蘇亞三記
[00:02:16.120 --> 00:02:19.040]  那麼第三次後來我心裏面就說
[00:02:19.040 --> 00:02:22.960]  我講了悅蘇亞怎樣給訓練成爲一個偉大的領袖
[00:02:22.960 --> 00:02:29.520]  然後又講了偉大的領袖怎樣站在使命的面前
[00:02:29.520 --> 00:02:34.880]  有勇氣走下去完成神給他的託付
[00:02:34.880 --> 00:02:36.560]  這個都是很重要
[00:02:36.560 --> 00:02:39.680]  但是應該講的第三次就是
[00:02:39.680 --> 00:02:43.880]  真正的下牆打的時候是怎樣的一回事
[00:02:43.880 --> 00:02:46.680]  如果沒有講這個好像沒有講完嘛
[00:02:46.680 --> 00:02:52.440]  所以我就重新再研究一下這個悅蘇亞記裏面的
[00:02:52.440 --> 00:02:53.960]  後來發生的事情
[00:02:53.960 --> 00:02:59.480]  就是悅蘇亞帶着這個勇氣跟上帝的同在
[00:02:59.480 --> 00:03:01.760]  進到這個戰亂地了
[00:03:01.760 --> 00:03:03.440]  進了戰亂地以後呢
[00:03:03.440 --> 00:03:07.400]  那麼戰爭是怎樣打的
[00:03:07.400 --> 00:03:11.080]  纔是真正的一個總結嘛
[00:03:11.080 --> 00:03:14.000]  如果沒有講這個我覺得還沒完美
[00:03:14.000 --> 00:03:16.560]  所以我就講了三講
[00:03:16.560 --> 00:03:18.760]  就是今天要跟大家講的
[00:03:18.760 --> 00:03:22.040]  就是這個悅蘇亞記裏面的第三講
[00:03:22.040 --> 00:03:29.720]  就是講到這個悅蘇亞如何完成神的應許
[00:03:29.720 --> 00:03:34.200]  那麼當然悅蘇亞記如果你熟識的話
[00:03:34.200 --> 00:03:37.720]  你也可以預料的當中也就知道了
[00:03:37.720 --> 00:03:41.280]  悅蘇亞記是充滿了很多的戰爭
[00:03:41.280 --> 00:03:43.320]  很多的戰役
[00:03:43.320 --> 00:03:48.200]  那麼這個戰役裏面有不同的仗要打在迦南帝
[00:03:48.200 --> 00:03:52.720]  好今天我們就看悅蘇亞記裏面的戰爭
[00:03:52.720 --> 00:03:55.560]  當然這個戰爭很多
[00:03:55.560 --> 00:04:02.800]  但是我今天就跟大家拿最初的那個階段來講
[00:04:02.800 --> 00:04:08.600]  就是悅蘇亞記記載在迦南帝的兩個最重要的戰爭
[00:04:08.600 --> 00:04:11.280]  而且記載比較詳細
[00:04:11.280 --> 00:04:16.600]  而是世界開始的時候頭兩個戰爭
[00:04:16.600 --> 00:04:18.840]  那麼這兩個戰爭是什麼呢
[00:04:18.840 --> 00:04:22.360]  如果你念悅蘇亞記第五章
[00:04:22.360 --> 00:04:23.680]  第六章
[00:04:23.680 --> 00:04:27.560]  然後再念悅蘇亞記第七章跟第八章
[00:04:27.560 --> 00:04:29.480]  就是這幾章聖經
[00:04:29.480 --> 00:04:35.440]  你就看到這兩個是很重要決定性的兩個戰爭
[00:04:35.440 --> 00:04:39.840]  一個我們作者叫做耶利哥城的戰爭
[00:04:39.840 --> 00:04:41.000]  另外一個呢
[00:04:41.000 --> 00:04:43.360]  這個小城叫愛城
[00:04:43.360 --> 00:04:49.520]  在耶利哥城附近的另外一個城叫愛城的戰爭
[00:04:49.520 --> 00:04:52.320]  兩次著名的戰役
[00:04:52.320 --> 00:04:56.720]  構景對我們說了怎樣的一個鼠鄰的教訓
[00:04:56.720 --> 00:05:01.760]  是我們今天特別要跟弟兄姊妹一起來思想的
[00:05:01.760 --> 00:05:05.600]  如果你有聖經的話也可以打開悅蘇亞記
[00:05:05.600 --> 00:05:08.280]  這段聖經
[00:05:08.280 --> 00:05:10.640]  但是也當中的一些經文
[00:05:10.640 --> 00:05:13.800]  我也跟大家有機會的話就唸出來
[00:05:13.800 --> 00:05:18.880]  也特別留意的
[00:05:18.880 --> 00:05:25.440]  我們發覺悅蘇亞記裏面很多的戰爭
[00:05:25.440 --> 00:05:27.040]  我就想到
[00:05:27.040 --> 00:05:29.360]  就好像我們的人生
[00:05:29.360 --> 00:05:32.920]  人生也充滿了很多的打仗
[00:05:32.920 --> 00:05:37.800]  當然那個打仗不一定是動刀動兵這樣的打仗
[00:05:37.800 --> 00:05:42.480]  但是人生總有很多的戰役要面對
[00:05:42.480 --> 00:05:45.760]  有時候是面對病菌
[00:05:45.760 --> 00:05:47.360]  這是我們的戰爭
[00:05:47.360 --> 00:05:51.200]  有時候我們面對我們的事業上的困難
[00:05:51.200 --> 00:05:52.520]  也是我們的戰爭
[00:05:52.520 --> 00:05:56.600]  甚至有時候我們的戰爭是在家庭裏面
[00:05:56.600 --> 00:05:58.520]  不是什麼敵人而已
[00:05:58.520 --> 00:06:02.840]  最主要我們人生總不是平順的
[00:06:02.840 --> 00:06:04.920]  有神的供應
