
[00:00:00.000 --> 00:00:02.000]  新的恩典很豐富
[00:00:02.000 --> 00:00:04.000]  我們有沒有濫用呢?
[00:00:04.000 --> 00:00:08.000]  有時我們都好像輕忽了
[00:00:08.000 --> 00:00:11.000]  你們盼望今天的聖經提醒我們
[00:00:11.000 --> 00:00:14.000]  我們首先一起有個禱告
[00:00:14.000 --> 00:00:16.000]  天父我們多謝你
[00:00:16.000 --> 00:00:19.000]  讓我們一同去有敬拜
[00:00:19.000 --> 00:00:20.000]  聆聽你的話語
[00:00:20.000 --> 00:00:22.000]  求主你去保守
[00:00:22.000 --> 00:00:26.000]  聖靈叫我們去學習
[00:00:26.000 --> 00:00:28.000]  一個利器悅的生命
[00:00:28.000 --> 00:00:29.000]  我們不會濫用
[00:00:29.000 --> 00:00:31.000]  你自己去救恩
[00:00:31.000 --> 00:00:32.000]  求主幫助
[00:00:32.000 --> 00:00:33.000]  祈禱奉主
[00:00:33.000 --> 00:00:34.000]  說出基督的名
[00:00:34.000 --> 00:00:35.000]  回家吧
[00:00:35.000 --> 00:00:38.000]  19世紀英國有一個報導家
[00:00:38.000 --> 00:00:39.000]  叫施布珍
[00:00:39.000 --> 00:00:41.000]  我想大家都聽過他的名字
[00:00:41.000 --> 00:00:43.000]  他有一個朋友
[00:00:43.000 --> 00:00:46.000]  叫羅蘭希爾
[00:00:46.000 --> 00:00:49.000]  羅蘭希爾是一個在教會裡面做牧者
[00:00:49.000 --> 00:00:51.000]  他們教會有一件事
[00:00:51.000 --> 00:00:53.000]  看到當時社會的需要
[00:00:53.000 --> 00:00:55.000]  很多窮困的人士
[00:00:55.000 --> 00:01:02.000]  用基金幫助一些窮苦的人
[00:01:02.000 --> 00:01:06.000]  有一次他收到一個很大的款項
[00:01:06.000 --> 00:01:10.000]  指明要去給一個很窮的牧師
[00:01:10.000 --> 00:01:13.000]  結果他怎樣做呢?
[00:01:13.000 --> 00:01:15.000]  羅蘭希爾覺得
[00:01:15.000 --> 00:01:17.000]  如果一次過這麼大筆錢
[00:01:17.000 --> 00:01:19.000]  去寄給這位牧師
[00:01:19.000 --> 00:01:21.000]  好像有點危險
[00:01:21.000 --> 00:01:25.000]  不知道會不會寄失
[00:01:25.000 --> 00:01:27.000]  就想了個辦法
[00:01:27.000 --> 00:01:29.000]  逐些逐些寄
[00:01:29.000 --> 00:01:32.000]  一筆就寄給他
[00:01:32.000 --> 00:01:34.000]  然後再另一筆
[00:01:34.000 --> 00:01:37.000]  於是他就這樣進行了
[00:01:37.000 --> 00:01:40.000]  首先一筆的款項寄給他
[00:01:40.000 --> 00:01:42.000]  然後留下的口信就說
[00:01:42.000 --> 00:01:44.000]  接著還有的
[00:01:44.000 --> 00:01:47.000]  於是隔了一段時間
[00:01:47.000 --> 00:01:51.000]  第二筆又是有一個信條
[00:01:51.000 --> 00:01:55.000]  信息就說接著還有的
[00:01:55.000 --> 00:02:00.000]  而事者就這樣三四次
[00:02:00.000 --> 00:02:03.000]  直到這筆款項用完為止
[00:02:03.000 --> 00:02:05.000]  施保真就有個體會
[00:02:05.000 --> 00:02:07.000]  其實身邊我們的恩典
[00:02:07.000 --> 00:02:11.000]  都是很偉大、很寶貝的
[00:02:11.000 --> 00:02:14.000]  其實我們一次過都未必領受完
[00:02:14.000 --> 00:02:16.000]  都是這樣逐些來
[00:02:16.000 --> 00:02:19.000]  譬如我今天很明顯
[00:02:19.000 --> 00:02:20.000]  今天負責港島
[00:02:20.000 --> 00:02:23.000]  我就立即神給我有力量
[00:02:23.000 --> 00:02:27.000]  很多時候我們支取神的恩典
[00:02:27.000 --> 00:02:29.000]  我們都不察覺的
[00:02:29.000 --> 00:02:33.000]  有時我們好像理所當然
[00:02:33.000 --> 00:02:36.000]  施保真就說
[00:02:36.000 --> 00:02:38.000]  其實當我們信了主的那一刻
[00:02:38.000 --> 00:02:40.000]  神將我們的罪赦免
[00:02:40.000 --> 00:02:41.000]  還有的
[00:02:41.000 --> 00:02:43.000]  使我們成為公義的人
[00:02:43.000 --> 00:02:44.000]  還有的
[00:02:44.000 --> 00:02:47.000]  使我們成為祂寶貝的兒女
[00:02:47.000 --> 00:02:50.000]  本來是一個與我們為敵
[00:02:50.000 --> 00:02:52.000]  我們未認識神的時候
[00:02:52.000 --> 00:02:53.000]  與神為敵
[00:02:53.000 --> 00:02:56.000]  現在成為祂寶貝的兒女
[00:02:56.000 --> 00:02:59.000]  還有我們將來還有新天新地
[00:02:59.000 --> 00:03:01.000]  很多很多這些寶貝
[00:03:01.000 --> 00:03:03.000]  施保真的總結就是什麼呢
[00:03:03.000 --> 00:03:05.000]  當我們去到見主面的時候
[00:03:05.000 --> 00:03:08.000]  還有很多東西我們都未知的
[00:03:08.000 --> 00:03:11.000]  我想不知道大家怎麼看這個救恩
[00:03:11.000 --> 00:03:13.000]  很多很多
[00:03:13.000 --> 00:03:15.000]  如果我們這樣看起來
[00:03:15.000 --> 00:03:17.000]  就是非常豐富
[00:03:17.000 --> 00:03:19.000]  我們今天說的聖經
[00:03:19.000 --> 00:03:22.000]  就是希伯來書的作者告訴我們
[00:03:22.000 --> 00:03:25.000]  神給我們的救恩是非常豐富
[00:03:25.000 --> 00:03:26.000]  在舊約時代
[00:03:26.000 --> 00:03:29.000]  祂的指紋已經非常豐富
[00:03:29.000 --> 00:03:31.000]  但是因為耶穌還沒來
[00:03:31.000 --> 00:03:34.000]  所以還是有限的
