
[00:00:00.000 --> 00:00:06.040]  今天講到「毀身」與「石身」
[00:00:06.040 --> 00:00:07.480]  我專門想了很久
[00:00:07.480 --> 00:00:10.380]  因為「石」字是很廣東話的
[00:00:10.380 --> 00:00:15.440]  但是有些人用「色」字來代替了
[00:00:15.440 --> 00:00:17.560]  我覺得好像差一點點
[00:00:17.560 --> 00:00:21.020]  讀起來的感覺差一點點
[00:00:21.020 --> 00:00:24.540]  所以我還是用「陰」的「石」字
[00:00:24.540 --> 00:00:27.640]  所以括著「石身」
[00:00:29.400 --> 00:00:31.400]  之後大家知不知道什麼叫「石身」嗎?
[00:00:31.400 --> 00:00:32.960]  我們一會兒再講下去
[00:00:32.960 --> 00:00:35.480]  「毀身」與「石身」
[00:00:35.480 --> 00:00:38.600]  打錯了
[00:00:38.600 --> 00:00:40.880]  我們改回這個字
[00:00:40.880 --> 00:00:41.880]  「毀身」
[00:00:41.880 --> 00:00:43.880]  「毀身」與「石身」
[00:00:43.880 --> 00:00:50.720]  證明你是用心專注
[00:00:50.720 --> 00:00:54.200]  職業的所長
[00:00:54.200 --> 00:00:57.760]  「毀身」與「石身」
[00:00:57.760 --> 00:01:00.000]  大家聽到「毀身」
[00:01:00.000 --> 00:01:02.120]  其實在基督教裡面
[00:01:02.120 --> 00:01:03.560]  我們作為基督徒
[00:01:03.560 --> 00:01:07.880]  你聽到「毀身」這兩個字也不陌生
[00:01:07.880 --> 00:01:09.800]  特別是我們今年的年提
[00:01:09.800 --> 00:01:11.720]  是感恩回饋
[00:01:11.720 --> 00:01:13.880]  「毀身」侍奉
[00:01:13.880 --> 00:01:17.200]  「毀身」其實大家是否明白的?
[00:01:17.200 --> 00:01:20.520]  是不是有點疑惑?
[00:01:20.520 --> 00:01:24.520]  請舉手有誰明白「毀身」這個詞是什麼意思的?
[00:01:26.720 --> 00:01:28.000]  有誰聽了聽過
[00:01:28.000 --> 00:01:30.080]  但是也不太知道它是什麼意思的?
[00:01:30.080 --> 00:01:31.080]  請舉手
[00:01:31.080 --> 00:01:32.600]  不要緊
[00:01:32.600 --> 00:01:34.600]  有誰不知道我說什麼
[00:01:34.600 --> 00:01:35.600]  所以沒有舉手的?
[00:01:35.600 --> 00:01:38.320]  醒了醒了
[00:01:38.320 --> 00:01:40.880]  「毀身」這個詞其實是很常用的
[00:01:40.880 --> 00:01:43.760]  不過好像有一點點文鑄鑄
[00:01:43.760 --> 00:01:48.240]  有些人聽起來也不太明白是什麼意思
[00:01:48.240 --> 00:01:51.960]  「毀身」就是說粗俗一點
[00:01:51.960 --> 00:01:53.880]  就是奮身下去的意思
[00:01:53.880 --> 00:01:54.880]  明白了嗎?
[00:01:54.880 --> 00:01:56.440]  就是工作的時候
[00:01:56.440 --> 00:01:58.280]  奮身下去的意思
[00:01:58.280 --> 00:02:00.480]  太粗俗了
[00:02:00.480 --> 00:02:02.720]  所以文人就文雅一點
[00:02:02.720 --> 00:02:04.800]  用「毀身」這個詞
[00:02:04.800 --> 00:02:05.600]  就是這個意思
[00:02:05.600 --> 00:02:06.280]  「毀身」
[00:02:06.280 --> 00:02:08.880]  我們很多時候在基督教裡面說
[00:02:08.880 --> 00:02:10.600]  弟兄姊妹信了主之後
[00:02:10.600 --> 00:02:12.440]  要去侍奉神
[00:02:12.440 --> 00:02:14.040]  在教會裡面侍奉
[00:02:14.040 --> 00:02:15.160]  侍奉弟兄姊妹
[00:02:15.160 --> 00:02:16.200]  服侍
[00:02:16.200 --> 00:02:17.760]  我們也很喜歡用這個詞
[00:02:17.760 --> 00:02:21.400]  因為這個詞實在是很合適的
[00:02:21.400 --> 00:02:22.680]  真的是這樣的
