
[00:00:00.000 --> 00:00:05.000]  今天來的時候 我決定給你們一個厚厚的禮物
[00:00:05.000 --> 00:00:09.000]  你不要以爲這個很輕啊 這個東西啊
[00:00:09.000 --> 00:00:11.000]  這個東西非常的沉重
[00:00:11.000 --> 00:00:14.000]  這是彼得的彼得前書
[00:00:14.000 --> 00:00:17.000]  我想把彼得前書留給大家
[00:00:17.000 --> 00:00:19.000]  這一本厚厚的禮物
[00:00:19.000 --> 00:00:24.000]  我相信你要花上好幾個月 甚至好幾年去消化
[00:00:24.000 --> 00:00:27.000]  然後去變成我們的生命
[00:00:27.000 --> 00:00:31.000]  我們今天早上要看的是彼得前書
[00:00:31.000 --> 00:00:37.000]  彼得前書所寫的時間大概是公元62、63年左右
[00:00:37.000 --> 00:00:40.000]  當時的彼得大概已經年過60
[00:00:40.000 --> 00:00:44.000]  那他回想去30年前的那一天
[00:00:44.000 --> 00:00:49.000]  30年前那一天他在加利利的湖邊和海邊
[00:00:49.000 --> 00:00:50.000]  耶穌突然間出現
[00:00:50.000 --> 00:00:54.000]  耶穌呼召正在打魚的彼得還有他的弟弟
[00:00:54.000 --> 00:00:57.000]  馬可歸因第一章第17節這樣說
[00:00:57.000 --> 00:00:58.000]  耶穌對他們說
[00:00:58.000 --> 00:01:00.000]  你們來跟隨我
[00:01:00.000 --> 00:01:04.000]  我要叫你們得人如得魚一樣
[00:01:04.000 --> 00:01:05.000]  記得嗎
[00:01:05.000 --> 00:01:09.000]  於是就這樣他們兩個就跟隨了耶穌
[00:01:09.000 --> 00:01:13.000]  回頭看這60年的漁夫人生
[00:01:13.000 --> 00:01:16.000]  頭30年彼得是努力的得魚
[00:01:16.000 --> 00:01:20.000]  後30年彼得是得人如得魚
[00:01:20.000 --> 00:01:24.000]  有沒有想過如果彼得不做漁夫還能做哪一行
[00:01:24.000 --> 00:01:29.000]  60年都是打魚都是做漁夫
[00:01:29.000 --> 00:01:30.000]  聖經學者告訴我們
[00:01:30.000 --> 00:01:34.000]  如果彼得沒有當漁夫的話
[00:01:34.000 --> 00:01:37.000]  他很有可能會變成一個建築師
