
[00:00:00.000 --> 00:00:04.000]  今天的題目是基督使命的重現
[00:00:04.000 --> 00:00:07.000]  一開始的時候我想跟大家來試一下
[00:00:07.000 --> 00:00:12.000]  我讀一些機構的使命宣言
[00:00:12.000 --> 00:00:15.000]  看大家能不能猜到是哪一類型的機構
[00:00:15.000 --> 00:00:17.000]  例如有一個說
[00:00:17.000 --> 00:00:22.000]  以高效率及合乎成本效益的方式徵收稅款
[00:00:22.000 --> 00:00:25.000]  很清楚吧 太清楚了
[00:00:25.000 --> 00:00:27.000]  太有效率了他們
[00:00:27.000 --> 00:00:31.000]  很準時的把綠色的信封寄到大家家裡
[00:00:31.000 --> 00:00:34.000]  報稅了嗎
[00:00:34.000 --> 00:00:37.000]  如果你用那些護遊信封
[00:00:37.000 --> 00:00:39.000]  今年真的很有成本
[00:00:39.000 --> 00:00:42.000]  好像連護遊信封都沒有給我們
[00:00:42.000 --> 00:00:46.000]  因為已經有很多東西在網上了
[00:00:46.000 --> 00:00:49.000]  還有一個 以合宜價格
[00:00:49.000 --> 00:00:53.000]  為每個人提供適合於任何時候及場合
[00:00:53.000 --> 00:00:58.000]  穿著的時尚高質基本休閒服裝
[00:00:58.000 --> 00:01:03.000]  昨晚竟然有姐妹猜到 很厲害
[00:01:03.000 --> 00:01:05.000]  是什麼類型
[00:01:05.000 --> 00:01:07.000]  都是時裝公司
[00:01:07.000 --> 00:01:10.000]  U字頭的時裝公司
[00:01:10.000 --> 00:01:12.000]  有一個跟小朋友有關係
[00:01:12.000 --> 00:01:16.000]  每當你想與孩子分享起充滿歡樂的時刻
[00:01:16.000 --> 00:01:19.000]  我們都會在那裡
[00:01:19.000 --> 00:01:23.000]  很多人怕我與孩子一起開心時 他就會在那裡
[00:01:23.000 --> 00:01:24.000]  是什麼來的
[00:01:24.000 --> 00:01:26.000]  他就想了
[00:01:26.000 --> 00:01:29.000]  製造出奇蛋的公司
[00:01:29.000 --> 00:01:32.000]  朱古力糖的公司
[00:01:32.000 --> 00:01:35.000]  最後一個 激發每一個人的潛能
[00:01:35.000 --> 00:01:38.000]  實現每一家企業的潛力
[00:01:38.000 --> 00:01:42.000]  好像與每間公司都有關係
[00:01:42.000 --> 00:01:46.000]  除了Apple之外
[00:01:46.000 --> 00:01:52.000]  每一間電腦公司 M字頭的電腦公司的使命
[00:01:52.000 --> 00:01:55.000]  我想問問大家正在工作的弟兄姊妹
[00:01:55.000 --> 00:01:59.000]  你知不知道你自己公司的使命嗎
[00:01:59.000 --> 00:02:01.000]  有點噁心
[00:02:01.000 --> 00:02:04.000]  我上網看過很多政府部門
[00:02:04.000 --> 00:02:09.000]  都很清楚列出他們的所謂的
[00:02:09.000 --> 00:02:15.000]  信念 想像 意象 使命
[00:02:15.000 --> 00:02:20.000]  一些立場在他們的首頁
[00:02:20.000 --> 00:02:23.000]  但是否每一個都能夠知道自己
[00:02:23.000 --> 00:02:27.000]  每天8小時 10小時 12小時
[00:02:27.000 --> 00:02:30.000]  在公司工作的時候
[00:02:30.000 --> 00:02:34.000]  都能夠知道他們想做些什麼
[00:02:34.000 --> 00:02:38.000]  我們回到豐盛生命堂
[00:02:38.000 --> 00:02:44.000]  我們知不知道豐盛生命堂其實想做些什麼
[00:02:44.000 --> 00:02:47.000]  我們大家都信主耶穌
[00:02:47.000 --> 00:02:53.000]  我們又知不知道主耶穌其實想做些什麼
[00:02:53.000 --> 00:02:56.000]  使命宣言是這幾十年我們看到的
[00:02:56.000 --> 00:02:59.000]  很多都似乎不可以沒有的
[00:02:59.000 --> 00:03:03.000]  對於群體來說有意義的事情
[00:03:03.000 --> 00:03:05.000]  但其實原來在耶穌的時候
[00:03:05.000 --> 00:03:11.000]  耶穌都會有他的使命宣言
[00:03:11.000 --> 00:03:15.000]  使命宣言是一個尋找自我的使命
[00:03:15.000 --> 00:03:20.000]  當主耶穌有聖靈的感動引導
[00:03:20.000 --> 00:03:24.000]  他面對在曠野中間的試探之後
[00:03:24.000 --> 00:03:27.000]  在路加福音第四章第十四節
[00:03:27.000 --> 00:03:32.000]  他說 耶穌基督滿有聖靈的能力
[00:03:32.000 --> 00:03:36.000]  回到加利利這個地方
[00:03:36.000 --> 00:03:39.000]  路加記載了他去到拿撒勒
[00:03:39.000 --> 00:03:43.000]  但馬太和馬可就記載了他去加帕隆
[00:03:43.000 --> 00:03:50.000]  其他很多地方施行歧視和宣講
[00:03:50.000 --> 00:03:53.000]  路加把這個記載放在最前
[00:03:53.000 --> 00:04:01.000]  就是在耶穌基督要公開服侍的開始的時候
[00:04:01.000 --> 00:04:05.000]  就記載到耶穌基督回到他的家鄉拿撒勒
[00:04:05.000 --> 00:04:11.000]  在會堂裡拿聖經來宣讀他的使命宣言
[00:04:11.000 --> 00:04:14.000]  讓讀的人
[00:04:14.000 --> 00:04:15.000]  讓我們每一個都知道
[00:04:15.000 --> 00:04:18.000]  耶穌開始要做的 要講的
[00:04:18.000 --> 00:04:23.000]  他的目的是什麼
[00:04:23.000 --> 00:04:26.000]  所以這是耶穌基督的使命宣言
[00:04:26.000 --> 00:04:27.000]  使命宣言的內容是
[00:04:27.000 --> 00:04:29.000]  主的靈在我身上
[00:04:29.000 --> 00:04:31.000]  因為他用羔告我
[00:04:31.000 --> 00:04:34.000]  叫我傳福音給貧窮的人
[00:04:34.000 --> 00:04:35.000]  擦肩我宣告
[00:04:35.000 --> 00:04:37.000]  被擄的得釋放
[00:04:37.000 --> 00:04:39.000]  失明的得看見
[00:04:39.000 --> 00:04:41.000]  受壓迫的得自由
[00:04:41.000 --> 00:04:43.000]  宣告神越立人的欺凌
[00:04:43.000 --> 00:04:46.000]  什麼是使命宣言呢
[00:04:46.000 --> 00:04:48.000]  使命宣言有兩個主要的目的
[00:04:48.000 --> 00:04:51.000]  第一 告訴別人我們是誰
[00:04:51.000 --> 00:04:57.000]  第二 告訴別人我們要做什麼
[00:04:57.000 --> 00:04:59.000]  第一 他是誰
[00:04:59.000 --> 00:05:01.000]  耶穌是神的受告者
[00:05:01.000 --> 00:05:04.000]  他說主的靈在我身上
[00:05:04.000 --> 00:05:06.000]  我就是那個受告的基督
[00:05:06.000 --> 00:05:08.000]  我就是大家在等的彌賽亞
[00:05:08.000 --> 00:05:10.000]  第二 他要做什麼
[00:05:10.000 --> 00:05:11.000]  一個總結
[00:05:11.000 --> 00:05:18.000]  他宣告神越立人的欺凌
[00:05:18.000 --> 00:05:21.000]  但如果我們打開我們的聖經
[00:05:21.000 --> 00:05:23.000]  如果大家都熟悉以賽亞書的時候
[00:05:23.000 --> 00:05:27.000]  耶穌在宣讀哪一卷
[00:05:27.000 --> 00:05:29.000]  以賽亞書的61章
[00:05:29.000 --> 00:05:30.000]  第一至第二節
[00:05:30.000 --> 00:05:32.000]  但當我們一同打開
[00:05:32.000 --> 00:05:33.000]  以賽亞書的61章
[00:05:33.000 --> 00:05:34.000]  一至二節的時候
[00:05:34.000 --> 00:05:39.000]  我們發覺耶穌停在竇號那裡
[00:05:39.000 --> 00:05:40.000]  原來後面還有什麼
[00:05:40.000 --> 00:05:44.000]  還有和我們神報仇的日子
[00:05:44.000 --> 00:05:46.000]  安慰所有悲傷的人
[00:05:46.000 --> 00:05:48.000]  耶穌沒有讀下去
[00:05:48.000 --> 00:05:51.000]  耶穌就停在那裡
[00:05:51.000 --> 00:05:52.000]  捲起書卷
[00:05:52.000 --> 00:05:56.000]  交給管理會堂的人
[00:05:56.000 --> 00:06:00.000]  難道後面剛才所說的不重要嗎
[00:06:00.000 --> 00:06:04.000]  後面的不是祂的使命宣言
[00:06:04.000 --> 00:06:06.000]  原來真正的耶穌的使命宣言
[00:06:06.000 --> 00:06:11.000]  就停在宣告神越立人的欺凌那一句
