
[00:00:00.000 --> 00:00:03.080]  好 我想帶你去看一段聖經
[00:00:03.080 --> 00:00:06.360]  恭禮堂的弟兄姊妹
[00:00:06.360 --> 00:00:08.360]  我要講一點DISCLAIMER
[00:00:08.360 --> 00:00:11.640]  如果你過去星期天有在恭禮堂
[00:00:11.640 --> 00:00:17.040]  你會發覺這段經文是我們剛剛去的禮拜天所講的那段經文
[00:00:17.040 --> 00:00:19.640]  那我想跟你說的是
[00:00:19.640 --> 00:00:21.560]  星期天我們被崇拜之前
[00:00:21.560 --> 00:00:23.560]  我已經選了這段經文想講的了
[00:00:23.560 --> 00:00:27.080]  那跟我的星期天是沒有關係的
[00:00:27.080 --> 00:00:29.800]  那為什麼我要選這段經文講呢
[00:00:29.800 --> 00:00:32.440]  就是這段經文裡面有三個小故事
[00:00:32.440 --> 00:00:35.480]  而這三個故事是有連貫的
[00:00:35.480 --> 00:00:37.720]  甚至我可以這麼說
[00:00:37.720 --> 00:00:43.240]  這三個故事連貫起來都是講國中無王需要一個皇帝的
[00:00:43.240 --> 00:00:45.920]  這三個故事加起來
[00:00:45.920 --> 00:00:50.600]  差不多等於舊約聖經史詩記的翻版
[00:00:50.600 --> 00:00:53.800]  只不過這次有一個好的結果
[00:00:53.800 --> 00:00:55.760]  就是最後有一個君王
[00:00:55.760 --> 00:00:56.920]  有人敬拜他
[00:00:56.920 --> 00:00:57.600]  好不好
[00:00:57.600 --> 00:01:01.240]  那我就想大家一起去讀一下這段聖經
[00:01:01.240 --> 00:01:05.520]  那我們當然找回我們平時為我們讀聖經的
[00:01:05.520 --> 00:01:06.760]  文昌
[00:01:06.760 --> 00:01:08.480]  你來幫我讀
[00:01:08.480 --> 00:01:10.920]  這三個故事我就
[00:01:10.920 --> 00:01:14.800]  六節至十二節
[00:01:14.800 --> 00:01:15.680]  十六至十八
[00:01:15.680 --> 00:01:17.360]  接著二十二至三十四
[00:01:17.360 --> 00:01:19.320]  是,一次過讀完三個
[00:01:19.320 --> 00:01:25.320]  這段聖經其實很欺負人讀的
[00:01:25.320 --> 00:01:25.840]  OK
