
[00:00:00.000 --> 00:00:02.560]  《圣经》一头第四诗节说:
[00:00:02.560 --> 00:00:08.760]  "但其实明天如何,你们还不知道。你们的生命是什么呢?"
[00:00:08.760 --> 00:00:17.760]  我们就用这句话做我们今天的题目主题就是"你们的生命是什么呢?"
[00:00:17.760 --> 00:00:23.760]  我们上次读到的第四章一节到十节这一段
[00:00:23.760 --> 00:00:34.760]  雅各就质问信徒不受管制的本性,因为在他们中间有争竞有冲突的事情
[00:00:34.760 --> 00:00:44.760]  雅各就指出来这些是因为你们肉体里的食欲也是受到世界的影响
[00:00:44.760 --> 00:00:57.760]  所以他在这章的第四节说:你们是于世界为友的,就是于神为敌
[00:00:57.760 --> 00:01:06.760]  雅各在上一段上文还提到你们要纠正错误的方法就是要悔改
[00:01:06.760 --> 00:01:13.760]  要顺服神,要抵挡魔鬼,你们还要清精神
[00:01:13.760 --> 00:01:17.760]  当你们清精神的话,神就要清精你们
[00:01:17.760 --> 00:01:22.760]  那么还要提到我们在神的面前要自卑
[00:01:22.760 --> 00:01:28.760]  因为神阻挡骄傲的人要斥恩给谦卑的人
[00:01:28.760 --> 00:01:32.760]  这句话是常常需要提醒我们
[00:01:32.760 --> 00:01:39.760]  神阻挡骄傲的人斥恩给谦卑的人
[00:01:39.760 --> 00:01:47.760]  有一个很出名的作家,他在说到人的谦卑的时候就说了
[00:01:47.760 --> 00:01:53.760]  当神要充满一个人的时候,就要先把他倒空
[00:01:53.760 --> 00:01:59.760]  因为他太满了,神的丰满就进不来了,所以要把他倒空
[00:01:59.760 --> 00:02:05.760]  他说如果神要使一个人富足,要先使他贫穷
[00:02:05.760 --> 00:02:09.760]  那么这个是一个很宝贵的提醒
[00:02:09.760 --> 00:02:15.760]  他说神如果要使一个人高举一个人,使一个人高升的话
[00:02:15.760 --> 00:02:22.760]  那就要先叫他觉得自己很不配,自己很没有用
[00:02:22.760 --> 00:02:24.760]  这样的话,神才能做
[00:02:24.760 --> 00:02:28.760]  神要叫我们觉得我们是里面没有什么东西
[00:02:28.760 --> 00:02:32.760]  要觉得我们很贫穷,觉得我们没有什么用处
[00:02:32.760 --> 00:02:39.760]  神才能够充满我们,叫我们富足,叫我们升高
[00:02:39.760 --> 00:02:42.760]  所以神说,这句话说
[00:02:42.760 --> 00:02:47.760]  神阻挡骄傲的人斥恩给谦卑的人
[00:02:47.760 --> 00:02:53.760]  这是我们需要常常用这句话来提醒我们自己的
[00:02:53.760 --> 00:02:58.760]  雅各说了从四章一节说到十节以后
[00:02:58.760 --> 00:03:01.760]  过去有人听到雅各所说的话
[00:03:01.760 --> 00:03:04.760]  所指责的就是跟他没有关系
[00:03:04.760 --> 00:03:06.760]  因为他说我没有露起的失欲啊
[00:03:06.760 --> 00:03:10.760]  我没有跟别人争劲,没有跟别人冲突啊
[00:03:10.760 --> 00:03:13.760]  但是在今天我们读的经文里头
[00:03:13.760 --> 00:03:16.760]  雅各还指出来
[00:03:16.760 --> 00:03:20.760]  即使你没有争劲,没有冲突的事情
[00:03:20.760 --> 00:03:23.760]  你还是有需要悔改的地方
[00:03:23.760 --> 00:03:26.760]  什么地方悔改呢?就是骄傲
[00:03:26.760 --> 00:03:30.760]  人的骄傲恐怕每个人都有的
[00:03:30.760 --> 00:03:34.760]  不管是岁数大的人,年轻的人
[00:03:34.760 --> 00:03:37.760]  就连小孩子他都会骄傲的
[00:03:37.760 --> 00:03:41.760]  所以他说提到我们需要有悔改的地方
[00:03:41.760 --> 00:03:47.760]  所以在下面呢就提到有三个例子
[00:03:47.760 --> 00:03:52.760]  这是我们骄傲的表现,是我们需要悔改的
[00:03:52.760 --> 00:03:58.760]  一个呢就在11节到12节提到是批评论断
[00:03:58.760 --> 00:04:01.760]  这个是需要,这是骄傲的表现
[00:04:01.760 --> 00:04:04.760]  第二个呢是为了将来夸口
[00:04:04.760 --> 00:04:08.760]  他说我将来可以做什么,将来可以做什么
[00:04:08.760 --> 00:04:10.760]  将来我为什么成功
[00:04:10.760 --> 00:04:12.760]  这也是骄傲的表现
[00:04:12.760 --> 00:04:15.760]  第三个呢在第五章里头
[00:04:15.760 --> 00:04:18.760]  就一节到六节呢提到呢
[00:04:18.760 --> 00:04:22.760]  有一些人呢他倚靠他钱财
[00:04:22.760 --> 00:04:25.760]  他很有钱,他就倚靠钱财
[00:04:25.760 --> 00:04:33.760]  这三个方面的话都是我们生命里头不应该有的东西
[00:04:33.760 --> 00:04:37.760]  那我们蒙恩,蒙主恩典我们得救了
[00:04:37.760 --> 00:04:41.760]  神给我们一个新的生命
[00:04:41.760 --> 00:04:43.760]  所以第14节就问
[00:04:43.760 --> 00:04:46.760]  他说你们的生命是什么呢
[00:04:46.760 --> 00:04:48.760]  叫我们能够幸福以后
[00:04:48.760 --> 00:04:50.760]  叫我们想一想
[00:04:50.760 --> 00:04:54.760]  我们到底还是照着旧的生命来活
[00:04:54.760 --> 00:04:57.760]  还是照着新的生命来活呢
[00:04:57.760 --> 00:05:00.760]  所以雅各在这一段圣经里头
[00:05:00.760 --> 00:05:03.760]  要叫我们来思想一下
[00:05:03.760 --> 00:05:06.760]  你们的生命是什么呢
[00:05:06.760 --> 00:05:08.760]  我们是照着旧的生命呢
[00:05:08.760 --> 00:05:10.760]  还是照着新的生命呢
[00:05:10.760 --> 00:05:12.760]  我们是幸福的人
[00:05:12.760 --> 00:05:14.760]  我们有新的生命
[00:05:14.760 --> 00:05:18.760]  那我们就应该照着新的生命来活
[00:05:18.760 --> 00:05:24.760]  那么在这里头我们就分开有三个点
[00:05:24.760 --> 00:05:29.760]  一个呢就要看到我们的生命是卑微的
[00:05:29.760 --> 00:05:32.760]  批评论断弟兄
[00:05:32.760 --> 00:05:34.760]  如果我们是卑微的
[00:05:34.760 --> 00:05:40.760]  那我们怎么敢去批评论断弟兄呢
[00:05:40.760 --> 00:05:45.760]  这是要我们看到我们的生命是什么
[00:05:45.760 --> 00:05:48.760]  那么这里的批评论断
[00:05:48.760 --> 00:05:50.760]  原来的意思呢
[00:05:50.760 --> 00:05:55.760]  就是去寻找一个人的错失
[00:05:55.760 --> 00:05:58.760]  恶意的讲他的坏话
[00:05:58.760 --> 00:06:01.760]  这个就是批评论断
[00:06:01.760 --> 00:06:05.760]  这样的话是骄傲的一种表现
[00:06:05.760 --> 00:06:09.760]  这就是说这样是一个缺乏谦卑
[00:06:09.760 --> 00:06:13.760]  他只看见别人的缺点
[00:06:13.760 --> 00:06:19.760]  而且呢可能还是吹毛求疵的去找出他的缺点
[00:06:19.760 --> 00:06:23.760]  看不到他有优点的地方
[00:06:23.760 --> 00:06:26.760]  那么会批评论断呢
[00:06:26.760 --> 00:06:29.760]  这个是一个负面的
