
[00:00:00.000 --> 00:00:02.000]  親愛的姐妹,主佑平安!
[00:00:02.000 --> 00:00:06.000]  今早又能和大家在網上見面
[00:00:06.000 --> 00:00:13.000]  新的一年,我祝願大家滿載上帝所給予的平安和喜樂
[00:00:13.000 --> 00:00:18.000]  今天是2021年第一個主人
[00:00:18.000 --> 00:00:21.000]  不知道你有沒有計算過,從去年開始到現在
[00:00:21.000 --> 00:00:26.000]  你曾經參加過多少次的網上崇拜?
[00:00:26.000 --> 00:00:29.000]  可能開始的時候你都計算過有多少次
[00:00:29.000 --> 00:00:32.000]  由於有很多次都是需要網上
[00:00:32.000 --> 00:00:36.000]  你都可能已經忘記自己有多少次
[00:00:36.000 --> 00:00:38.000]  起碼我們知道新的一年
[00:00:38.000 --> 00:00:41.000]  第一次就已經是一個網上崇拜
[00:00:41.000 --> 00:00:46.000]  疫情確實是改變了我們崇拜的模式
[00:00:46.000 --> 00:00:51.000]  亦都是這樣令到很多人都對崇拜有很多反省
[00:00:51.000 --> 00:00:53.000]  究竟崇拜是什麼呢?
[00:00:53.000 --> 00:00:56.000]  究竟為什麼我們要崇拜呢?
[00:00:56.000 --> 00:00:59.000]  如果我們說崇拜就是渴望見到神
[00:00:59.000 --> 00:01:04.000]  很想遇見神,去朝見祂,去讚美祂
[00:01:04.000 --> 00:01:08.000]  去向祂祈禱,聆聽祂的說話
[00:01:08.000 --> 00:01:10.000]  這個就是崇拜的話
[00:01:10.000 --> 00:01:15.000]  在舊約聖經二賽亞書第六章一到八節
[00:01:15.000 --> 00:01:17.000]  是一個很好的例子
[00:01:17.000 --> 00:01:23.000]  這段經文描述了一個神和人相遇的經過
[00:01:23.000 --> 00:01:26.000]  當中包含了很多的元素
[00:01:26.000 --> 00:01:32.000]  常常被引用作為崇拜上面的反省
[00:01:32.000 --> 00:01:36.000]  這個例子不是說是一個既定的程序
[00:01:36.000 --> 00:01:39.000]  這個例子也不是說唯一的描述
[00:01:39.000 --> 00:01:44.000]  但這個確是能夠幫助到我們去學習的
[00:01:44.000 --> 00:01:48.000]  美國聖經學者舊斯玉曾經這樣去形容
[00:01:48.000 --> 00:01:52.000]  他說二賽亞書第一章至到第五章
[00:01:52.000 --> 00:01:54.000]  是一個嚴肅的問題
[00:01:54.000 --> 00:01:58.000]  一個自大傲慢和充滿罪的國家
[00:01:58.000 --> 00:02:01.000]  如何成為神聖傑的子民呢?
[00:02:01.000 --> 00:02:06.000]  如何透過這個民族讓人去認識神呢?
[00:02:06.000 --> 00:02:10.000]  二賽亞書第六章就為我們提供了答案
[00:02:10.000 --> 00:02:16.000]  當以色列經歷好像二賽亞相同的經歷的時候
[00:02:16.000 --> 00:02:20.000]  就可以由罪惡變成了服侍神的僕人
[00:02:20.000 --> 00:02:25.000]  當這個民族親眼目睹神的聖潔和榮耀
[00:02:25.000 --> 00:02:28.000]  接受神恩典的赦罪的時候
[00:02:28.000 --> 00:02:34.000]  他就可以代表神在一個飢餓的世界來說話
[00:02:34.000 --> 00:02:38.000]  這個經歷不單止是二賽亞個人的
[00:02:38.000 --> 00:02:41.000]  也是給我們每一個的
[00:02:41.000 --> 00:02:43.000]  這位神學家說得很好
[00:02:43.000 --> 00:02:51.000]  是啊,這段經文的經歷可以帶給我們有這樣的反省
[00:02:51.000 --> 00:02:55.000]  剛才蔡信傳道為大家讀出的
[00:02:55.000 --> 00:02:58.000]  就是二賽亞書第六章一到八節
[00:02:58.000 --> 00:03:01.000]  我不再重複和大家讀了
[00:03:01.000 --> 00:03:03.000]  經文一開始說
[00:03:03.000 --> 00:03:05.000]  當烏西亞王崩那年
[00:03:05.000 --> 00:03:09.000]  我見主坐在高高的寶座上面
[00:03:09.000 --> 00:03:15.000]  究竟這是二賽亞真與神相遇的一個經歷
[00:03:15.000 --> 00:03:19.000]  還是說只是二賽亞去見到異象呢?
[00:03:19.000 --> 00:03:22.000]  很多時候都有不同的立論
[00:03:22.000 --> 00:03:24.000]  但我想重點不重要在這裡
[00:03:24.000 --> 00:03:30.000]  重點是究竟先知透過這個經歷
[00:03:30.000 --> 00:03:35.000]  改變了生命,改變了侍奉的態度
