
[00:00:00.000 --> 00:00:02.000]  靈姐妹 早安
[00:00:02.000 --> 00:00:04.000]  我們領受神的說話前
[00:00:04.000 --> 00:00:06.000]  我們一起禱告
[00:00:06.000 --> 00:00:08.000]  求主幫助我們
[00:00:08.000 --> 00:00:10.000]  卸下我們一切的前類
[00:00:10.000 --> 00:00:12.000]  求主赦免
[00:00:12.000 --> 00:00:14.000]  我們一切的罪
[00:00:14.000 --> 00:00:16.000]  我們請求主闖開我們的心
[00:00:16.000 --> 00:00:18.000]  準備領受
[00:00:18.000 --> 00:00:20.000]  祂的說話 我帶領大家禱告
[00:00:20.000 --> 00:00:22.000]  那位叫人
[00:00:22.000 --> 00:00:24.000]  知道真理的主
[00:00:24.000 --> 00:00:26.000]  我們求主你
[00:00:26.000 --> 00:00:28.000]  親自臨在
[00:00:28.000 --> 00:00:30.000]  祂說若有兩三個人聚集
[00:00:30.000 --> 00:00:32.000]  奉你的名
[00:00:32.000 --> 00:00:34.000]  你必要與他們同在
[00:00:34.000 --> 00:00:36.000]  上帝我們在你面前
[00:00:36.000 --> 00:00:38.000]  聚集 奉你的名
[00:00:38.000 --> 00:00:40.000]  願上帝你
[00:00:40.000 --> 00:00:42.000]  親自對我們說話
[00:00:42.000 --> 00:00:44.000]  求真理的靈
[00:00:44.000 --> 00:00:46.000]  帶領我們進入真理
[00:00:46.000 --> 00:00:48.000]  好讓我們好明白掌握
[00:00:48.000 --> 00:00:50.000]  你這句話語
[00:00:50.000 --> 00:00:52.000]  以致我們面對今天很多
[00:00:52.000 --> 00:00:54.000]  乖巧的道理的時候
[00:00:54.000 --> 00:00:56.000]  我們能夠明辨
[00:00:56.000 --> 00:00:58.000]  我們能夠奉耶穌基督的名
[00:00:58.000 --> 00:01:00.000]  過去的
[00:01:00.000 --> 00:01:02.000]  我們完成了彼得前書
[00:01:02.000 --> 00:01:04.000]  我們很感謝神
[00:01:04.000 --> 00:01:06.000]  由今個星期開始
[00:01:06.000 --> 00:01:08.000]  我們會進入彼得後書
[00:01:08.000 --> 00:01:10.000]  其實前書和後書
[00:01:10.000 --> 00:01:12.000]  有什麼分別呢
[00:01:12.000 --> 00:01:14.000]  用四個字就可以介紹得到
[00:01:14.000 --> 00:01:16.000]  內憂外患
[00:01:16.000 --> 00:01:18.000]  彼得前書所說的是
[00:01:18.000 --> 00:01:20.000]  外患 當時
[00:01:20.000 --> 00:01:22.000]  信徒面對的是
[00:01:22.000 --> 00:01:24.000]  宗教的迫害
[00:01:24.000 --> 00:01:26.000]  而彼得後書
[00:01:26.000 --> 00:01:28.000]  所呈現的是
[00:01:28.000 --> 00:01:30.000]  內憂 就是當時
[00:01:30.000 --> 00:01:32.000]  教內的
[00:01:32.000 --> 00:01:34.000]  情況是有異端
[00:01:34.000 --> 00:01:36.000]  的出現 說起異端
[00:01:36.000 --> 00:01:38.000]  今天的異端
[00:01:38.000 --> 00:01:40.000]  用八個字去形容 明目張膽
[00:01:40.000 --> 00:01:42.000]  從小到大
[00:01:42.000 --> 00:01:44.000]  今天的異端
[00:01:44.000 --> 00:01:46.000]  是主動
[00:01:46.000 --> 00:01:48.000]  來滲入
[00:01:48.000 --> 00:01:50.000]  正統的教會
[00:01:50.000 --> 00:01:52.000]  去迷惑信徒
[00:01:52.000 --> 00:01:54.000]  特別那些人
[00:01:54.000 --> 00:01:56.000]  你發覺他很財很了得
[00:01:56.000 --> 00:01:58.000]  好像很熟悉聖經
[00:01:58.000 --> 00:02:00.000]  然後就跟你說
[00:02:00.000 --> 00:02:02.000]  你不要告訴牧師或執事
[00:02:02.000 --> 00:02:04.000]  我們去查經
[00:02:04.000 --> 00:02:06.000]  你記住
[00:02:06.000 --> 00:02:08.000]  是靜悄悄
[00:02:08.000 --> 00:02:10.000]  你就要小心
[00:02:10.000 --> 00:02:12.000]  這些太主動
[00:02:12.000 --> 00:02:14.000]  就不讓你
[00:02:14.000 --> 00:02:16.000]  告訴牧者
[00:02:16.000 --> 00:02:18.000]  你有查經或
[00:02:18.000 --> 00:02:20.000]  祈禱的聚會
[00:02:20.000 --> 00:02:22.000]  靜悄悄的去
[00:02:22.000 --> 00:02:24.000]  這個異端
[00:02:24.000 --> 00:02:26.000]  近來
[00:02:26.000 --> 00:02:28.000]  很喜歡這樣
[00:02:28.000 --> 00:02:30.000]  不單止這樣
[00:02:30.000 --> 00:02:32.000]  如果你公開指責
[00:02:32.000 --> 00:02:34.000]  某一個異端教派
[00:02:34.000 --> 00:02:36.000]  離開聖經真理
[00:02:36.000 --> 00:02:38.000]  你隨時會收到私訊
[00:02:38.000 --> 00:02:40.000]  告你毀謗
[00:02:40.000 --> 00:02:42.000]  他亦會
[00:02:42.000 --> 00:02:44.000]  利用一些
[00:02:44.000 --> 00:02:46.000]  廣告
[00:02:46.000 --> 00:02:48.000]  社交平台
[00:02:48.000 --> 00:02:50.000]  宣揚他們是教義
[00:02:50.000 --> 00:02:52.000]  什麼教派
[00:02:52.000 --> 00:02:54.000]  最輕易用的方式
