
[00:00:00.000 --> 00:00:10.500]  很高興可以在這個除夕的星期日和大家一同在一起。
[00:00:10.500 --> 00:00:19.000]  感謝夏牧師邀請我來和大家分享。
[00:00:19.000 --> 00:00:27.000]  可能有很多人都很奇怪,為什麼我今天帶一支木棍上來呢?
[00:00:27.000 --> 00:00:35.000]  不是在你睡覺的時候弄醒你的。
[00:00:35.000 --> 00:00:48.000]  但遲一點我會在我的講道當中用來說明我的其中一個重點。
[00:00:48.000 --> 00:00:55.000]  新年是一個很關鍵的時間去慶祝我們過往一年的祝福,也去展望未來的計劃。
[00:00:57.000 --> 00:01:12.000]  是一個快人心醒的提醒,去提醒我們有限的一生已經過了一年。
[00:01:12.000 --> 00:01:19.000]  也是一個去反思我們人生的好時候。
[00:01:19.000 --> 00:01:31.000]  我最喜歡的經文是剛剛讀過的詩篇第90篇。
[00:01:31.000 --> 00:01:38.000]  我很喜歡在每年新年都去默想這篇經文。
[00:01:38.000 --> 00:01:46.000]  這篇是一篇經文去講述神對於時間的看法。
[00:01:46.000 --> 00:02:00.000]  它是教導我們從上帝永恆的眼光去量度我們有限的地上時間。
[00:02:00.000 --> 00:02:14.000]  這篇是一篇教導我們如何看待時間的一篇詩篇,讓我們的生命在永恆中有價值。
[00:02:14.000 --> 00:02:26.000]  在這篇詩篇的上標,他說這首詩是神人摩西的禱告。
[00:02:26.000 --> 00:02:44.000]  從詩篇的內容,我們知道摩西是為以色列人準備進入迦南地之前,為下一代的以色列人去禱告。
[00:02:44.000 --> 00:03:04.000]  他為他們在進入迦南地之前去禱告。這篇是摩西和以色列人生命中一個重要的時刻。
[00:03:04.000 --> 00:03:16.000]  上一代的以色列人已經全部在曠野裏面死了,而下一代將會取代他們的位置。
[00:03:16.000 --> 00:03:31.000]  神沒有允許摩西和下一代的以色列人進入迦南地。
[00:03:31.000 --> 00:03:43.000]  希望你記得他在曠野裏面曾經擊打盤石,而他在過約旦河之前摩西已經死了。
[00:03:43.000 --> 00:04:00.000]  所以這首詩是摩西在以色列人進入迦南地之前為下一代的以色列人禱告。
