
[00:00:00.000 --> 00:00:02.520]  好 今天跟大家分享一個題目
[00:00:02.520 --> 00:00:04.200]  就是「溫柔的主」
[00:00:04.200 --> 00:00:07.560]  就是來自《馬太福音》二十一章的段落
[00:00:07.560 --> 00:00:10.000]  其實為什麼會選擇這個經文呢
[00:00:10.000 --> 00:00:11.160]  其實也有原因
[00:00:11.160 --> 00:00:14.840]  因為如果你記得之前跟大家分享
[00:00:14.840 --> 00:00:19.640]  其實在今天我們基督教有所謂的節期
[00:00:19.640 --> 00:00:23.920]  即是計算一些節期 預備一些日子
[00:00:23.920 --> 00:00:27.640]  特別我們有一個叫「御府期」
[00:00:27.640 --> 00:00:29.440]  或者叫「大齋期」
[00:00:29.440 --> 00:00:31.280]  這個應該之前跟大家講過
[00:00:31.280 --> 00:00:32.320]  就是一個御府期
[00:00:32.320 --> 00:00:37.520]  就是藉著數算耶穌基督受死復活
[00:00:37.520 --> 00:00:41.480]  接著就數上去數40天的時間
[00:00:41.480 --> 00:00:44.200]  我就藉著那40天在教會裏面
[00:00:44.200 --> 00:00:48.800]  就預備去思念耶穌為我們所做的一切
[00:00:48.800 --> 00:00:50.800]  其中星期日就不算的
[00:00:50.800 --> 00:00:52.200]  所以一直這樣算下去
[00:00:52.200 --> 00:00:55.280]  40天就會是在一個星期三
[00:00:55.280 --> 00:00:57.480]  就是3月5日的星期三
[00:00:57.480 --> 00:01:02.600]  我們叫做「聖灰日」
[00:01:02.600 --> 00:01:07.000]  開始一路計算到星期六
[00:01:07.000 --> 00:01:11.040]  接下來的星期六就會是40天
[00:01:11.040 --> 00:01:14.080]  接著就是復活的主日
[00:01:14.080 --> 00:01:16.240]  所以其實按照這些節日裏面
[00:01:16.240 --> 00:01:22.480]  我們見得到特別在今天4月13日
[00:01:22.480 --> 00:01:24.040]  就是最後的禮拜了
[00:01:24.040 --> 00:01:26.000]  在這個御府期裏面
[00:01:26.000 --> 00:01:27.520]  而這個最後的禮拜裏面
[00:01:27.520 --> 00:01:30.600]  其實就是特別很重要
[00:01:30.600 --> 00:01:32.160]  讓我們在這個禮拜裏面
[00:01:32.160 --> 00:01:35.480]  思想得更加多耶穌為我們所做的一切
[00:01:35.480 --> 00:01:37.680]  事實上在聖經裏面描述
[00:01:37.680 --> 00:01:39.840]  耶穌最後的那個禮拜
[00:01:39.840 --> 00:01:41.840]  就真的發生了很多事
[00:01:41.840 --> 00:01:43.760]  耶穌為我們做了很多的事
[00:01:43.760 --> 00:01:46.640]  而那些事大家都可能耳熟能詳
[00:01:46.640 --> 00:01:49.840]  包括了我們會有我們的最後晚餐
[00:01:49.840 --> 00:01:55.440]  耶穌被釘 被猶大出賣 被告等等
[00:01:55.440 --> 00:01:58.080]  不過在最後一個禮拜裏面
[00:01:58.080 --> 00:02:02.480]  通常我們說到第一件發生的事
[00:02:02.480 --> 00:02:06.560]  其實就是說到耶穌進入耶路撒冷
[00:02:06.560 --> 00:02:09.600]  當耶穌在最後一個星期進入耶路撒冷之後
[00:02:09.600 --> 00:02:13.760]  就開始了他面對受苦的最後一個星期
[00:02:13.760 --> 00:02:17.880]  所以我們通常說到御府期裏面
[00:02:17.880 --> 00:02:19.680]  特別是最後一個禮拜
[00:02:19.680 --> 00:02:22.920]  都會有一個日子去計算
[00:02:22.920 --> 00:02:25.960]  就是那個禮拜在耶路撒冷的那個禮拜
[00:02:25.960 --> 00:02:29.920]  而那個禮拜我們就叫耶穌最後的一個星期
[00:02:29.920 --> 00:02:32.160]  我們通常都會這樣思考
[00:02:32.160 --> 00:02:35.840]  而今天選擇的經文正正好就是
[00:02:35.840 --> 00:02:40.200]  進入耶路撒冷 面對著最後一個星期的時候
[00:02:40.200 --> 00:02:44.040]  開始的時候的一個很重要的事件
[00:02:44.040 --> 00:02:51.280]  就是耶穌怎樣進入耶路撒冷的段落
[00:02:51.280 --> 00:02:54.040]  在這個段落裏面特別的地方就是
[00:02:54.040 --> 00:02:58.480]  在四卷的福音書裏面都有記載
[00:02:58.480 --> 00:03:02.440]  你知道在聖經裏面有馬太 馬可 約翰和路加
[00:03:02.440 --> 00:03:04.240]  四卷不同的福音書
[00:03:04.240 --> 00:03:09.240]  四卷福音書裏面四個作者都有不同的重點去擺放
[00:03:09.240 --> 00:03:11.880]  有些東西某些人記 有些人不記
[00:03:11.880 --> 00:03:14.080]  有些東西大家一起記
[00:03:14.080 --> 00:03:16.360]  通常大家都一起記的那些
[00:03:16.360 --> 00:03:19.040]  就相對比較特別一點 比較重要一點
[00:03:19.040 --> 00:03:23.840]  更加有味道 讓我們看到整個畫面是怎樣
[00:03:23.840 --> 00:03:26.560]  正如五餅二魚的神蹟
[00:03:26.560 --> 00:03:30.640]  在聖經裏面唯一一個四卷福音書都有技術的神蹟
[00:03:30.640 --> 00:03:32.440]  就是五餅二魚
[00:03:32.440 --> 00:03:36.720]  而這個耶穌進入耶路撒冷這個片段
[00:03:36.720 --> 00:03:42.280]  也在四卷福音書裏面都有很多的描述
[00:03:42.280 --> 00:03:46.080]  我們今天就會特別去看看這個日子
[00:03:46.080 --> 00:03:51.400]  而這個日子我們今天在很多時候教會的年曆裏面
[00:03:51.400 --> 00:03:53.960]  都會叫今天叫中之主日
[00:03:53.960 --> 00:03:57.400]  因為這個日子裏面有很多人拿著一些中之
[00:03:57.400 --> 00:04:02.560]  棕櫚樹的樹枝搖動歡呼歡迎耶穌
[00:04:02.560 --> 00:04:05.160]  所以我們有時候叫中之主日
[00:04:05.160 --> 00:04:10.120]  我們今天就試試看透過這個段落的聖經
[00:04:10.120 --> 00:04:15.880]  看看這個段落裏面有什麼思考和學習的地方
[00:04:15.880 --> 00:04:19.120]  我今天分開了兩個重點段落的
[00:04:19.120 --> 00:04:22.920]  第一個重點段落就是溫柔的主
[00:04:22.920 --> 00:04:26.400]  我們有幾節聖經
[00:04:26.400 --> 00:04:29.440]  剛才大家沒有機會讀主席讀了
[00:04:29.440 --> 00:04:31.800]  現在輪到你們讀一次
[00:04:31.800 --> 00:04:36.400]  你們讀一次放在心裏面記一記這段聖經裏面說什麼
[00:04:36.400 --> 00:04:37.520]  我們一起去中之
[00:04:37.520 --> 00:04:39.360]  開始 1 2 3
[00:04:39.360 --> 00:04:42.600]  耶穌黃門徒快到耶路撒冷
[00:04:42.600 --> 00:04:45.760]  進了監冷山的八發騎士
[00:04:45.760 --> 00:04:48.840]  打發兩個門徒對他們說
[00:04:48.840 --> 00:04:51.440]  你們往對面村子裏去
[00:04:51.440 --> 00:04:56.320]  會立刻看見一匹犬在山那裏
[00:04:56.320 --> 00:04:59.360]  那裏的牢區同在一處
[00:04:59.360 --> 00:05:02.480]  解開他們牽到我這裏來
[00:05:02.480 --> 00:05:04.880]  又有人對你們說什麼
[00:05:04.880 --> 00:05:07.640]  你們就說主要用他們
[00:05:07.640 --> 00:05:10.880]  那人會立刻讓你們牽來
[00:05:10.880 --> 00:05:14.720]  這事發生時要應驗先知所說的話
[00:05:14.720 --> 00:05:16.840]  要對錫安的兒女說
[00:05:16.840 --> 00:05:20.360]  看啊 你的王來到這裏
[00:05:20.360 --> 00:05:22.280]  謙和地騎著驢
[00:05:22.280 --> 00:05:27.000]  騎著小驢的驅子
[00:05:27.000 --> 00:05:27.960]  這是第一個段落
[00:05:27.960 --> 00:05:32.800]  我們思考溫柔主的題目
[00:05:32.800 --> 00:05:34.480]  一開始聖經描述到
[00:05:34.480 --> 00:05:38.440]  耶穌和門徒很快就來到耶路撒冷
[00:05:38.440 --> 00:05:42.160]  進入監冷山的八發騎的時候
[00:05:42.160 --> 00:05:44.600]  耶穌就打發門徒
[00:05:44.600 --> 00:05:48.040]  那究竟這是一個什麼地方
[00:05:48.040 --> 00:05:50.600]  整個事情的發生是怎樣發生
[00:05:50.600 --> 00:05:54.600]  最後一個星期開始的段落呢
[00:05:54.600 --> 00:05:57.880]  原來你看看約翰福音裏面
[00:05:57.880 --> 00:06:09.720]  約翰福音裏面說到耶穌出到耶利哥然後上到耶路撒冷
[00:06:09.720 --> 00:06:11.560]  其實這個段落的發展
[00:06:11.560 --> 00:06:14.000]  其實是耶穌在下面的耶利哥
[00:06:14.000 --> 00:06:18.560]  你看到右手邊中間的位置
[00:06:18.560 --> 00:06:20.520]  看到耶利哥的地方
[00:06:20.520 --> 00:06:24.280]  其實說到耶穌已經到達耶利哥
[00:06:24.280 --> 00:06:25.720]  如果你們記得馬可福音裏面
[00:06:25.720 --> 00:06:28.680]  我們常常都說耶穌最後的階段
[00:06:28.680 --> 00:06:32.360]  就是由加利利上面北部
[00:06:32.360 --> 00:06:35.640]  一路一路逐步逐步去到耶路撒冷
[00:06:35.640 --> 00:06:40.040]  就是進行面對死亡的時候的路程
[00:06:40.040 --> 00:06:44.040]  而其中約翰福音描述是當時在耶利哥
[00:06:44.040 --> 00:06:45.240]  在耶利哥的時候
[00:06:45.240 --> 00:06:49.480]  就是比較低下 低一點的地方
[00:06:49.480 --> 00:06:51.400]  然後就要上耶路撒冷
[00:06:51.400 --> 00:06:54.680]  上耶路撒冷其實就是要上一個山上面
[00:06:54.680 --> 00:06:56.200]  其實就由山下
[00:06:56.200 --> 00:07:01.400]  你能想像的就是要慢慢走上去山上的一個步伐
[00:07:01.400 --> 00:07:04.200]  耶穌一路一路和那些門徒一路上去
[00:07:04.200 --> 00:07:05.720]  上到上面的時候
[00:07:05.720 --> 00:07:11.640]  地點在山上面的地形就大約是這樣
[00:07:11.640 --> 00:07:14.040]  山上面就不是只有一個山峰
[00:07:14.040 --> 00:07:15.400]  你能想像一下
[00:07:15.400 --> 00:07:19.080]  通常山裏面可能有幾個山連綿相接
[00:07:19.080 --> 00:07:23.560]  所以這裏也說到耶穌去到的時候
[00:07:23.560 --> 00:07:26.440]  就是經過伯帶利
[00:07:26.440 --> 00:07:29.000]  接著就要再去到伯伯旗
[00:07:29.000 --> 00:07:34.280]  然後再去到耶路撒冷這個地方
[00:07:34.280 --> 00:07:41.560]  而我們知道地點裏面就是
[00:07:41.560 --> 00:07:46.520]  伯伯旗本身的位置就是高過耶路撒冷的
[00:07:46.520 --> 00:07:49.800]  高過耶路撒冷的一個位置
[00:07:49.800 --> 00:07:56.840]  大約100米左右
[00:07:56.840 --> 00:07:58.120]  就是高一點的地方
[00:07:58.120 --> 00:08:02.920]  在上面就是伯伯旗
[00:08:02.920 --> 00:08:06.520]  伯伯旗的意思就是
[00:08:06.520 --> 00:08:11.240]  初熟無花果之家
[00:08:11.240 --> 00:08:15.160]  我們看到現在耶穌一路走到下面上山
[00:08:15.160 --> 00:08:19.240]  上山之後通過伯帶利再上到伯伯旗的時候
[00:08:19.240 --> 00:08:21.480]  現在經文告訴我
[00:08:21.480 --> 00:08:26.040]  祂就在伯伯旗的位置
