
[00:00:00.000 --> 00:00:02.000]  先會平安
[00:00:02.000 --> 00:00:04.000]  我們一起祈禱
[00:00:04.000 --> 00:00:06.000]  先感謝您的恩典
[00:00:06.000 --> 00:00:08.000]  讓我們有生命氣息
[00:00:08.000 --> 00:00:10.000]  有機會來到敬拜祢
[00:00:10.000 --> 00:00:12.000]  祈求聖靈在我們中間
[00:00:12.000 --> 00:00:14.000]  帶領我們好好學習
[00:00:14.000 --> 00:00:18.000]  怎樣去做一個誠實、誠實的人
[00:00:18.000 --> 00:00:20.000]  奉耶穌基督的名祈禱
[00:00:20.000 --> 00:00:22.000]  阿們
[00:00:22.000 --> 00:00:28.000]  今天我想請大家想像一下
[00:00:28.000 --> 00:00:36.000]  你是不是很喜歡住在一個充滿謊言欺騙的城市裏面
[00:00:36.000 --> 00:00:38.000]  舉一些例子
[00:00:38.000 --> 00:00:42.000]  這個城市裏面的官長都是貪官
[00:00:42.000 --> 00:00:46.000]  對有錢人就沒有什麼問題
[00:00:46.000 --> 00:00:50.000]  但是中等階級和窮人就很慘
[00:00:50.000 --> 00:00:52.000]  一定會被人欺負
[00:00:52.000 --> 00:00:54.000]  有冤無路訴
[00:00:54.000 --> 00:00:58.000]  例如你有一塊地賣了一百萬
[00:00:58.000 --> 00:01:04.000]  賣了之後才發覺原來賣了給一個當官的兒子
[00:01:04.000 --> 00:01:10.000]  然後那個官就發一個開發煤礦的牌給他
[00:01:10.000 --> 00:01:14.000]  那塊地就馬上漲價漲到二千萬
[00:01:14.000 --> 00:01:18.000]  你會不會很開心呢
[00:01:18.000 --> 00:01:22.000]  這個城市裏面的商人都是很奸詐的
[00:01:22.000 --> 00:01:26.000]  你給足金的價錢買首飾
[00:01:26.000 --> 00:01:29.000]  希望是買一些999金的首飾
[00:01:29.000 --> 00:01:32.000]  但是回來一看原來是銅的
[00:01:32.000 --> 00:01:34.000]  只是鍍了一些金
[00:01:34.000 --> 00:01:36.000]  你想買一隻肉牙
[00:01:36.000 --> 00:01:38.000]  後來發覺原來是石頭染色的
[00:01:38.000 --> 00:01:40.000]  買雞蛋
[00:01:40.000 --> 00:01:42.000]  原來不是雞生的
[00:01:42.000 --> 00:01:44.000]  是工廠做出來的
[00:01:44.000 --> 00:01:46.000]  你買帶子
[00:01:46.000 --> 00:01:48.000]  買那些百果仁
[00:01:48.000 --> 00:01:50.000]  回來看看原來是塑膠的
[00:01:50.000 --> 00:01:54.000]  吃了不生病都謝天謝地
[00:01:54.000 --> 00:01:56.000]  買醬油
[00:01:56.000 --> 00:01:58.000]  原來是水加鹽和一些染色素
[00:01:58.000 --> 00:02:02.000]  而不是黃豆釀製的
[00:02:02.000 --> 00:02:04.000]  住在這樣的城市
[00:02:04.000 --> 00:02:06.000]  如果有機會的話
[00:02:06.000 --> 00:02:08.000]  你會不會想移民呢
[00:02:08.000 --> 00:02:12.000]  或者在這個城市裏面認識一些朋友
[00:02:12.000 --> 00:02:14.000]  約他來吃一頓飯
[00:02:14.000 --> 00:02:16.000]  請他一家人都一起來
[00:02:16.000 --> 00:02:18.000]  他們答應了
[00:02:18.000 --> 00:02:22.000]  那你就將來買食物
[00:02:22.000 --> 00:02:24.000]  花很多心思
[00:02:24.000 --> 00:02:26.000]  預備很多佳餚美點
[00:02:26.000 --> 00:02:28.000]  時間到了
[00:02:28.000 --> 00:02:30.000]  朋友還沒有來
[00:02:30.000 --> 00:02:32.000]  那你可能會想
[00:02:32.000 --> 00:02:34.000]  塞車而已
[00:02:34.000 --> 00:02:36.000]  等多一會
[00:02:36.000 --> 00:02:38.000]  等了半個小時
[00:02:38.000 --> 00:02:40.000]  朋友還沒有來
[00:02:40.000 --> 00:02:42.000]  打電話去問他
